jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate,tax_2,tax_2_rate_excl_ex_clcu
Vermont,1989,0,,,,,,,,
Vermont,1989,1,,,,,,,,
Vermont,1989,2,,,,,,,,
Vermont,1989,3,,,,,,,,
Vermont,1989,4,,,,,,,,
Vermont,1989,5,,,,,,,,
Vermont,1989,1A,Coal,,,,,,,
Vermont,1989,1A,Natural gas,,,,,,,
Vermont,1989,1A,Oil,,,,,,,
Vermont,1989,1A1,Coal,,,,,,,
Vermont,1989,1A1,Natural gas,,,,,,,
Vermont,1989,1A1,Oil,,,,,,,
Vermont,1989,1A1A,Coal,,,,,,,
Vermont,1989,1A1A,Natural gas,,,,,,,
Vermont,1989,1A1A,Oil,,,,,,,
Vermont,1989,1A1A1,Coal,,,,,,,
Vermont,1989,1A1A1,Natural gas,,,,,,,
Vermont,1989,1A1A1,Oil,,,,,,,
Vermont,1989,1A1A2,Coal,,,,,,,
Vermont,1989,1A1A2,Natural gas,,,,,,,
Vermont,1989,1A1A2,Oil,,,,,,,
Vermont,1989,1A1A3,Coal,,,,,,,
Vermont,1989,1A1A3,Natural gas,,,,,,,
Vermont,1989,1A1A3,Oil,,,,,,,
Vermont,1989,1A1B,Coal,,,,,,,
Vermont,1989,1A1B,Natural gas,,,,,,,
Vermont,1989,1A1B,Oil,,,,,,,
Vermont,1989,1A1C,Coal,,,,,,,
Vermont,1989,1A1C,Natural gas,,,,,,,
Vermont,1989,1A1C,Oil,,,,,,,
Vermont,1989,1A2,Coal,,,,,,,
Vermont,1989,1A2,Natural gas,,,,,,,
Vermont,1989,1A2,Oil,,,,,,,
Vermont,1989,1A2A,Coal,,,,,,,
Vermont,1989,1A2A,Natural gas,,,,,,,
Vermont,1989,1A2A,Oil,,,,,,,
Vermont,1989,1A2B,Coal,,,,,,,
Vermont,1989,1A2B,Natural gas,,,,,,,
Vermont,1989,1A2B,Oil,,,,,,,
Vermont,1989,1A2C,Coal,,,,,,,
Vermont,1989,1A2C,Natural gas,,,,,,,
Vermont,1989,1A2C,Oil,,,,,,,
Vermont,1989,1A2D,Coal,,,,,,,
Vermont,1989,1A2D,Natural gas,,,,,,,
Vermont,1989,1A2D,Oil,,,,,,,
Vermont,1989,1A2E,Coal,,,,,,,
Vermont,1989,1A2E,Natural gas,,,,,,,
Vermont,1989,1A2E,Oil,,,,,,,
Vermont,1989,1A2F,Coal,,,,,,,
Vermont,1989,1A2F,Natural gas,,,,,,,
Vermont,1989,1A2F,Oil,,,,,,,
Vermont,1989,1A2G,Coal,,,,,,,
Vermont,1989,1A2G,Natural gas,,,,,,,
Vermont,1989,1A2G,Oil,,,,,,,
Vermont,1989,1A2H,Coal,,,,,,,
Vermont,1989,1A2H,Natural gas,,,,,,,
Vermont,1989,1A2H,Oil,,,,,,,
Vermont,1989,1A2I,Coal,,,,,,,
Vermont,1989,1A2I,Natural gas,,,,,,,
Vermont,1989,1A2I,Oil,,,,,,,
Vermont,1989,1A2J,Coal,,,,,,,
Vermont,1989,1A2J,Natural gas,,,,,,,
