jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate,tax_2,tax_2_rate_excl_ex_clcu
Xinjiang Uyghur Autonomous Region,1989,0,,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1,,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,2,,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,3,,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,4,,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,5,,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A,Coal,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A,Natural gas,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A,Oil,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A1,Coal,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A1,Natural gas,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A1,Oil,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A1A,Coal,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A1A,Natural gas,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A1A,Oil,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A1A1,Coal,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A1A1,Natural gas,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A1A1,Oil,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A1A2,Coal,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A1A2,Natural gas,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A1A2,Oil,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A1A3,Coal,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A1A3,Natural gas,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A1A3,Oil,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A1B,Coal,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A1B,Natural gas,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A1B,Oil,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A1C,Coal,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A1C,Natural gas,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A1C,Oil,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A2,Coal,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A2,Natural gas,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A2,Oil,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A2A,Coal,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A2A,Natural gas,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A2A,Oil,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A2B,Coal,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A2B,Natural gas,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A2B,Oil,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A2C,Coal,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A2C,Natural gas,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A2C,Oil,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A2D,Coal,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A2D,Natural gas,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A2D,Oil,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A2E,Coal,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A2E,Natural gas,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A2E,Oil,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A2F,Coal,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A2F,Natural gas,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A2F,Oil,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A2G,Coal,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A2G,Natural gas,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A2G,Oil,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A2H,Coal,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A2H,Natural gas,,,,,,,
Xinjiang Uyghur Autonomous Region,1989,1A2H,Oil,,,,,,,
