jurisdiction,year,ipcc_code,Product,tax,ets,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Albania,1989,0,,,,,,
Albania,1989,1,,,,,,
Albania,1989,1A,Coal/peat,,,,,
Albania,1989,1A,Natural gas,,,,,
Albania,1989,1A,Oil,,,,,
Albania,1989,1A1,Coal/peat,,,,,
Albania,1989,1A1,Natural gas,,,,,
Albania,1989,1A1,Oil,,,,,
Albania,1989,1A1A,Coal/peat,,,,,
Albania,1989,1A1A,Natural gas,,,,,
Albania,1989,1A1A,Oil,,,,,
Albania,1989,1A1A1,Coal/peat,,,,,
Albania,1989,1A1A1,Natural gas,,,,,
Albania,1989,1A1A1,Oil,,,,,
Albania,1989,1A1A2,Coal/peat,,,,,
Albania,1989,1A1A2,Natural gas,,,,,
Albania,1989,1A1A2,Oil,,,,,
Albania,1989,1A1A3,Coal/peat,,,,,
Albania,1989,1A1A3,Natural gas,,,,,
Albania,1989,1A1A3,Oil,,,,,
Albania,1989,1A1B,Coal/peat,,,,,
Albania,1989,1A1B,Natural gas,,,,,
Albania,1989,1A1B,Oil,,,,,
Albania,1989,1A1C,Coal/peat,,,,,
Albania,1989,1A1C,Natural gas,,,,,
Albania,1989,1A1C,Oil,,,,,
Albania,1989,1A2,Coal/peat,,,,,
Albania,1989,1A2,Natural gas,,,,,
Albania,1989,1A2,Oil,,,,,
Albania,1989,1A2A,Coal/peat,,,,,
Albania,1989,1A2A,Natural gas,,,,,
Albania,1989,1A2A,Oil,,,,,
Albania,1989,1A2B,Coal/peat,,,,,
Albania,1989,1A2B,Natural gas,,,,,
Albania,1989,1A2B,Oil,,,,,
Albania,1989,1A2C,Coal/peat,,,,,
Albania,1989,1A2C,Natural gas,,,,,
Albania,1989,1A2C,Oil,,,,,
Albania,1989,1A2D,Coal/peat,,,,,
Albania,1989,1A2D,Natural gas,,,,,
Albania,1989,1A2D,Oil,,,,,
Albania,1989,1A2E,Coal/peat,,,,,
Albania,1989,1A2E,Natural gas,,,,,
Albania,1989,1A2E,Oil,,,,,
Albania,1989,1A2F,Coal/peat,,,,,
Albania,1989,1A2F,Natural gas,,,,,
Albania,1989,1A2F,Oil,,,,,
Albania,1989,1A2G,Coal/peat,,,,,
Albania,1989,1A2G,Natural gas,,,,,
Albania,1989,1A2G,Oil,,,,,
Albania,1989,1A2H,Coal/peat,,,,,
Albania,1989,1A2H,Natural gas,,,,,
Albania,1989,1A2H,Oil,,,,,
Albania,1989,1A2I,Coal/peat,,,,,
Albania,1989,1A2I,Natural gas,,,,,
Albania,1989,1A2I,Oil,,,,,
Albania,1989,1A2J,Coal/peat,,,,,
Albania,1989,1A2J,Natural gas,,,,,
Albania,1989,1A2J,Oil,,,,,
Albania,1989,1A2K,Coal/peat,,,,,
Albania,1989,1A2K,Natural gas,,,,,
Albania,1989,1A2K,Oil,,,,,
Albania,1989,1A2L,Coal/peat,,,,,
Albania,1989,1A2L,Natural gas,,,,,
Albania,1989,1A2L,Oil,,,,,
Albania,1989,1A2M,Coal/peat,,,,,
Albania,1989,1A2M,Natural gas,,,,,
Albania,1989,1A2M,Oil,,,,,
Albania,1989,1A3,Coal/peat,,,,,
Albania,1989,1A3,Natural gas,,,,,
Albania,1989,1A3,Oil,,,,,
Albania,1989,1A3A,Coal/peat,,,,,
Albania,1989,1A3A,Natural gas,,,,,
Albania,1989,1A3A,Oil,,,,,
Albania,1989,1A3A1,Coal/peat,,,,,
Albania,1989,1A3A1,Natural gas,,,,,
Albania,1989,1A3A1,Oil,,,,,
Albania,1989,1A3A2,Coal/peat,,,,,
Albania,1989,1A3A2,Natural gas,,,,,
Albania,1989,1A3A2,Oil,,,,,
Albania,1989,1A3B,Coal/peat,,,,,
Albania,1989,1A3B,Natural gas,,,,,
Albania,1989,1A3B,Oil,,,,,
Albania,1989,1A3C,Coal/peat,,,,,
Albania,1989,1A3C,Natural gas,,,,,
Albania,1989,1A3C,Oil,,,,,
Albania,1989,1A3D,Coal/peat,,,,,
Albania,1989,1A3D,Natural gas,,,,,
Albania,1989,1A3D,Oil,,,,,
Albania,1989,1A3D1,Coal/peat,,,,,
Albania,1989,1A3D1,Natural gas,,,,,
Albania,1989,1A3D1,Oil,,,,,
Albania,1989,1A3D2,Coal/peat,,,,,
Albania,1989,1A3D2,Natural gas,,,,,
Albania,1989,1A3D2,Oil,,,,,
Albania,1989,1A3E,Coal/peat,,,,,
Albania,1989,1A3E,Natural gas,,,,,
Albania,1989,1A3E,Oil,,,,,
Albania,1989,1A3E1,Coal/peat,,,,,
Albania,1989,1A3E1,Natural gas,,,,,
Albania,1989,1A3E1,Oil,,,,,
Albania,1989,1A4,Coal/peat,,,,,
Albania,1989,1A4,Natural gas,,,,,
Albania,1989,1A4,Oil,,,,,
Albania,1989,1A4A,Coal/peat,,,,,
Albania,1989,1A4A,Natural gas,,,,,
Albania,1989,1A4A,Oil,,,,,
Albania,1989,1A4B,Coal/peat,,,,,
Albania,1989,1A4B,Natural gas,,,,,
Albania,1989,1A4B,Oil,,,,,
Albania,1989,1A4C,Coal/peat,,,,,
Albania,1989,1A4C,Natural gas,,,,,
Albania,1989,1A4C,Oil,,,,,
Albania,1989,1A4C1,Coal/peat,,,,,
Albania,1989,1A4C1,Natural gas,,,,,
Albania,1989,1A4C1,Oil,,,,,
Albania,1989,1A4C2,Coal/peat,,,,,
Albania,1989,1A4C2,Natural gas,,,,,
Albania,1989,1A4C2,Oil,,,,,
Albania,1989,1A4C3,Coal/peat,,,,,
Albania,1989,1A4C3,Natural gas,,,,,
Albania,1989,1A4C3,Oil,,,,,
Albania,1989,1A5,Coal/peat,,,,,
Albania,1989,1A5,Natural gas,,,,,
Albania,1989,1A5,Oil,,,,,
Albania,1989,1A5A,Coal/peat,,,,,
Albania,1989,1A5A,Natural gas,,,,,
Albania,1989,1A5A,Oil,,,,,
Albania,1989,1A5B,Coal/peat,,,,,
Albania,1989,1A5B,Natural gas,,,,,
Albania,1989,1A5B,Oil,,,,,
Albania,1989,1A5C,Coal/peat,,,,,
Albania,1989,1A5C,Natural gas,,,,,
Albania,1989,1A5C,Oil,,,,,
Albania,1989,1B,,,,,,
Albania,1989,1B1,,,,,,
Albania,1989,1B1A,,,,,,
Albania,1989,1B1A1,,,,,,
Albania,1989,1B1A11,,,,,,
Albania,1989,1B1A12,,,,,,
Albania,1989,1B1A13,,,,,,
Albania,1989,1B1A14,,,,,,
Albania,1989,1B1A2,,,,,,
Albania,1989,1B1A21,,,,,,
Albania,1989,1B1A22,,,,,,
Albania,1989,1B1B,,,,,,
Albania,1989,1B2,,,,,,
Albania,1989,1B2A,,,,,,
Albania,1989,1B2A1,,,,,,
Albania,1989,1B2A2,,,,,,
Albania,1989,1B2A3,,,,,,
Albania,1989,1B2A31,,,,,,
Albania,1989,1B2A32,,,,,,
Albania,1989,1B2A33,,,,,,
Albania,1989,1B2A34,,,,,,
Albania,1989,1B2A35,,,,,,
Albania,1989,1B2A36,,,,,,
Albania,1989,1B2B,,,,,,
Albania,1989,1B2B1,,,,,,
