Jurisdiction,Year,IPCC_cat_code,Product,tax,ets,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Angola,1989,0,,,,,,
Angola,1989,1,,,,,,
Angola,1989,1A,Coal/peat,,,,,
Angola,1989,1A,Natural gas,,,,,
Angola,1989,1A,Oil,,,,,
Angola,1989,1A1,Coal/peat,,,,,
Angola,1989,1A1,Natural gas,,,,,
Angola,1989,1A1,Oil,,,,,
Angola,1989,1A1A,Coal/peat,,,,,
Angola,1989,1A1A,Natural gas,,,,,
Angola,1989,1A1A,Oil,,,,,
Angola,1989,1A1A1,Coal/peat,,,,,
Angola,1989,1A1A1,Natural gas,,,,,
Angola,1989,1A1A1,Oil,,,,,
Angola,1989,1A1A2,Coal/peat,,,,,
Angola,1989,1A1A2,Natural gas,,,,,
Angola,1989,1A1A2,Oil,,,,,
Angola,1989,1A1A3,Coal/peat,,,,,
Angola,1989,1A1A3,Natural gas,,,,,
Angola,1989,1A1A3,Oil,,,,,
Angola,1989,1A1B,Coal/peat,,,,,
Angola,1989,1A1B,Natural gas,,,,,
Angola,1989,1A1B,Oil,,,,,
Angola,1989,1A1C,Coal/peat,,,,,
Angola,1989,1A1C,Natural gas,,,,,
Angola,1989,1A1C,Oil,,,,,
Angola,1989,1A2,Coal/peat,,,,,
Angola,1989,1A2,Natural gas,,,,,
Angola,1989,1A2,Oil,,,,,
Angola,1989,1A2A,Coal/peat,,,,,
Angola,1989,1A2A,Natural gas,,,,,
Angola,1989,1A2A,Oil,,,,,
Angola,1989,1A2B,Coal/peat,,,,,
Angola,1989,1A2B,Natural gas,,,,,
Angola,1989,1A2B,Oil,,,,,
Angola,1989,1A2C,Coal/peat,,,,,
Angola,1989,1A2C,Natural gas,,,,,
Angola,1989,1A2C,Oil,,,,,
Angola,1989,1A2D,Coal/peat,,,,,
Angola,1989,1A2D,Natural gas,,,,,
Angola,1989,1A2D,Oil,,,,,
Angola,1989,1A2E,Coal/peat,,,,,
Angola,1989,1A2E,Natural gas,,,,,
Angola,1989,1A2E,Oil,,,,,
Angola,1989,1A2F,Coal/peat,,,,,
Angola,1989,1A2F,Natural gas,,,,,
Angola,1989,1A2F,Oil,,,,,
Angola,1989,1A2G,Coal/peat,,,,,
Angola,1989,1A2G,Natural gas,,,,,
Angola,1989,1A2G,Oil,,,,,
Angola,1989,1A2H,Coal/peat,,,,,
Angola,1989,1A2H,Natural gas,,,,,
Angola,1989,1A2H,Oil,,,,,
Angola,1989,1A2I,Coal/peat,,,,,
Angola,1989,1A2I,Natural gas,,,,,
Angola,1989,1A2I,Oil,,,,,
Angola,1989,1A2J,Coal/peat,,,,,
Angola,1989,1A2J,Natural gas,,,,,
Angola,1989,1A2J,Oil,,,,,
Angola,1989,1A2K,Coal/peat,,,,,
Angola,1989,1A2K,Natural gas,,,,,
Angola,1989,1A2K,Oil,,,,,
Angola,1989,1A2L,Coal/peat,,,,,
Angola,1989,1A2L,Natural gas,,,,,
Angola,1989,1A2L,Oil,,,,,
Angola,1989,1A2M,Coal/peat,,,,,
Angola,1989,1A2M,Natural gas,,,,,
Angola,1989,1A2M,Oil,,,,,
Angola,1989,1A3,Coal/peat,,,,,
Angola,1989,1A3,Natural gas,,,,,
Angola,1989,1A3,Oil,,,,,
Angola,1989,1A3A,Coal/peat,,,,,
Angola,1989,1A3A,Natural gas,,,,,
Angola,1989,1A3A,Oil,,,,,
Angola,1989,1A3A1,Coal/peat,,,,,
Angola,1989,1A3A1,Natural gas,,,,,
Angola,1989,1A3A1,Oil,,,,,
Angola,1989,1A3A2,Coal/peat,,,,,
Angola,1989,1A3A2,Natural gas,,,,,
Angola,1989,1A3A2,Oil,,,,,
