jurisdiction,year,ipcc_code,Product,tax,ets,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Bangladesh,1989,0,,,,,,
Bangladesh,1989,1,,,,,,
Bangladesh,1989,1A,Coal/peat,,,,,
Bangladesh,1989,1A,Natural gas,,,,,
Bangladesh,1989,1A,Oil,,,,,
Bangladesh,1989,1A1,Coal/peat,,,,,
Bangladesh,1989,1A1,Natural gas,,,,,
Bangladesh,1989,1A1,Oil,,,,,
Bangladesh,1989,1A1A,Coal/peat,,,,,
Bangladesh,1989,1A1A,Natural gas,,,,,
Bangladesh,1989,1A1A,Oil,,,,,
Bangladesh,1989,1A1A1,Coal/peat,,,,,
Bangladesh,1989,1A1A1,Natural gas,,,,,
Bangladesh,1989,1A1A1,Oil,,,,,
Bangladesh,1989,1A1A2,Coal/peat,,,,,
Bangladesh,1989,1A1A2,Natural gas,,,,,
Bangladesh,1989,1A1A2,Oil,,,,,
Bangladesh,1989,1A1A3,Coal/peat,,,,,
Bangladesh,1989,1A1A3,Natural gas,,,,,
Bangladesh,1989,1A1A3,Oil,,,,,
Bangladesh,1989,1A1B,Coal/peat,,,,,
Bangladesh,1989,1A1B,Natural gas,,,,,
Bangladesh,1989,1A1B,Oil,,,,,
Bangladesh,1989,1A1C,Coal/peat,,,,,
Bangladesh,1989,1A1C,Natural gas,,,,,
Bangladesh,1989,1A1C,Oil,,,,,
Bangladesh,1989,1A2,Coal/peat,,,,,
Bangladesh,1989,1A2,Natural gas,,,,,
Bangladesh,1989,1A2,Oil,,,,,
Bangladesh,1989,1A2A,Coal/peat,,,,,
Bangladesh,1989,1A2A,Natural gas,,,,,
Bangladesh,1989,1A2A,Oil,,,,,
Bangladesh,1989,1A2B,Coal/peat,,,,,
Bangladesh,1989,1A2B,Natural gas,,,,,
Bangladesh,1989,1A2B,Oil,,,,,
Bangladesh,1989,1A2C,Coal/peat,,,,,
Bangladesh,1989,1A2C,Natural gas,,,,,
Bangladesh,1989,1A2C,Oil,,,,,
Bangladesh,1989,1A2D,Coal/peat,,,,,
Bangladesh,1989,1A2D,Natural gas,,,,,
Bangladesh,1989,1A2D,Oil,,,,,
Bangladesh,1989,1A2E,Coal/peat,,,,,
Bangladesh,1989,1A2E,Natural gas,,,,,
Bangladesh,1989,1A2E,Oil,,,,,
Bangladesh,1989,1A2F,Coal/peat,,,,,
Bangladesh,1989,1A2F,Natural gas,,,,,
Bangladesh,1989,1A2F,Oil,,,,,
Bangladesh,1989,1A2G,Coal/peat,,,,,
Bangladesh,1989,1A2G,Natural gas,,,,,
