jurisdiction,year,ipcc_code,Product,tax,ets,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Ecuador,1989,0,,,,,,
Ecuador,1989,1,,,,,,
Ecuador,1989,1A,Coal/peat,,,,,
Ecuador,1989,1A,Natural gas,,,,,
Ecuador,1989,1A,Oil,,,,,
Ecuador,1989,1A1,Coal/peat,,,,,
Ecuador,1989,1A1,Natural gas,,,,,
Ecuador,1989,1A1,Oil,,,,,
Ecuador,1989,1A1A,Coal/peat,,,,,
Ecuador,1989,1A1A,Natural gas,,,,,
Ecuador,1989,1A1A,Oil,,,,,
Ecuador,1989,1A1A1,Coal/peat,,,,,
Ecuador,1989,1A1A1,Natural gas,,,,,
Ecuador,1989,1A1A1,Oil,,,,,
Ecuador,1989,1A1A2,Coal/peat,,,,,
Ecuador,1989,1A1A2,Natural gas,,,,,
Ecuador,1989,1A1A2,Oil,,,,,
Ecuador,1989,1A1A3,Coal/peat,,,,,
Ecuador,1989,1A1A3,Natural gas,,,,,
Ecuador,1989,1A1A3,Oil,,,,,
Ecuador,1989,1A1B,Coal/peat,,,,,
Ecuador,1989,1A1B,Natural gas,,,,,
Ecuador,1989,1A1B,Oil,,,,,
Ecuador,1989,1A1C,Coal/peat,,,,,
Ecuador,1989,1A1C,Natural gas,,,,,
Ecuador,1989,1A1C,Oil,,,,,
Ecuador,1989,1A2,Coal/peat,,,,,
Ecuador,1989,1A2,Natural gas,,,,,
Ecuador,1989,1A2,Oil,,,,,
Ecuador,1989,1A2A,Coal/peat,,,,,
Ecuador,1989,1A2A,Natural gas,,,,,
Ecuador,1989,1A2A,Oil,,,,,
Ecuador,1989,1A2B,Coal/peat,,,,,
Ecuador,1989,1A2B,Natural gas,,,,,
Ecuador,1989,1A2B,Oil,,,,,
Ecuador,1989,1A2C,Coal/peat,,,,,
Ecuador,1989,1A2C,Natural gas,,,,,
Ecuador,1989,1A2C,Oil,,,,,
Ecuador,1989,1A2D,Coal/peat,,,,,
Ecuador,1989,1A2D,Natural gas,,,,,
Ecuador,1989,1A2D,Oil,,,,,
Ecuador,1989,1A2E,Coal/peat,,,,,
Ecuador,1989,1A2E,Natural gas,,,,,
Ecuador,1989,1A2E,Oil,,,,,
Ecuador,1989,1A2F,Coal/peat,,,,,
Ecuador,1989,1A2F,Natural gas,,,,,
Ecuador,1989,1A2F,Oil,,,,,
Ecuador,1989,1A2G,Coal/peat,,,,,
Ecuador,1989,1A2G,Natural gas,,,,,
Ecuador,1989,1A2G,Oil,,,,,
Ecuador,1989,1A2H,Coal/peat,,,,,
Ecuador,1989,1A2H,Natural gas,,,,,
Ecuador,1989,1A2H,Oil,,,,,
Ecuador,1989,1A2I,Coal/peat,,,,,
Ecuador,1989,1A2I,Natural gas,,,,,
Ecuador,1989,1A2I,Oil,,,,,
Ecuador,1989,1A2J,Coal/peat,,,,,
Ecuador,1989,1A2J,Natural gas,,,,,
Ecuador,1989,1A2J,Oil,,,,,
Ecuador,1989,1A2K,Coal/peat,,,,,
Ecuador,1989,1A2K,Natural gas,,,,,
Ecuador,1989,1A2K,Oil,,,,,
Ecuador,1989,1A2L,Coal/peat,,,,,
Ecuador,1989,1A2L,Natural gas,,,,,
Ecuador,1989,1A2L,Oil,,,,,
Ecuador,1989,1A2M,Coal/peat,,,,,
Ecuador,1989,1A2M,Natural gas,,,,,
Ecuador,1989,1A2M,Oil,,,,,
Ecuador,1989,1A3,Coal/peat,,,,,
Ecuador,1989,1A3,Natural gas,,,,,
Ecuador,1989,1A3,Oil,,,,,
Ecuador,1989,1A3A,Coal/peat,,,,,
Ecuador,1989,1A3A,Natural gas,,,,,
Ecuador,1989,1A3A,Oil,,,,,
Ecuador,1989,1A3A1,Coal/peat,,,,,
Ecuador,1989,1A3A1,Natural gas,,,,,
Ecuador,1989,1A3A1,Oil,,,,,
Ecuador,1989,1A3A2,Coal/peat,,,,,
Ecuador,1989,1A3A2,Natural gas,,,,,
Ecuador,1989,1A3A2,Oil,,,,,
Ecuador,1989,1A3B,Coal/peat,,,,,
Ecuador,1989,1A3B,Natural gas,,,,,
Ecuador,1989,1A3B,Oil,,,,,
Ecuador,1989,1A3C,Coal/peat,,,,,
Ecuador,1989,1A3C,Natural gas,,,,,
Ecuador,1989,1A3C,Oil,,,,,
Ecuador,1989,1A3D,Coal/peat,,,,,
Ecuador,1989,1A3D,Natural gas,,,,,
Ecuador,1989,1A3D,Oil,,,,,
Ecuador,1989,1A3D1,Coal/peat,,,,,
Ecuador,1989,1A3D1,Natural gas,,,,,
Ecuador,1989,1A3D1,Oil,,,,,
Ecuador,1989,1A3D2,Coal/peat,,,,,
Ecuador,1989,1A3D2,Natural gas,,,,,
Ecuador,1989,1A3D2,Oil,,,,,
Ecuador,1989,1A3E,Coal/peat,,,,,
Ecuador,1989,1A3E,Natural gas,,,,,
Ecuador,1989,1A3E,Oil,,,,,
Ecuador,1989,1A3E1,Coal/peat,,,,,
Ecuador,1989,1A3E1,Natural gas,,,,,
Ecuador,1989,1A3E1,Oil,,,,,
Ecuador,1989,1A4,Coal/peat,,,,,
Ecuador,1989,1A4,Natural gas,,,,,
Ecuador,1989,1A4,Oil,,,,,
Ecuador,1989,1A4A,Coal/peat,,,,,
Ecuador,1989,1A4A,Natural gas,,,,,
Ecuador,1989,1A4A,Oil,,,,,
Ecuador,1989,1A4B,Coal/peat,,,,,
Ecuador,1989,1A4B,Natural gas,,,,,
Ecuador,1989,1A4B,Oil,,,,,
Ecuador,1989,1A4C,Coal/peat,,,,,
Ecuador,1989,1A4C,Natural gas,,,,,
Ecuador,1989,1A4C,Oil,,,,,
Ecuador,1989,1A4C1,Coal/peat,,,,,
Ecuador,1989,1A4C1,Natural gas,,,,,
Ecuador,1989,1A4C1,Oil,,,,,
Ecuador,1989,1A4C2,Coal/peat,,,,,
Ecuador,1989,1A4C2,Natural gas,,,,,
Ecuador,1989,1A4C2,Oil,,,,,
Ecuador,1989,1A4C3,Coal/peat,,,,,
Ecuador,1989,1A4C3,Natural gas,,,,,
Ecuador,1989,1A4C3,Oil,,,,,
Ecuador,1989,1A5,Coal/peat,,,,,
Ecuador,1989,1A5,Natural gas,,,,,
Ecuador,1989,1A5,Oil,,,,,
Ecuador,1989,1A5A,Coal/peat,,,,,
Ecuador,1989,1A5A,Natural gas,,,,,
Ecuador,1989,1A5A,Oil,,,,,
