Jurisdiction,Year,IPCC_cat_code,Product,tax,ets,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Federated States of Micronesia,1989,0,,,,,,
Federated States of Micronesia,1989,1,,,,,,
Federated States of Micronesia,1989,1A,Coal/peat,,,,,
Federated States of Micronesia,1989,1A,Natural gas,,,,,
Federated States of Micronesia,1989,1A,Oil,,,,,
Federated States of Micronesia,1989,1A1,Coal/peat,,,,,
Federated States of Micronesia,1989,1A1,Natural gas,,,,,
Federated States of Micronesia,1989,1A1,Oil,,,,,
Federated States of Micronesia,1989,1A1A,Coal/peat,,,,,
Federated States of Micronesia,1989,1A1A,Natural gas,,,,,
Federated States of Micronesia,1989,1A1A,Oil,,,,,
Federated States of Micronesia,1989,1A1A1,Coal/peat,,,,,
Federated States of Micronesia,1989,1A1A1,Natural gas,,,,,
Federated States of Micronesia,1989,1A1A1,Oil,,,,,
Federated States of Micronesia,1989,1A1A2,Coal/peat,,,,,
Federated States of Micronesia,1989,1A1A2,Natural gas,,,,,
Federated States of Micronesia,1989,1A1A2,Oil,,,,,
Federated States of Micronesia,1989,1A1A3,Coal/peat,,,,,
Federated States of Micronesia,1989,1A1A3,Natural gas,,,,,
Federated States of Micronesia,1989,1A1A3,Oil,,,,,
Federated States of Micronesia,1989,1A1B,Coal/peat,,,,,
Federated States of Micronesia,1989,1A1B,Natural gas,,,,,
Federated States of Micronesia,1989,1A1B,Oil,,,,,
Federated States of Micronesia,1989,1A1C,Coal/peat,,,,,
Federated States of Micronesia,1989,1A1C,Natural gas,,,,,
Federated States of Micronesia,1989,1A1C,Oil,,,,,
Federated States of Micronesia,1989,1A2,Coal/peat,,,,,
Federated States of Micronesia,1989,1A2,Natural gas,,,,,
Federated States of Micronesia,1989,1A2,Oil,,,,,
Federated States of Micronesia,1989,1A2A,Coal/peat,,,,,
Federated States of Micronesia,1989,1A2A,Natural gas,,,,,
Federated States of Micronesia,1989,1A2A,Oil,,,,,
Federated States of Micronesia,1989,1A2B,Coal/peat,,,,,
Federated States of Micronesia,1989,1A2B,Natural gas,,,,,
Federated States of Micronesia,1989,1A2B,Oil,,,,,
Federated States of Micronesia,1989,1A2C,Coal/peat,,,,,
Federated States of Micronesia,1989,1A2C,Natural gas,,,,,
Federated States of Micronesia,1989,1A2C,Oil,,,,,
Federated States of Micronesia,1989,1A2D,Coal/peat,,,,,
Federated States of Micronesia,1989,1A2D,Natural gas,,,,,
Federated States of Micronesia,1989,1A2D,Oil,,,,,
Federated States of Micronesia,1989,1A2E,Coal/peat,,,,,
Federated States of Micronesia,1989,1A2E,Natural gas,,,,,
Federated States of Micronesia,1989,1A2E,Oil,,,,,
Federated States of Micronesia,1989,1A2F,Coal/peat,,,,,
Federated States of Micronesia,1989,1A2F,Natural gas,,,,,
Federated States of Micronesia,1989,1A2F,Oil,,,,,
Federated States of Micronesia,1989,1A2G,Coal/peat,,,,,
Federated States of Micronesia,1989,1A2G,Natural gas,,,,,
Federated States of Micronesia,1989,1A2G,Oil,,,,,
Federated States of Micronesia,1989,1A2H,Coal/peat,,,,,
Federated States of Micronesia,1989,1A2H,Natural gas,,,,,
Federated States of Micronesia,1989,1A2H,Oil,,,,,
Federated States of Micronesia,1989,1A2I,Coal/peat,,,,,
Federated States of Micronesia,1989,1A2I,Natural gas,,,,,
Federated States of Micronesia,1989,1A2I,Oil,,,,,
