jurisdiction,year,ipcc_code,Product,tax,ets,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Italy,1989,0,,,,,,
Italy,1989,1,,,,,,
Italy,1989,1A,Coal,,,,,
Italy,1989,1A,Natural gas,,,,,
Italy,1989,1A,Oil,,,,,
Italy,1989,1A1,Coal,,,,,
Italy,1989,1A1,Natural gas,,,,,
Italy,1989,1A1,Oil,,,,,
Italy,1989,1A1A,Coal,,,,,
Italy,1989,1A1A,Natural gas,,,,,
Italy,1989,1A1A,Oil,,,,,
Italy,1989,1A1A1,Coal,,,,,
Italy,1989,1A1A1,Natural gas,,,,,
Italy,1989,1A1A1,Oil,,,,,
Italy,1989,1A1A2,Coal,,,,,
Italy,1989,1A1A2,Natural gas,,,,,
Italy,1989,1A1A2,Oil,,,,,
Italy,1989,1A1A3,Coal,,,,,
Italy,1989,1A1A3,Natural gas,,,,,
Italy,1989,1A1A3,Oil,,,,,
Italy,1989,1A1B,Coal,,,,,
Italy,1989,1A1B,Natural gas,,,,,
Italy,1989,1A1B,Oil,,,,,
Italy,1989,1A1C,Coal,,,,,
Italy,1989,1A1C,Natural gas,,,,,
Italy,1989,1A1C,Oil,,,,,
Italy,1989,1A2,Coal,,,,,
Italy,1989,1A2,Natural gas,,,,,
Italy,1989,1A2,Oil,,,,,
Italy,1989,1A2A,Coal,,,,,
Italy,1989,1A2A,Natural gas,,,,,
Italy,1989,1A2A,Oil,,,,,
Italy,1989,1A2B,Coal,,,,,
Italy,1989,1A2B,Natural gas,,,,,
Italy,1989,1A2B,Oil,,,,,
Italy,1989,1A2C,Coal,,,,,
Italy,1989,1A2C,Natural gas,,,,,
Italy,1989,1A2C,Oil,,,,,
Italy,1989,1A2D,Coal,,,,,
Italy,1989,1A2D,Natural gas,,,,,
Italy,1989,1A2D,Oil,,,,,
Italy,1989,1A2E,Coal,,,,,
Italy,1989,1A2E,Natural gas,,,,,
Italy,1989,1A2E,Oil,,,,,
Italy,1989,1A2F,Coal,,,,,
Italy,1989,1A2F,Natural gas,,,,,
Italy,1989,1A2F,Oil,,,,,
Italy,1989,1A2G,Coal,,,,,
Italy,1989,1A2G,Natural gas,,,,,
Italy,1989,1A2G,Oil,,,,,
Italy,1989,1A2H,Coal,,,,,
Italy,1989,1A2H,Natural gas,,,,,
Italy,1989,1A2H,Oil,,,,,
Italy,1989,1A2I,Coal,,,,,
Italy,1989,1A2I,Natural gas,,,,,
Italy,1989,1A2I,Oil,,,,,
Italy,1989,1A2J,Coal,,,,,
Italy,1989,1A2J,Natural gas,,,,,
Italy,1989,1A2J,Oil,,,,,
Italy,1989,1A2K,Coal,,,,,
Italy,1989,1A2K,Natural gas,,,,,
Italy,1989,1A2K,Oil,,,,,
Italy,1989,1A2L,Coal,,,,,
Italy,1989,1A2L,Natural gas,,,,,
Italy,1989,1A2L,Oil,,,,,
Italy,1989,1A2M,Coal,,,,,
Italy,1989,1A2M,Natural gas,,,,,
Italy,1989,1A2M,Oil,,,,,
Italy,1989,1A3,Coal,,,,,
Italy,1989,1A3,Natural gas,,,,,
Italy,1989,1A3,Oil,,,,,
Italy,1989,1A3A,Coal,,,,,
Italy,1989,1A3A,Natural gas,,,,,
Italy,1989,1A3A,Oil,,,,,
Italy,1989,1A3A1,Coal,,,,,
Italy,1989,1A3A1,Natural gas,,,,,
Italy,1989,1A3A1,Oil,,,,,
Italy,1989,1A3A2,Coal,,,,,
Italy,1989,1A3A2,Natural gas,,,,,
Italy,1989,1A3A2,Oil,,,,,
Italy,1989,1A3B,Coal,,,,,
Italy,1989,1A3B,Natural gas,,,,,
Italy,1989,1A3B,Oil,,,,,
Italy,1989,1A3C,Coal,,,,,
Italy,1989,1A3C,Natural gas,,,,,
Italy,1989,1A3C,Oil,,,,,
Italy,1989,1A3D,Coal,,,,,
Italy,1989,1A3D,Natural gas,,,,,
Italy,1989,1A3D,Oil,,,,,
Italy,1989,1A3D1,Coal,,,,,
Italy,1989,1A3D1,Natural gas,,,,,
Italy,1989,1A3D1,Oil,,,,,
Italy,1989,1A3D2,Coal,,,,,
Italy,1989,1A3D2,Natural gas,,,,,
Italy,1989,1A3D2,Oil,,,,,
Italy,1989,1A3E,Coal,,,,,
Italy,1989,1A3E,Natural gas,,,,,
Italy,1989,1A3E,Oil,,,,,
Italy,1989,1A3E1,Coal,,,,,
Italy,1989,1A3E1,Natural gas,,,,,
Italy,1989,1A3E1,Oil,,,,,
Italy,1989,1A4,Coal,,,,,
Italy,1989,1A4,Natural gas,,,,,
Italy,1989,1A4,Oil,,,,,
Italy,1989,1A4A,Coal,,,,,
Italy,1989,1A4A,Natural gas,,,,,
Italy,1989,1A4A,Oil,,,,,
Italy,1989,1A4B,Coal,,,,,
Italy,1989,1A4B,Natural gas,,,,,
Italy,1989,1A4B,Oil,,,,,
Italy,1989,1A4C,Coal,,,,,
Italy,1989,1A4C,Natural gas,,,,,
Italy,1989,1A4C,Oil,,,,,
Italy,1989,1A4C1,Coal,,,,,
Italy,1989,1A4C1,Natural gas,,,,,
Italy,1989,1A4C1,Oil,,,,,
Italy,1989,1A4C2,Coal,,,,,
Italy,1989,1A4C2,Natural gas,,,,,
Italy,1989,1A4C2,Oil,,,,,
Italy,1989,1A4C3,Coal,,,,,
Italy,1989,1A4C3,Natural gas,,,,,
Italy,1989,1A4C3,Oil,,,,,
Italy,1989,1A5,Coal,,,,,
Italy,1989,1A5,Natural gas,,,,,
Italy,1989,1A5,Oil,,,,,
Italy,1989,1A5A,Coal,,,,,
Italy,1989,1A5A,Natural gas,,,,,
Italy,1989,1A5A,Oil,,,,,
Italy,1989,1A5B,Coal,,,,,
Italy,1989,1A5B,Natural gas,,,,,
Italy,1989,1A5B,Oil,,,,,
Italy,1989,1A5C,Coal,,,,,
Italy,1989,1A5C,Natural gas,,,,,
Italy,1989,1A5C,Oil,,,,,
Italy,1989,1B,,,,,,
Italy,1989,1B1,,,,,,
Italy,1989,1B1A,,,,,,
Italy,1989,1B1A1,,,,,,
Italy,1989,1B1A11,,,,,,
Italy,1989,1B1A12,,,,,,
Italy,1989,1B1A13,,,,,,
Italy,1989,1B1A14,,,,,,
Italy,1989,1B1A2,,,,,,
Italy,1989,1B1A21,,,,,,
Italy,1989,1B1A22,,,,,,
Italy,1989,1B1B,,,,,,
Italy,1989,1B2,,,,,,
Italy,1989,1B2A,,,,,,
Italy,1989,1B2A1,,,,,,
Italy,1989,1B2A2,,,,,,
Italy,1989,1B2A3,,,,,,
Italy,1989,1B2A31,,,,,,
Italy,1989,1B2A32,,,,,,
Italy,1989,1B2A33,,,,,,
Italy,1989,1B2A34,,,,,,
Italy,1989,1B2A35,,,,,,
Italy,1989,1B2A36,,,,,,
Italy,1989,1B2B,,,,,,
Italy,1989,1B2B1,,,,,,
Italy,1989,1B2B2,,,,,,
Italy,1989,1B2B3,,,,,,
Italy,1989,1B2B31,,,,,,
Italy,1989,1B2B32,,,,,,
Italy,1989,1B2B33,,,,,,
Italy,1989,1B2B34,,,,,,
Italy,1989,1B2B35,,,,,,
Italy,1989,1B2B36,,,,,,
Italy,1989,1B3,,,,,,
Italy,1989,1C,,,,,,
Italy,1989,1C1,,,,,,
