Jurisdiction,Year,IPCC_cat_code,Product,tax_dummy,ets_dummy,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Lao PDR,1989,0,,,,,,
Lao PDR,1989,1,,,,,,
Lao PDR,1989,1A,Coal/peat,,,,,
Lao PDR,1989,1A,Natural gas,,,,,
Lao PDR,1989,1A,Oil,,,,,
Lao PDR,1989,1A1,Coal/peat,,,,,
Lao PDR,1989,1A1,Natural gas,,,,,
Lao PDR,1989,1A1,Oil,,,,,
Lao PDR,1989,1A1A,Coal/peat,,,,,
Lao PDR,1989,1A1A,Natural gas,,,,,
Lao PDR,1989,1A1A,Oil,,,,,
Lao PDR,1989,1A1A1,Coal/peat,,,,,
Lao PDR,1989,1A1A1,Natural gas,,,,,
Lao PDR,1989,1A1A1,Oil,,,,,
Lao PDR,1989,1A1A2,Coal/peat,,,,,
Lao PDR,1989,1A1A2,Natural gas,,,,,
Lao PDR,1989,1A1A2,Oil,,,,,
Lao PDR,1989,1A1A3,Coal/peat,,,,,
Lao PDR,1989,1A1A3,Natural gas,,,,,
Lao PDR,1989,1A1A3,Oil,,,,,
Lao PDR,1989,1A1B,Coal/peat,,,,,
Lao PDR,1989,1A1B,Natural gas,,,,,
Lao PDR,1989,1A1B,Oil,,,,,
Lao PDR,1989,1A1C,Coal/peat,,,,,
Lao PDR,1989,1A1C,Natural gas,,,,,
Lao PDR,1989,1A1C,Oil,,,,,
Lao PDR,1989,1A2,Coal/peat,,,,,
Lao PDR,1989,1A2,Natural gas,,,,,
Lao PDR,1989,1A2,Oil,,,,,
Lao PDR,1989,1A2A,Coal/peat,,,,,
Lao PDR,1989,1A2A,Natural gas,,,,,
Lao PDR,1989,1A2A,Oil,,,,,
Lao PDR,1989,1A2B,Coal/peat,,,,,
Lao PDR,1989,1A2B,Natural gas,,,,,
Lao PDR,1989,1A2B,Oil,,,,,
Lao PDR,1989,1A2C,Coal/peat,,,,,
Lao PDR,1989,1A2C,Natural gas,,,,,
Lao PDR,1989,1A2C,Oil,,,,,
Lao PDR,1989,1A2D,Coal/peat,,,,,
Lao PDR,1989,1A2D,Natural gas,,,,,
Lao PDR,1989,1A2D,Oil,,,,,
Lao PDR,1989,1A2E,Coal/peat,,,,,
Lao PDR,1989,1A2E,Natural gas,,,,,
Lao PDR,1989,1A2E,Oil,,,,,
Lao PDR,1989,1A2F,Coal/peat,,,,,
Lao PDR,1989,1A2F,Natural gas,,,,,
Lao PDR,1989,1A2F,Oil,,,,,
Lao PDR,1989,1A2G,Coal/peat,,,,,
Lao PDR,1989,1A2G,Natural gas,,,,,
Lao PDR,1989,1A2G,Oil,,,,,
Lao PDR,1989,1A2H,Coal/peat,,,,,
Lao PDR,1989,1A2H,Natural gas,,,,,
Lao PDR,1989,1A2H,Oil,,,,,
Lao PDR,1989,1A2I,Coal/peat,,,,,
Lao PDR,1989,1A2I,Natural gas,,,,,
Lao PDR,1989,1A2I,Oil,,,,,
Lao PDR,1989,1A2J,Coal/peat,,,,,
Lao PDR,1989,1A2J,Natural gas,,,,,
Lao PDR,1989,1A2J,Oil,,,,,
Lao PDR,1989,1A2K,Coal/peat,,,,,
Lao PDR,1989,1A2K,Natural gas,,,,,
Lao PDR,1989,1A2K,Oil,,,,,
