Jurisdiction,Year,IPCC_cat_code,Product,tax,ets,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Lithuania,1989,0,,,,,,
Lithuania,1989,1,,,,,,
Lithuania,1989,1A,Coal/peat,,,,,
Lithuania,1989,1A,Natural gas,,,,,
Lithuania,1989,1A,Oil,,,,,
Lithuania,1989,1A1,Coal/peat,,,,,
Lithuania,1989,1A1,Natural gas,,,,,
Lithuania,1989,1A1,Oil,,,,,
Lithuania,1989,1A1A,Coal/peat,,,,,
Lithuania,1989,1A1A,Natural gas,,,,,
Lithuania,1989,1A1A,Oil,,,,,
Lithuania,1989,1A1A1,Coal/peat,,,,,
Lithuania,1989,1A1A1,Natural gas,,,,,
Lithuania,1989,1A1A1,Oil,,,,,
Lithuania,1989,1A1A2,Coal/peat,,,,,
Lithuania,1989,1A1A2,Natural gas,,,,,
Lithuania,1989,1A1A2,Oil,,,,,
Lithuania,1989,1A1A3,Coal/peat,,,,,
Lithuania,1989,1A1A3,Natural gas,,,,,
Lithuania,1989,1A1A3,Oil,,,,,
Lithuania,1989,1A1B,Coal/peat,,,,,
Lithuania,1989,1A1B,Natural gas,,,,,
Lithuania,1989,1A1B,Oil,,,,,
Lithuania,1989,1A1C,Coal/peat,,,,,
Lithuania,1989,1A1C,Natural gas,,,,,
Lithuania,1989,1A1C,Oil,,,,,
Lithuania,1989,1A2,Coal/peat,,,,,
Lithuania,1989,1A2,Natural gas,,,,,
Lithuania,1989,1A2,Oil,,,,,
Lithuania,1989,1A2A,Coal/peat,,,,,
Lithuania,1989,1A2A,Natural gas,,,,,
Lithuania,1989,1A2A,Oil,,,,,
Lithuania,1989,1A2B,Coal/peat,,,,,
Lithuania,1989,1A2B,Natural gas,,,,,
Lithuania,1989,1A2B,Oil,,,,,
Lithuania,1989,1A2C,Coal/peat,,,,,
Lithuania,1989,1A2C,Natural gas,,,,,
Lithuania,1989,1A2C,Oil,,,,,
Lithuania,1989,1A2D,Coal/peat,,,,,
Lithuania,1989,1A2D,Natural gas,,,,,
Lithuania,1989,1A2D,Oil,,,,,
Lithuania,1989,1A2E,Coal/peat,,,,,
Lithuania,1989,1A2E,Natural gas,,,,,
Lithuania,1989,1A2E,Oil,,,,,
Lithuania,1989,1A2F,Coal/peat,,,,,
Lithuania,1989,1A2F,Natural gas,,,,,
Lithuania,1989,1A2F,Oil,,,,,
Lithuania,1989,1A2G,Coal/peat,,,,,
Lithuania,1989,1A2G,Natural gas,,,,,
Lithuania,1989,1A2G,Oil,,,,,
Lithuania,1989,1A2H,Coal/peat,,,,,
Lithuania,1989,1A2H,Natural gas,,,,,
Lithuania,1989,1A2H,Oil,,,,,
Lithuania,1989,1A2I,Coal/peat,,,,,
Lithuania,1989,1A2I,Natural gas,,,,,
Lithuania,1989,1A2I,Oil,,,,,
Lithuania,1989,1A2J,Coal/peat,,,,,
Lithuania,1989,1A2J,Natural gas,,,,,
Lithuania,1989,1A2J,Oil,,,,,
Lithuania,1989,1A2K,Coal/peat,,,,,
Lithuania,1989,1A2K,Natural gas,,,,,
Lithuania,1989,1A2K,Oil,,,,,
Lithuania,1989,1A2L,Coal/peat,,,,,
Lithuania,1989,1A2L,Natural gas,,,,,
Lithuania,1989,1A2L,Oil,,,,,
Lithuania,1989,1A2M,Coal/peat,,,,,
Lithuania,1989,1A2M,Natural gas,,,,,
Lithuania,1989,1A2M,Oil,,,,,
Lithuania,1989,1A3,Coal/peat,,,,,
Lithuania,1989,1A3,Natural gas,,,,,
Lithuania,1989,1A3,Oil,,,,,
Lithuania,1989,1A3A,Coal/peat,,,,,
Lithuania,1989,1A3A,Natural gas,,,,,
Lithuania,1989,1A3A,Oil,,,,,
Lithuania,1989,1A3A1,Coal/peat,,,,,
Lithuania,1989,1A3A1,Natural gas,,,,,
Lithuania,1989,1A3A1,Oil,,,,,
Lithuania,1989,1A3A2,Coal/peat,,,,,
Lithuania,1989,1A3A2,Natural gas,,,,,
Lithuania,1989,1A3A2,Oil,,,,,
Lithuania,1989,1A3B,Coal/peat,,,,,
Lithuania,1989,1A3B,Natural gas,,,,,
Lithuania,1989,1A3B,Oil,,,,,
Lithuania,1989,1A3C,Coal/peat,,,,,
Lithuania,1989,1A3C,Natural gas,,,,,
Lithuania,1989,1A3C,Oil,,,,,
Lithuania,1989,1A3D,Coal/peat,,,,,
Lithuania,1989,1A3D,Natural gas,,,,,
