jurisdiction,year,ipcc_code,Product,tax,ets,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Montenegro,1989,0,,,,,,
Montenegro,1989,1,,,,,,
Montenegro,1989,1A,Coal/peat,,,,,
Montenegro,1989,1A,Natural gas,,,,,
Montenegro,1989,1A,Oil,,,,,
Montenegro,1989,1A1,Coal/peat,,,,,
Montenegro,1989,1A1,Natural gas,,,,,
Montenegro,1989,1A1,Oil,,,,,
Montenegro,1989,1A1A,Coal/peat,,,,,
Montenegro,1989,1A1A,Natural gas,,,,,
Montenegro,1989,1A1A,Oil,,,,,
Montenegro,1989,1A1A1,Coal/peat,,,,,
Montenegro,1989,1A1A1,Natural gas,,,,,
Montenegro,1989,1A1A1,Oil,,,,,
Montenegro,1989,1A1A2,Coal/peat,,,,,
Montenegro,1989,1A1A2,Natural gas,,,,,
Montenegro,1989,1A1A2,Oil,,,,,
Montenegro,1989,1A1A3,Coal/peat,,,,,
Montenegro,1989,1A1A3,Natural gas,,,,,
Montenegro,1989,1A1A3,Oil,,,,,
Montenegro,1989,1A1B,Coal/peat,,,,,
Montenegro,1989,1A1B,Natural gas,,,,,
Montenegro,1989,1A1B,Oil,,,,,
Montenegro,1989,1A1C,Coal/peat,,,,,
Montenegro,1989,1A1C,Natural gas,,,,,
Montenegro,1989,1A1C,Oil,,,,,
Montenegro,1989,1A2,Coal/peat,,,,,
Montenegro,1989,1A2,Natural gas,,,,,
Montenegro,1989,1A2,Oil,,,,,
Montenegro,1989,1A2A,Coal/peat,,,,,
Montenegro,1989,1A2A,Natural gas,,,,,
Montenegro,1989,1A2A,Oil,,,,,
Montenegro,1989,1A2B,Coal/peat,,,,,
Montenegro,1989,1A2B,Natural gas,,,,,
Montenegro,1989,1A2B,Oil,,,,,
Montenegro,1989,1A2C,Coal/peat,,,,,
Montenegro,1989,1A2C,Natural gas,,,,,
Montenegro,1989,1A2C,Oil,,,,,
Montenegro,1989,1A2D,Coal/peat,,,,,
Montenegro,1989,1A2D,Natural gas,,,,,
Montenegro,1989,1A2D,Oil,,,,,
Montenegro,1989,1A2E,Coal/peat,,,,,
Montenegro,1989,1A2E,Natural gas,,,,,
Montenegro,1989,1A2E,Oil,,,,,
Montenegro,1989,1A2F,Coal/peat,,,,,
Montenegro,1989,1A2F,Natural gas,,,,,
Montenegro,1989,1A2F,Oil,,,,,
Montenegro,1989,1A2G,Coal/peat,,,,,
Montenegro,1989,1A2G,Natural gas,,,,,
Montenegro,1989,1A2G,Oil,,,,,
Montenegro,1989,1A2H,Coal/peat,,,,,
Montenegro,1989,1A2H,Natural gas,,,,,
Montenegro,1989,1A2H,Oil,,,,,
Montenegro,1989,1A2I,Coal/peat,,,,,
Montenegro,1989,1A2I,Natural gas,,,,,
Montenegro,1989,1A2I,Oil,,,,,
Montenegro,1989,1A2J,Coal/peat,,,,,
Montenegro,1989,1A2J,Natural gas,,,,,
Montenegro,1989,1A2J,Oil,,,,,
Montenegro,1989,1A2K,Coal/peat,,,,,
Montenegro,1989,1A2K,Natural gas,,,,,
Montenegro,1989,1A2K,Oil,,,,,
Montenegro,1989,1A2L,Coal/peat,,,,,
Montenegro,1989,1A2L,Natural gas,,,,,
Montenegro,1989,1A2L,Oil,,,,,
Montenegro,1989,1A2M,Coal/peat,,,,,
Montenegro,1989,1A2M,Natural gas,,,,,
