jurisdiction,year,ipcc_code,Product,tax,ets,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Pakistan,1989,0,,,,,,
Pakistan,1989,1,,,,,,
Pakistan,1989,1A,Coal,,,,,
Pakistan,1989,1A,Natural gas,,,,,
Pakistan,1989,1A,Oil,,,,,
Pakistan,1989,1A1,Coal,,,,,
Pakistan,1989,1A1,Natural gas,,,,,
Pakistan,1989,1A1,Oil,,,,,
Pakistan,1989,1A1A,Coal,,,,,
Pakistan,1989,1A1A,Natural gas,,,,,
Pakistan,1989,1A1A,Oil,,,,,
Pakistan,1989,1A1A1,Coal,,,,,
Pakistan,1989,1A1A1,Natural gas,,,,,
Pakistan,1989,1A1A1,Oil,,,,,
Pakistan,1989,1A1A2,Coal,,,,,
Pakistan,1989,1A1A2,Natural gas,,,,,
Pakistan,1989,1A1A2,Oil,,,,,
Pakistan,1989,1A1A3,Coal,,,,,
Pakistan,1989,1A1A3,Natural gas,,,,,
Pakistan,1989,1A1A3,Oil,,,,,
Pakistan,1989,1A1B,Coal,,,,,
Pakistan,1989,1A1B,Natural gas,,,,,
Pakistan,1989,1A1B,Oil,,,,,
Pakistan,1989,1A1C,Coal,,,,,
Pakistan,1989,1A1C,Natural gas,,,,,
Pakistan,1989,1A1C,Oil,,,,,
Pakistan,1989,1A2,Coal,,,,,
Pakistan,1989,1A2,Natural gas,,,,,
Pakistan,1989,1A2,Oil,,,,,
Pakistan,1989,1A2A,Coal,,,,,
Pakistan,1989,1A2A,Natural gas,,,,,
Pakistan,1989,1A2A,Oil,,,,,
Pakistan,1989,1A2B,Coal,,,,,
Pakistan,1989,1A2B,Natural gas,,,,,
Pakistan,1989,1A2B,Oil,,,,,
Pakistan,1989,1A2C,Coal,,,,,
Pakistan,1989,1A2C,Natural gas,,,,,
Pakistan,1989,1A2C,Oil,,,,,
Pakistan,1989,1A2D,Coal,,,,,
Pakistan,1989,1A2D,Natural gas,,,,,
Pakistan,1989,1A2D,Oil,,,,,
Pakistan,1989,1A2E,Coal,,,,,
Pakistan,1989,1A2E,Natural gas,,,,,
Pakistan,1989,1A2E,Oil,,,,,
Pakistan,1989,1A2F,Coal,,,,,
Pakistan,1989,1A2F,Natural gas,,,,,
Pakistan,1989,1A2F,Oil,,,,,
Pakistan,1989,1A2G,Coal,,,,,
Pakistan,1989,1A2G,Natural gas,,,,,
Pakistan,1989,1A2G,Oil,,,,,
Pakistan,1989,1A2H,Coal,,,,,
Pakistan,1989,1A2H,Natural gas,,,,,
Pakistan,1989,1A2H,Oil,,,,,
Pakistan,1989,1A2I,Coal,,,,,
Pakistan,1989,1A2I,Natural gas,,,,,
Pakistan,1989,1A2I,Oil,,,,,
Pakistan,1989,1A2J,Coal,,,,,
Pakistan,1989,1A2J,Natural gas,,,,,
Pakistan,1989,1A2J,Oil,,,,,
Pakistan,1989,1A2K,Coal,,,,,
