jurisdiction,year,ipcc_code,Product,tax,ets,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Sao Tome and Principe,1989,0,,,,,,
Sao Tome and Principe,1989,1,,,,,,
Sao Tome and Principe,1989,1A,Coal/peat,,,,,
Sao Tome and Principe,1989,1A,Natural gas,,,,,
Sao Tome and Principe,1989,1A,Oil,,,,,
Sao Tome and Principe,1989,1A1,Coal/peat,,,,,
Sao Tome and Principe,1989,1A1,Natural gas,,,,,
Sao Tome and Principe,1989,1A1,Oil,,,,,
Sao Tome and Principe,1989,1A1A,Coal/peat,,,,,
Sao Tome and Principe,1989,1A1A,Natural gas,,,,,
Sao Tome and Principe,1989,1A1A,Oil,,,,,
Sao Tome and Principe,1989,1A1A1,Coal/peat,,,,,
Sao Tome and Principe,1989,1A1A1,Natural gas,,,,,
Sao Tome and Principe,1989,1A1A1,Oil,,,,,
Sao Tome and Principe,1989,1A1A2,Coal/peat,,,,,
Sao Tome and Principe,1989,1A1A2,Natural gas,,,,,
Sao Tome and Principe,1989,1A1A2,Oil,,,,,
Sao Tome and Principe,1989,1A1A3,Coal/peat,,,,,
Sao Tome and Principe,1989,1A1A3,Natural gas,,,,,
Sao Tome and Principe,1989,1A1A3,Oil,,,,,
Sao Tome and Principe,1989,1A1B,Coal/peat,,,,,
Sao Tome and Principe,1989,1A1B,Natural gas,,,,,
Sao Tome and Principe,1989,1A1B,Oil,,,,,
Sao Tome and Principe,1989,1A1C,Coal/peat,,,,,
Sao Tome and Principe,1989,1A1C,Natural gas,,,,,
Sao Tome and Principe,1989,1A1C,Oil,,,,,
Sao Tome and Principe,1989,1A2,Coal/peat,,,,,
Sao Tome and Principe,1989,1A2,Natural gas,,,,,
Sao Tome and Principe,1989,1A2,Oil,,,,,
Sao Tome and Principe,1989,1A2A,Coal/peat,,,,,
Sao Tome and Principe,1989,1A2A,Natural gas,,,,,
Sao Tome and Principe,1989,1A2A,Oil,,,,,
Sao Tome and Principe,1989,1A2B,Coal/peat,,,,,
Sao Tome and Principe,1989,1A2B,Natural gas,,,,,
Sao Tome and Principe,1989,1A2B,Oil,,,,,
Sao Tome and Principe,1989,1A2C,Coal/peat,,,,,
Sao Tome and Principe,1989,1A2C,Natural gas,,,,,
Sao Tome and Principe,1989,1A2C,Oil,,,,,
Sao Tome and Principe,1989,1A2D,Coal/peat,,,,,
Sao Tome and Principe,1989,1A2D,Natural gas,,,,,
Sao Tome and Principe,1989,1A2D,Oil,,,,,
Sao Tome and Principe,1989,1A2E,Coal/peat,,,,,
Sao Tome and Principe,1989,1A2E,Natural gas,,,,,
Sao Tome and Principe,1989,1A2E,Oil,,,,,
Sao Tome and Principe,1989,1A2F,Coal/peat,,,,,
Sao Tome and Principe,1989,1A2F,Natural gas,,,,,
Sao Tome and Principe,1989,1A2F,Oil,,,,,
Sao Tome and Principe,1989,1A2G,Coal/peat,,,,,
Sao Tome and Principe,1989,1A2G,Natural gas,,,,,
Sao Tome and Principe,1989,1A2G,Oil,,,,,
Sao Tome and Principe,1989,1A2H,Coal/peat,,,,,
Sao Tome and Principe,1989,1A2H,Natural gas,,,,,
Sao Tome and Principe,1989,1A2H,Oil,,,,,
Sao Tome and Principe,1989,1A2I,Coal/peat,,,,,
Sao Tome and Principe,1989,1A2I,Natural gas,,,,,
Sao Tome and Principe,1989,1A2I,Oil,,,,,
Sao Tome and Principe,1989,1A2J,Coal/peat,,,,,
Sao Tome and Principe,1989,1A2J,Natural gas,,,,,
Sao Tome and Principe,1989,1A2J,Oil,,,,,
Sao Tome and Principe,1989,1A2K,Coal/peat,,,,,
Sao Tome and Principe,1989,1A2K,Natural gas,,,,,
Sao Tome and Principe,1989,1A2K,Oil,,,,,
Sao Tome and Principe,1989,1A2L,Coal/peat,,,,,
Sao Tome and Principe,1989,1A2L,Natural gas,,,,,
Sao Tome and Principe,1989,1A2L,Oil,,,,,
Sao Tome and Principe,1989,1A2M,Coal/peat,,,,,
Sao Tome and Principe,1989,1A2M,Natural gas,,,,,
Sao Tome and Principe,1989,1A2M,Oil,,,,,
Sao Tome and Principe,1989,1A3,Coal/peat,,,,,
Sao Tome and Principe,1989,1A3,Natural gas,,,,,
Sao Tome and Principe,1989,1A3,Oil,,,,,
Sao Tome and Principe,1989,1A3A,Coal/peat,,,,,
Sao Tome and Principe,1989,1A3A,Natural gas,,,,,
Sao Tome and Principe,1989,1A3A,Oil,,,,,
Sao Tome and Principe,1989,1A3A1,Coal/peat,,,,,
Sao Tome and Principe,1989,1A3A1,Natural gas,,,,,
Sao Tome and Principe,1989,1A3A1,Oil,,,,,
Sao Tome and Principe,1989,1A3A2,Coal/peat,,,,,
Sao Tome and Principe,1989,1A3A2,Natural gas,,,,,
Sao Tome and Principe,1989,1A3A2,Oil,,,,,
Sao Tome and Principe,1989,1A3B,Coal/peat,,,,,
Sao Tome and Principe,1989,1A3B,Natural gas,,,,,
Sao Tome and Principe,1989,1A3B,Oil,,,,,
Sao Tome and Principe,1989,1A3C,Coal/peat,,,,,
Sao Tome and Principe,1989,1A3C,Natural gas,,,,,
Sao Tome and Principe,1989,1A3C,Oil,,,,,
Sao Tome and Principe,1989,1A3D,Coal/peat,,,,,
Sao Tome and Principe,1989,1A3D,Natural gas,,,,,
Sao Tome and Principe,1989,1A3D,Oil,,,,,
Sao Tome and Principe,1989,1A3D1,Coal/peat,,,,,
Sao Tome and Principe,1989,1A3D1,Natural gas,,,,,
Sao Tome and Principe,1989,1A3D1,Oil,,,,,
Sao Tome and Principe,1989,1A3D2,Coal/peat,,,,,
Sao Tome and Principe,1989,1A3D2,Natural gas,,,,,
Sao Tome and Principe,1989,1A3D2,Oil,,,,,
Sao Tome and Principe,1989,1A3E,Coal/peat,,,,,
Sao Tome and Principe,1989,1A3E,Natural gas,,,,,
Sao Tome and Principe,1989,1A3E,Oil,,,,,
Sao Tome and Principe,1989,1A3E1,Coal/peat,,,,,
Sao Tome and Principe,1989,1A3E1,Natural gas,,,,,
Sao Tome and Principe,1989,1A3E1,Oil,,,,,
Sao Tome and Principe,1989,1A4,Coal/peat,,,,,
Sao Tome and Principe,1989,1A4,Natural gas,,,,,
Sao Tome and Principe,1989,1A4,Oil,,,,,
Sao Tome and Principe,1989,1A4A,Coal/peat,,,,,
Sao Tome and Principe,1989,1A4A,Natural gas,,,,,
Sao Tome and Principe,1989,1A4A,Oil,,,,,
Sao Tome and Principe,1989,1A4B,Coal/peat,,,,,
Sao Tome and Principe,1989,1A4B,Natural gas,,,,,
Sao Tome and Principe,1989,1A4B,Oil,,,,,
Sao Tome and Principe,1989,1A4C,Coal/peat,,,,,
Sao Tome and Principe,1989,1A4C,Natural gas,,,,,
Sao Tome and Principe,1989,1A4C,Oil,,,,,
Sao Tome and Principe,1989,1A4C1,Coal/peat,,,,,
Sao Tome and Principe,1989,1A4C1,Natural gas,,,,,
