jurisdiction,year,ipcc_code,Product,tax,ets,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Tanzania,1989,0,,,,,,
Tanzania,1989,1,,,,,,
Tanzania,1989,1A,Coal/peat,,,,,
Tanzania,1989,1A,Natural gas,,,,,
Tanzania,1989,1A,Oil,,,,,
Tanzania,1989,1A1,Coal/peat,,,,,
Tanzania,1989,1A1,Natural gas,,,,,
Tanzania,1989,1A1,Oil,,,,,
Tanzania,1989,1A1A,Coal/peat,,,,,
Tanzania,1989,1A1A,Natural gas,,,,,
Tanzania,1989,1A1A,Oil,,,,,
Tanzania,1989,1A1A1,Coal/peat,,,,,
Tanzania,1989,1A1A1,Natural gas,,,,,
Tanzania,1989,1A1A1,Oil,,,,,
Tanzania,1989,1A1A2,Coal/peat,,,,,
Tanzania,1989,1A1A2,Natural gas,,,,,
Tanzania,1989,1A1A2,Oil,,,,,
Tanzania,1989,1A1A3,Coal/peat,,,,,
Tanzania,1989,1A1A3,Natural gas,,,,,
Tanzania,1989,1A1A3,Oil,,,,,
Tanzania,1989,1A1B,Coal/peat,,,,,
Tanzania,1989,1A1B,Natural gas,,,,,
Tanzania,1989,1A1B,Oil,,,,,
Tanzania,1989,1A1C,Coal/peat,,,,,
Tanzania,1989,1A1C,Natural gas,,,,,
Tanzania,1989,1A1C,Oil,,,,,
Tanzania,1989,1A2,Coal/peat,,,,,
Tanzania,1989,1A2,Natural gas,,,,,
Tanzania,1989,1A2,Oil,,,,,
Tanzania,1989,1A2A,Coal/peat,,,,,
Tanzania,1989,1A2A,Natural gas,,,,,
Tanzania,1989,1A2A,Oil,,,,,
Tanzania,1989,1A2B,Coal/peat,,,,,
Tanzania,1989,1A2B,Natural gas,,,,,
Tanzania,1989,1A2B,Oil,,,,,
Tanzania,1989,1A2C,Coal/peat,,,,,
Tanzania,1989,1A2C,Natural gas,,,,,
Tanzania,1989,1A2C,Oil,,,,,
Tanzania,1989,1A2D,Coal/peat,,,,,
Tanzania,1989,1A2D,Natural gas,,,,,
Tanzania,1989,1A2D,Oil,,,,,
Tanzania,1989,1A2E,Coal/peat,,,,,
Tanzania,1989,1A2E,Natural gas,,,,,
Tanzania,1989,1A2E,Oil,,,,,
Tanzania,1989,1A2F,Coal/peat,,,,,
Tanzania,1989,1A2F,Natural gas,,,,,
Tanzania,1989,1A2F,Oil,,,,,
Tanzania,1989,1A2G,Coal/peat,,,,,
Tanzania,1989,1A2G,Natural gas,,,,,
Tanzania,1989,1A2G,Oil,,,,,
Tanzania,1989,1A2H,Coal/peat,,,,,
Tanzania,1989,1A2H,Natural gas,,,,,
Tanzania,1989,1A2H,Oil,,,,,
Tanzania,1989,1A2I,Coal/peat,,,,,
Tanzania,1989,1A2I,Natural gas,,,,,
Tanzania,1989,1A2I,Oil,,,,,
Tanzania,1989,1A2J,Coal/peat,,,,,
Tanzania,1989,1A2J,Natural gas,,,,,
Tanzania,1989,1A2J,Oil,,,,,
Tanzania,1989,1A2K,Coal/peat,,,,,
Tanzania,1989,1A2K,Natural gas,,,,,
Tanzania,1989,1A2K,Oil,,,,,
Tanzania,1989,1A2L,Coal/peat,,,,,
Tanzania,1989,1A2L,Natural gas,,,,,
Tanzania,1989,1A2L,Oil,,,,,
Tanzania,1989,1A2M,Coal/peat,,,,,
Tanzania,1989,1A2M,Natural gas,,,,,
Tanzania,1989,1A2M,Oil,,,,,
Tanzania,1989,1A3,Coal/peat,,,,,
Tanzania,1989,1A3,Natural gas,,,,,
Tanzania,1989,1A3,Oil,,,,,
Tanzania,1989,1A3A,Coal/peat,,,,,
Tanzania,1989,1A3A,Natural gas,,,,,
Tanzania,1989,1A3A,Oil,,,,,
Tanzania,1989,1A3A1,Coal/peat,,,,,
Tanzania,1989,1A3A1,Natural gas,,,,,
Tanzania,1989,1A3A1,Oil,,,,,
Tanzania,1989,1A3A2,Coal/peat,,,,,
Tanzania,1989,1A3A2,Natural gas,,,,,
Tanzania,1989,1A3A2,Oil,,,,,
Tanzania,1989,1A3B,Coal/peat,,,,,
Tanzania,1989,1A3B,Natural gas,,,,,
Tanzania,1989,1A3B,Oil,,,,,
Tanzania,1989,1A3C,Coal/peat,,,,,
Tanzania,1989,1A3C,Natural gas,,,,,
Tanzania,1989,1A3C,Oil,,,,,
