jurisdiction,year,ipcc_code,Product,tax,ets,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Guizhou Province,1989,0,,,,,,
Guizhou Province,1989,1,,,,,,
Guizhou Province,1989,1A,Coal/peat,,,,,
Guizhou Province,1989,1A,Natural gas,,,,,
Guizhou Province,1989,1A,Oil,,,,,
Guizhou Province,1989,1A1,Coal/peat,,,,,
Guizhou Province,1989,1A1,Natural gas,,,,,
Guizhou Province,1989,1A1,Oil,,,,,
Guizhou Province,1989,1A1A,Coal/peat,,,,,
Guizhou Province,1989,1A1A,Natural gas,,,,,
Guizhou Province,1989,1A1A,Oil,,,,,
Guizhou Province,1989,1A1A1,Coal/peat,,,,,
Guizhou Province,1989,1A1A1,Natural gas,,,,,
Guizhou Province,1989,1A1A1,Oil,,,,,
Guizhou Province,1989,1A1A2,Coal/peat,,,,,
Guizhou Province,1989,1A1A2,Natural gas,,,,,
Guizhou Province,1989,1A1A2,Oil,,,,,
Guizhou Province,1989,1A1A3,Coal/peat,,,,,
Guizhou Province,1989,1A1A3,Natural gas,,,,,
Guizhou Province,1989,1A1A3,Oil,,,,,
Guizhou Province,1989,1A1B,Coal/peat,,,,,
Guizhou Province,1989,1A1B,Natural gas,,,,,
Guizhou Province,1989,1A1B,Oil,,,,,
Guizhou Province,1989,1A1C,Coal/peat,,,,,
Guizhou Province,1989,1A1C,Natural gas,,,,,
Guizhou Province,1989,1A1C,Oil,,,,,
Guizhou Province,1989,1A2,Coal/peat,,,,,
Guizhou Province,1989,1A2,Natural gas,,,,,
Guizhou Province,1989,1A2,Oil,,,,,
Guizhou Province,1989,1A2A,Coal/peat,,,,,
Guizhou Province,1989,1A2A,Natural gas,,,,,
Guizhou Province,1989,1A2A,Oil,,,,,
Guizhou Province,1989,1A2B,Coal/peat,,,,,
Guizhou Province,1989,1A2B,Natural gas,,,,,
Guizhou Province,1989,1A2B,Oil,,,,,
Guizhou Province,1989,1A2C,Coal/peat,,,,,
Guizhou Province,1989,1A2C,Natural gas,,,,,
Guizhou Province,1989,1A2C,Oil,,,,,
Guizhou Province,1989,1A2D,Coal/peat,,,,,
Guizhou Province,1989,1A2D,Natural gas,,,,,
Guizhou Province,1989,1A2D,Oil,,,,,
Guizhou Province,1989,1A2E,Coal/peat,,,,,
Guizhou Province,1989,1A2E,Natural gas,,,,,
Guizhou Province,1989,1A2E,Oil,,,,,
Guizhou Province,1989,1A2F,Coal/peat,,,,,
Guizhou Province,1989,1A2F,Natural gas,,,,,
