Jurisdiction,Year,IPCC_cat_code,Product,tax_dummy,ets_dummy,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Jilin Province,1989,0,,,,,,
Jilin Province,1989,1,,,,,,
Jilin Province,1989,1A,Coal/peat,,,,,
Jilin Province,1989,1A,Natural gas,,,,,
Jilin Province,1989,1A,Oil,,,,,
Jilin Province,1989,1A1,Coal/peat,,,,,
Jilin Province,1989,1A1,Natural gas,,,,,
Jilin Province,1989,1A1,Oil,,,,,
Jilin Province,1989,1A1A,Coal/peat,,,,,
Jilin Province,1989,1A1A,Natural gas,,,,,
Jilin Province,1989,1A1A,Oil,,,,,
Jilin Province,1989,1A1A1,Coal/peat,,,,,
Jilin Province,1989,1A1A1,Natural gas,,,,,
Jilin Province,1989,1A1A1,Oil,,,,,
Jilin Province,1989,1A1A2,Coal/peat,,,,,
Jilin Province,1989,1A1A2,Natural gas,,,,,
Jilin Province,1989,1A1A2,Oil,,,,,
Jilin Province,1989,1A1A3,Coal/peat,,,,,
Jilin Province,1989,1A1A3,Natural gas,,,,,
Jilin Province,1989,1A1A3,Oil,,,,,
Jilin Province,1989,1A1B,Coal/peat,,,,,
Jilin Province,1989,1A1B,Natural gas,,,,,
Jilin Province,1989,1A1B,Oil,,,,,
Jilin Province,1989,1A1C,Coal/peat,,,,,
Jilin Province,1989,1A1C,Natural gas,,,,,
Jilin Province,1989,1A1C,Oil,,,,,
Jilin Province,1989,1A2,Coal/peat,,,,,
Jilin Province,1989,1A2,Natural gas,,,,,
Jilin Province,1989,1A2,Oil,,,,,
Jilin Province,1989,1A2A,Coal/peat,,,,,
Jilin Province,1989,1A2A,Natural gas,,,,,
Jilin Province,1989,1A2A,Oil,,,,,
Jilin Province,1989,1A2B,Coal/peat,,,,,
Jilin Province,1989,1A2B,Natural gas,,,,,
Jilin Province,1989,1A2B,Oil,,,,,
Jilin Province,1989,1A2C,Coal/peat,,,,,
Jilin Province,1989,1A2C,Natural gas,,,,,
Jilin Province,1989,1A2C,Oil,,,,,
Jilin Province,1989,1A2D,Coal/peat,,,,,
Jilin Province,1989,1A2D,Natural gas,,,,,
Jilin Province,1989,1A2D,Oil,,,,,
Jilin Province,1989,1A2E,Coal/peat,,,,,
Jilin Province,1989,1A2E,Natural gas,,,,,
Jilin Province,1989,1A2E,Oil,,,,,
Jilin Province,1989,1A2F,Coal/peat,,,,,
Jilin Province,1989,1A2F,Natural gas,,,,,
Jilin Province,1989,1A2F,Oil,,,,,
Jilin Province,1989,1A2G,Coal/peat,,,,,
Jilin Province,1989,1A2G,Natural gas,,,,,
Jilin Province,1989,1A2G,Oil,,,,,
Jilin Province,1989,1A2H,Coal/peat,,,,,
Jilin Province,1989,1A2H,Natural gas,,,,,
Jilin Province,1989,1A2H,Oil,,,,,
Jilin Province,1989,1A2I,Coal/peat,,,,,
Jilin Province,1989,1A2I,Natural gas,,,,,
Jilin Province,1989,1A2I,Oil,,,,,
Jilin Province,1989,1A2J,Coal/peat,,,,,
Jilin Province,1989,1A2J,Natural gas,,,,,
Jilin Province,1989,1A2J,Oil,,,,,
Jilin Province,1989,1A2K,Coal/peat,,,,,
Jilin Province,1989,1A2K,Natural gas,,,,,
Jilin Province,1989,1A2K,Oil,,,,,
Jilin Province,1989,1A2L,Coal/peat,,,,,
Jilin Province,1989,1A2L,Natural gas,,,,,
Jilin Province,1989,1A2L,Oil,,,,,
Jilin Province,1989,1A2M,Coal/peat,,,,,
Jilin Province,1989,1A2M,Natural gas,,,,,
Jilin Province,1989,1A2M,Oil,,,,,
Jilin Province,1989,1A3,Coal/peat,,,,,
Jilin Province,1989,1A3,Natural gas,,,,,
Jilin Province,1989,1A3,Oil,,,,,
Jilin Province,1989,1A3A,Coal/peat,,,,,
Jilin Province,1989,1A3A,Natural gas,,,,,
Jilin Province,1989,1A3A,Oil,,,,,
Jilin Province,1989,1A3A1,Coal/peat,,,,,
Jilin Province,1989,1A3A1,Natural gas,,,,,
Jilin Province,1989,1A3A1,Oil,,,,,
Jilin Province,1989,1A3A2,Coal/peat,,,,,
Jilin Province,1989,1A3A2,Natural gas,,,,,
Jilin Province,1989,1A3A2,Oil,,,,,
Jilin Province,1989,1A3B,Coal/peat,,,,,
Jilin Province,1989,1A3B,Natural gas,,,,,
Jilin Province,1989,1A3B,Oil,,,,,
Jilin Province,1989,1A3C,Coal/peat,,,,,
Jilin Province,1989,1A3C,Natural gas,,,,,
Jilin Province,1989,1A3C,Oil,,,,,
Jilin Province,1989,1A3D,Coal/peat,,,,,
Jilin Province,1989,1A3D,Natural gas,,,,,
Jilin Province,1989,1A3D,Oil,,,,,
Jilin Province,1989,1A3D1,Coal/peat,,,,,
Jilin Province,1989,1A3D1,Natural gas,,,,,
Jilin Province,1989,1A3D1,Oil,,,,,
Jilin Province,1989,1A3D2,Coal/peat,,,,,
