jurisdiction,year,ipcc_code,Product,tax,ets,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Michigan,1989,0,,,,,,
Michigan,1989,1,,,,,,
Michigan,1989,1A,Coal/peat,,,,,
Michigan,1989,1A,Natural gas,,,,,
Michigan,1989,1A,Oil,,,,,
Michigan,1989,1A1,Coal/peat,,,,,
Michigan,1989,1A1,Natural gas,,,,,
Michigan,1989,1A1,Oil,,,,,
Michigan,1989,1A1A,Coal/peat,,,,,
Michigan,1989,1A1A,Natural gas,,,,,
Michigan,1989,1A1A,Oil,,,,,
Michigan,1989,1A1A1,Coal/peat,,,,,
Michigan,1989,1A1A1,Natural gas,,,,,
Michigan,1989,1A1A1,Oil,,,,,
Michigan,1989,1A1A2,Coal/peat,,,,,
Michigan,1989,1A1A2,Natural gas,,,,,
Michigan,1989,1A1A2,Oil,,,,,
Michigan,1989,1A1A3,Coal/peat,,,,,
Michigan,1989,1A1A3,Natural gas,,,,,
Michigan,1989,1A1A3,Oil,,,,,
Michigan,1989,1A1B,Coal/peat,,,,,
Michigan,1989,1A1B,Natural gas,,,,,
Michigan,1989,1A1B,Oil,,,,,
Michigan,1989,1A1C,Coal/peat,,,,,
Michigan,1989,1A1C,Natural gas,,,,,
Michigan,1989,1A1C,Oil,,,,,
Michigan,1989,1A2,Coal/peat,,,,,
Michigan,1989,1A2,Natural gas,,,,,
Michigan,1989,1A2,Oil,,,,,
Michigan,1989,1A2A,Coal/peat,,,,,
Michigan,1989,1A2A,Natural gas,,,,,
Michigan,1989,1A2A,Oil,,,,,
Michigan,1989,1A2B,Coal/peat,,,,,
Michigan,1989,1A2B,Natural gas,,,,,
Michigan,1989,1A2B,Oil,,,,,
Michigan,1989,1A2C,Coal/peat,,,,,
Michigan,1989,1A2C,Natural gas,,,,,
Michigan,1989,1A2C,Oil,,,,,
Michigan,1989,1A2D,Coal/peat,,,,,
Michigan,1989,1A2D,Natural gas,,,,,
Michigan,1989,1A2D,Oil,,,,,
Michigan,1989,1A2E,Coal/peat,,,,,
Michigan,1989,1A2E,Natural gas,,,,,
Michigan,1989,1A2E,Oil,,,,,
Michigan,1989,1A2F,Coal/peat,,,,,
Michigan,1989,1A2F,Natural gas,,,,,
Michigan,1989,1A2F,Oil,,,,,
Michigan,1989,1A2G,Coal/peat,,,,,
Michigan,1989,1A2G,Natural gas,,,,,
Michigan,1989,1A2G,Oil,,,,,
Michigan,1989,1A2H,Coal/peat,,,,,
Michigan,1989,1A2H,Natural gas,,,,,
Michigan,1989,1A2H,Oil,,,,,
Michigan,1989,1A2I,Coal/peat,,,,,
Michigan,1989,1A2I,Natural gas,,,,,
Michigan,1989,1A2I,Oil,,,,,
Michigan,1989,1A2J,Coal/peat,,,,,
Michigan,1989,1A2J,Natural gas,,,,,
Michigan,1989,1A2J,Oil,,,,,
Michigan,1989,1A2K,Coal/peat,,,,,
Michigan,1989,1A2K,Natural gas,,,,,
Michigan,1989,1A2K,Oil,,,,,
Michigan,1989,1A2L,Coal/peat,,,,,
Michigan,1989,1A2L,Natural gas,,,,,
Michigan,1989,1A2L,Oil,,,,,
Michigan,1989,1A2M,Coal/peat,,,,,
Michigan,1989,1A2M,Natural gas,,,,,
Michigan,1989,1A2M,Oil,,,,,
Michigan,1989,1A3,Coal/peat,,,,,
Michigan,1989,1A3,Natural gas,,,,,
Michigan,1989,1A3,Oil,,,,,
Michigan,1989,1A3A,Coal/peat,,,,,
Michigan,1989,1A3A,Natural gas,,,,,
Michigan,1989,1A3A,Oil,,,,,
Michigan,1989,1A3A1,Coal/peat,,,,,
Michigan,1989,1A3A1,Natural gas,,,,,
Michigan,1989,1A3A1,Oil,,,,,
Michigan,1989,1A3A2,Coal/peat,,,,,
Michigan,1989,1A3A2,Natural gas,,,,,
Michigan,1989,1A3A2,Oil,,,,,
Michigan,1989,1A3B,Coal/peat,,,,,
Michigan,1989,1A3B,Natural gas,,,,,
Michigan,1989,1A3B,Oil,,,,,
Michigan,1989,1A3C,Coal/peat,,,,,
Michigan,1989,1A3C,Natural gas,,,,,
Michigan,1989,1A3C,Oil,,,,,
Michigan,1989,1A3D,Coal/peat,,,,,
Michigan,1989,1A3D,Natural gas,,,,,
Michigan,1989,1A3D,Oil,,,,,
Michigan,1989,1A3D1,Coal/peat,,,,,
Michigan,1989,1A3D1,Natural gas,,,,,
