Jurisdiction,Year,IPCC_cat_code,Product,tax,ets,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Montana,1989,0,,,,,,
Montana,1989,1,,,,,,
Montana,1989,1A,Coal/peat,,,,,
Montana,1989,1A,Natural gas,,,,,
Montana,1989,1A,Oil,,,,,
Montana,1989,1A1,Coal/peat,,,,,
Montana,1989,1A1,Natural gas,,,,,
Montana,1989,1A1,Oil,,,,,
Montana,1989,1A1A,Coal/peat,,,,,
Montana,1989,1A1A,Natural gas,,,,,
Montana,1989,1A1A,Oil,,,,,
Montana,1989,1A1A1,Coal/peat,,,,,
Montana,1989,1A1A1,Natural gas,,,,,
Montana,1989,1A1A1,Oil,,,,,
Montana,1989,1A1A2,Coal/peat,,,,,
Montana,1989,1A1A2,Natural gas,,,,,
Montana,1989,1A1A2,Oil,,,,,
Montana,1989,1A1A3,Coal/peat,,,,,
Montana,1989,1A1A3,Natural gas,,,,,
Montana,1989,1A1A3,Oil,,,,,
Montana,1989,1A1B,Coal/peat,,,,,
Montana,1989,1A1B,Natural gas,,,,,
Montana,1989,1A1B,Oil,,,,,
Montana,1989,1A1C,Coal/peat,,,,,
Montana,1989,1A1C,Natural gas,,,,,
Montana,1989,1A1C,Oil,,,,,
Montana,1989,1A2,Coal/peat,,,,,
Montana,1989,1A2,Natural gas,,,,,
Montana,1989,1A2,Oil,,,,,
Montana,1989,1A2A,Coal/peat,,,,,
Montana,1989,1A2A,Natural gas,,,,,
Montana,1989,1A2A,Oil,,,,,
Montana,1989,1A2B,Coal/peat,,,,,
Montana,1989,1A2B,Natural gas,,,,,
Montana,1989,1A2B,Oil,,,,,
Montana,1989,1A2C,Coal/peat,,,,,
Montana,1989,1A2C,Natural gas,,,,,
Montana,1989,1A2C,Oil,,,,,
Montana,1989,1A2D,Coal/peat,,,,,
Montana,1989,1A2D,Natural gas,,,,,
Montana,1989,1A2D,Oil,,,,,
Montana,1989,1A2E,Coal/peat,,,,,
Montana,1989,1A2E,Natural gas,,,,,
Montana,1989,1A2E,Oil,,,,,
Montana,1989,1A2F,Coal/peat,,,,,
Montana,1989,1A2F,Natural gas,,,,,
Montana,1989,1A2F,Oil,,,,,
Montana,1989,1A2G,Coal/peat,,,,,
Montana,1989,1A2G,Natural gas,,,,,
Montana,1989,1A2G,Oil,,,,,
Montana,1989,1A2H,Coal/peat,,,,,
Montana,1989,1A2H,Natural gas,,,,,
Montana,1989,1A2H,Oil,,,,,
Montana,1989,1A2I,Coal/peat,,,,,
Montana,1989,1A2I,Natural gas,,,,,
Montana,1989,1A2I,Oil,,,,,
Montana,1989,1A2J,Coal/peat,,,,,
Montana,1989,1A2J,Natural gas,,,,,
Montana,1989,1A2J,Oil,,,,,
Montana,1989,1A2K,Coal/peat,,,,,
Montana,1989,1A2K,Natural gas,,,,,
Montana,1989,1A2K,Oil,,,,,
Montana,1989,1A2L,Coal/peat,,,,,
Montana,1989,1A2L,Natural gas,,,,,
Montana,1989,1A2L,Oil,,,,,
Montana,1989,1A2M,Coal/peat,,,,,
Montana,1989,1A2M,Natural gas,,,,,
Montana,1989,1A2M,Oil,,,,,
Montana,1989,1A3,Coal/peat,,,,,
Montana,1989,1A3,Natural gas,,,,,
Montana,1989,1A3,Oil,,,,,
Montana,1989,1A3A,Coal/peat,,,,,
Montana,1989,1A3A,Natural gas,,,,,
Montana,1989,1A3A,Oil,,,,,
Montana,1989,1A3A1,Coal/peat,,,,,
Montana,1989,1A3A1,Natural gas,,,,,
Montana,1989,1A3A1,Oil,,,,,
Montana,1989,1A3A2,Coal/peat,,,,,
Montana,1989,1A3A2,Natural gas,,,,,
Montana,1989,1A3A2,Oil,,,,,
Montana,1989,1A3B,Coal/peat,,,,,
Montana,1989,1A3B,Natural gas,,,,,
Montana,1989,1A3B,Oil,,,,,
Montana,1989,1A3C,Coal/peat,,,,,
Montana,1989,1A3C,Natural gas,,,,,
Montana,1989,1A3C,Oil,,,,,
Montana,1989,1A3D,Coal/peat,,,,,
Montana,1989,1A3D,Natural gas,,,,,
Montana,1989,1A3D,Oil,,,,,
Montana,1989,1A3D1,Coal/peat,,,,,
Montana,1989,1A3D1,Natural gas,,,,,
Montana,1989,1A3D1,Oil,,,,,
Montana,1989,1A3D2,Coal/peat,,,,,
Montana,1989,1A3D2,Natural gas,,,,,
Montana,1989,1A3D2,Oil,,,,,
Montana,1989,1A3E,Coal/peat,,,,,
Montana,1989,1A3E,Natural gas,,,,,
Montana,1989,1A3E,Oil,,,,,
Montana,1989,1A3E1,Coal/peat,,,,,
Montana,1989,1A3E1,Natural gas,,,,,
Montana,1989,1A3E1,Oil,,,,,
Montana,1989,1A4,Coal/peat,,,,,
Montana,1989,1A4,Natural gas,,,,,
Montana,1989,1A4,Oil,,,,,
Montana,1989,1A4A,Coal/peat,,,,,
Montana,1989,1A4A,Natural gas,,,,,
Montana,1989,1A4A,Oil,,,,,
Montana,1989,1A4B,Coal/peat,,,,,
Montana,1989,1A4B,Natural gas,,,,,
Montana,1989,1A4B,Oil,,,,,
Montana,1989,1A4C,Coal/peat,,,,,
Montana,1989,1A4C,Natural gas,,,,,
Montana,1989,1A4C,Oil,,,,,
Montana,1989,1A4C1,Coal/peat,,,,,
Montana,1989,1A4C1,Natural gas,,,,,
Montana,1989,1A4C1,Oil,,,,,
Montana,1989,1A4C2,Coal/peat,,,,,
Montana,1989,1A4C2,Natural gas,,,,,
Montana,1989,1A4C2,Oil,,,,,
Montana,1989,1A4C3,Coal/peat,,,,,
Montana,1989,1A4C3,Natural gas,,,,,
Montana,1989,1A4C3,Oil,,,,,
Montana,1989,1A5,Coal/peat,,,,,
Montana,1989,1A5,Natural gas,,,,,
Montana,1989,1A5,Oil,,,,,
Montana,1989,1A5A,Coal/peat,,,,,
Montana,1989,1A5A,Natural gas,,,,,
Montana,1989,1A5A,Oil,,,,,
Montana,1989,1A5B,Coal/peat,,,,,
Montana,1989,1A5B,Natural gas,,,,,
Montana,1989,1A5B,Oil,,,,,
Montana,1989,1A5C,Coal/peat,,,,,
Montana,1989,1A5C,Natural gas,,,,,
Montana,1989,1A5C,Oil,,,,,
Montana,1989,1B,,,,,,
Montana,1989,1B1,,,,,,
Montana,1989,1B1A,,,,,,
Montana,1989,1B1A1,,,,,,
Montana,1989,1B1A11,,,,,,
Montana,1989,1B1A12,,,,,,
Montana,1989,1B1A13,,,,,,
Montana,1989,1B1A14,,,,,,
Montana,1989,1B1A2,,,,,,
Montana,1989,1B1A21,,,,,,
Montana,1989,1B1A22,,,,,,
Montana,1989,1B1B,,,,,,
Montana,1989,1B2,,,,,,
Montana,1989,1B2A,,,,,,
Montana,1989,1B2A1,,,,,,
Montana,1989,1B2A2,,,,,,
Montana,1989,1B2A3,,,,,,
Montana,1989,1B2A31,,,,,,
Montana,1989,1B2A32,,,,,,
Montana,1989,1B2A33,,,,,,
Montana,1989,1B2A34,,,,,,
Montana,1989,1B2A35,,,,,,
Montana,1989,1B2A36,,,,,,
Montana,1989,1B2B,,,,,,
Montana,1989,1B2B1,,,,,,
Montana,1989,1B2B2,,,,,,
Montana,1989,1B2B3,,,,,,
Montana,1989,1B2B31,,,,,,
Montana,1989,1B2B32,,,,,,
Montana,1989,1B2B33,,,,,,
Montana,1989,1B2B34,,,,,,
Montana,1989,1B2B35,,,,,,
Montana,1989,1B2B36,,,,,,
Montana,1989,1B3,,,,,,
Montana,1989,1C,,,,,,
Montana,1989,1C1,,,,,,
Montana,1989,1C1A,,,,,,
Montana,1989,1C1B,,,,,,
