Jurisdiction,Year,IPCC_cat_code,Product,tax_dummy,ets_dummy,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Nebraska,1989,0,,,,,,
Nebraska,1989,1,,,,,,
Nebraska,1989,1A,Coal/peat,,,,,
Nebraska,1989,1A,Natural gas,,,,,
Nebraska,1989,1A,Oil,,,,,
Nebraska,1989,1A1,Coal/peat,,,,,
Nebraska,1989,1A1,Natural gas,,,,,
Nebraska,1989,1A1,Oil,,,,,
Nebraska,1989,1A1A,Coal/peat,,,,,
Nebraska,1989,1A1A,Natural gas,,,,,
Nebraska,1989,1A1A,Oil,,,,,
Nebraska,1989,1A1A1,Coal/peat,,,,,
Nebraska,1989,1A1A1,Natural gas,,,,,
Nebraska,1989,1A1A1,Oil,,,,,
Nebraska,1989,1A1A2,Coal/peat,,,,,
Nebraska,1989,1A1A2,Natural gas,,,,,
Nebraska,1989,1A1A2,Oil,,,,,
Nebraska,1989,1A1A3,Coal/peat,,,,,
Nebraska,1989,1A1A3,Natural gas,,,,,
Nebraska,1989,1A1A3,Oil,,,,,
Nebraska,1989,1A1B,Coal/peat,,,,,
Nebraska,1989,1A1B,Natural gas,,,,,
Nebraska,1989,1A1B,Oil,,,,,
Nebraska,1989,1A1C,Coal/peat,,,,,
Nebraska,1989,1A1C,Natural gas,,,,,
Nebraska,1989,1A1C,Oil,,,,,
Nebraska,1989,1A2,Coal/peat,,,,,
Nebraska,1989,1A2,Natural gas,,,,,
Nebraska,1989,1A2,Oil,,,,,
Nebraska,1989,1A2A,Coal/peat,,,,,
Nebraska,1989,1A2A,Natural gas,,,,,
Nebraska,1989,1A2A,Oil,,,,,
Nebraska,1989,1A2B,Coal/peat,,,,,
Nebraska,1989,1A2B,Natural gas,,,,,
Nebraska,1989,1A2B,Oil,,,,,
Nebraska,1989,1A2C,Coal/peat,,,,,
Nebraska,1989,1A2C,Natural gas,,,,,
Nebraska,1989,1A2C,Oil,,,,,
Nebraska,1989,1A2D,Coal/peat,,,,,
Nebraska,1989,1A2D,Natural gas,,,,,
Nebraska,1989,1A2D,Oil,,,,,
Nebraska,1989,1A2E,Coal/peat,,,,,
Nebraska,1989,1A2E,Natural gas,,,,,
Nebraska,1989,1A2E,Oil,,,,,
Nebraska,1989,1A2F,Coal/peat,,,,,
Nebraska,1989,1A2F,Natural gas,,,,,
Nebraska,1989,1A2F,Oil,,,,,
Nebraska,1989,1A2G,Coal/peat,,,,,
Nebraska,1989,1A2G,Natural gas,,,,,
Nebraska,1989,1A2G,Oil,,,,,
Nebraska,1989,1A2H,Coal/peat,,,,,
Nebraska,1989,1A2H,Natural gas,,,,,
Nebraska,1989,1A2H,Oil,,,,,
