Jurisdiction,Year,IPCC_cat_code,Product,tax_dummy,ets_dummy,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Oklahoma,1989,0,,,,,,
Oklahoma,1989,1,,,,,,
Oklahoma,1989,1A,Coal/peat,,,,,
Oklahoma,1989,1A,Natural gas,,,,,
Oklahoma,1989,1A,Oil,,,,,
Oklahoma,1989,1A1,Coal/peat,,,,,
Oklahoma,1989,1A1,Natural gas,,,,,
Oklahoma,1989,1A1,Oil,,,,,
Oklahoma,1989,1A1A,Coal/peat,,,,,
Oklahoma,1989,1A1A,Natural gas,,,,,
Oklahoma,1989,1A1A,Oil,,,,,
Oklahoma,1989,1A1A1,Coal/peat,,,,,
Oklahoma,1989,1A1A1,Natural gas,,,,,
Oklahoma,1989,1A1A1,Oil,,,,,
Oklahoma,1989,1A1A2,Coal/peat,,,,,
Oklahoma,1989,1A1A2,Natural gas,,,,,
Oklahoma,1989,1A1A2,Oil,,,,,
Oklahoma,1989,1A1A3,Coal/peat,,,,,
Oklahoma,1989,1A1A3,Natural gas,,,,,
Oklahoma,1989,1A1A3,Oil,,,,,
Oklahoma,1989,1A1B,Coal/peat,,,,,
Oklahoma,1989,1A1B,Natural gas,,,,,
Oklahoma,1989,1A1B,Oil,,,,,
Oklahoma,1989,1A1C,Coal/peat,,,,,
Oklahoma,1989,1A1C,Natural gas,,,,,
Oklahoma,1989,1A1C,Oil,,,,,
Oklahoma,1989,1A2,Coal/peat,,,,,
Oklahoma,1989,1A2,Natural gas,,,,,
Oklahoma,1989,1A2,Oil,,,,,
Oklahoma,1989,1A2A,Coal/peat,,,,,
Oklahoma,1989,1A2A,Natural gas,,,,,
Oklahoma,1989,1A2A,Oil,,,,,
Oklahoma,1989,1A2B,Coal/peat,,,,,
Oklahoma,1989,1A2B,Natural gas,,,,,
Oklahoma,1989,1A2B,Oil,,,,,
Oklahoma,1989,1A2C,Coal/peat,,,,,
Oklahoma,1989,1A2C,Natural gas,,,,,
Oklahoma,1989,1A2C,Oil,,,,,
Oklahoma,1989,1A2D,Coal/peat,,,,,
Oklahoma,1989,1A2D,Natural gas,,,,,
Oklahoma,1989,1A2D,Oil,,,,,
Oklahoma,1989,1A2E,Coal/peat,,,,,
Oklahoma,1989,1A2E,Natural gas,,,,,
Oklahoma,1989,1A2E,Oil,,,,,
Oklahoma,1989,1A2F,Coal/peat,,,,,
Oklahoma,1989,1A2F,Natural gas,,,,,
Oklahoma,1989,1A2F,Oil,,,,,
Oklahoma,1989,1A2G,Coal/peat,,,,,
Oklahoma,1989,1A2G,Natural gas,,,,,
Oklahoma,1989,1A2G,Oil,,,,,
Oklahoma,1989,1A2H,Coal/peat,,,,,
Oklahoma,1989,1A2H,Natural gas,,,,,
Oklahoma,1989,1A2H,Oil,,,,,
Oklahoma,1989,1A2I,Coal/peat,,,,,
Oklahoma,1989,1A2I,Natural gas,,,,,
Oklahoma,1989,1A2I,Oil,,,,,
Oklahoma,1989,1A2J,Coal/peat,,,,,
Oklahoma,1989,1A2J,Natural gas,,,,,
Oklahoma,1989,1A2J,Oil,,,,,
Oklahoma,1989,1A2K,Coal/peat,,,,,
Oklahoma,1989,1A2K,Natural gas,,,,,
