Jurisdiction,Year,IPCC_cat_code,Product,tax,ets,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Ontario,1989,0,,,,,,
Ontario,1989,1,,,,,,
Ontario,1989,1A,Coal/peat,,,,,
Ontario,1989,1A,Natural gas,,,,,
Ontario,1989,1A,Oil,,,,,
Ontario,1989,1A1,Coal/peat,,,,,
Ontario,1989,1A1,Natural gas,,,,,
Ontario,1989,1A1,Oil,,,,,
Ontario,1989,1A1A,Coal/peat,,,,,
Ontario,1989,1A1A,Natural gas,,,,,
Ontario,1989,1A1A,Oil,,,,,
Ontario,1989,1A1A1,Coal/peat,,,,,
Ontario,1989,1A1A1,Natural gas,,,,,
Ontario,1989,1A1A1,Oil,,,,,
Ontario,1989,1A1A2,Coal/peat,,,,,
Ontario,1989,1A1A2,Natural gas,,,,,
Ontario,1989,1A1A2,Oil,,,,,
Ontario,1989,1A1A3,Coal/peat,,,,,
Ontario,1989,1A1A3,Natural gas,,,,,
Ontario,1989,1A1A3,Oil,,,,,
Ontario,1989,1A1B,Coal/peat,,,,,
Ontario,1989,1A1B,Natural gas,,,,,
Ontario,1989,1A1B,Oil,,,,,
Ontario,1989,1A1C,Coal/peat,,,,,
Ontario,1989,1A1C,Natural gas,,,,,
Ontario,1989,1A1C,Oil,,,,,
Ontario,1989,1A2,Coal/peat,,,,,
Ontario,1989,1A2,Natural gas,,,,,
Ontario,1989,1A2,Oil,,,,,
Ontario,1989,1A2A,Coal/peat,,,,,
Ontario,1989,1A2A,Natural gas,,,,,
Ontario,1989,1A2A,Oil,,,,,
Ontario,1989,1A2B,Coal/peat,,,,,
Ontario,1989,1A2B,Natural gas,,,,,
Ontario,1989,1A2B,Oil,,,,,
Ontario,1989,1A2C,Coal/peat,,,,,
Ontario,1989,1A2C,Natural gas,,,,,
Ontario,1989,1A2C,Oil,,,,,
Ontario,1989,1A2D,Coal/peat,,,,,
Ontario,1989,1A2D,Natural gas,,,,,
Ontario,1989,1A2D,Oil,,,,,
Ontario,1989,1A2E,Coal/peat,,,,,
Ontario,1989,1A2E,Natural gas,,,,,
Ontario,1989,1A2E,Oil,,,,,
Ontario,1989,1A2F,Coal/peat,,,,,
Ontario,1989,1A2F,Natural gas,,,,,
Ontario,1989,1A2F,Oil,,,,,
Ontario,1989,1A2G,Coal/peat,,,,,
Ontario,1989,1A2G,Natural gas,,,,,
Ontario,1989,1A2G,Oil,,,,,
Ontario,1989,1A2H,Coal/peat,,,,,
Ontario,1989,1A2H,Natural gas,,,,,
Ontario,1989,1A2H,Oil,,,,,
Ontario,1989,1A2I,Coal/peat,,,,,
Ontario,1989,1A2I,Natural gas,,,,,
Ontario,1989,1A2I,Oil,,,,,
Ontario,1989,1A2J,Coal/peat,,,,,
Ontario,1989,1A2J,Natural gas,,,,,
Ontario,1989,1A2J,Oil,,,,,
Ontario,1989,1A2K,Coal/peat,,,,,
Ontario,1989,1A2K,Natural gas,,,,,
Ontario,1989,1A2K,Oil,,,,,
Ontario,1989,1A2L,Coal/peat,,,,,
Ontario,1989,1A2L,Natural gas,,,,,
Ontario,1989,1A2L,Oil,,,,,
Ontario,1989,1A2M,Coal/peat,,,,,
Ontario,1989,1A2M,Natural gas,,,,,
Ontario,1989,1A2M,Oil,,,,,
Ontario,1989,1A3,Coal/peat,,,,,
Ontario,1989,1A3,Natural gas,,,,,
Ontario,1989,1A3,Oil,,,,,
Ontario,1989,1A3A,Coal/peat,,,,,
Ontario,1989,1A3A,Natural gas,,,,,
Ontario,1989,1A3A,Oil,,,,,
Ontario,1989,1A3A1,Coal/peat,,,,,
Ontario,1989,1A3A1,Natural gas,,,,,
Ontario,1989,1A3A1,Oil,,,,,
Ontario,1989,1A3A2,Coal/peat,,,,,
Ontario,1989,1A3A2,Natural gas,,,,,
Ontario,1989,1A3A2,Oil,,,,,
Ontario,1989,1A3B,Coal/peat,,,,,
Ontario,1989,1A3B,Natural gas,,,,,
Ontario,1989,1A3B,Oil,,,,,
Ontario,1989,1A3C,Coal/peat,,,,,
Ontario,1989,1A3C,Natural gas,,,,,
Ontario,1989,1A3C,Oil,,,,,
Ontario,1989,1A3D,Coal/peat,,,,,
Ontario,1989,1A3D,Natural gas,,,,,
Ontario,1989,1A3D,Oil,,,,,
Ontario,1989,1A3D1,Coal/peat,,,,,
Ontario,1989,1A3D1,Natural gas,,,,,
Ontario,1989,1A3D1,Oil,,,,,
Ontario,1989,1A3D2,Coal/peat,,,,,
Ontario,1989,1A3D2,Natural gas,,,,,
Ontario,1989,1A3D2,Oil,,,,,
Ontario,1989,1A3E,Coal/peat,,,,,
Ontario,1989,1A3E,Natural gas,,,,,
Ontario,1989,1A3E,Oil,,,,,
Ontario,1989,1A3E1,Coal/peat,,,,,
Ontario,1989,1A3E1,Natural gas,,,,,
Ontario,1989,1A3E1,Oil,,,,,
Ontario,1989,1A4,Coal/peat,,,,,
Ontario,1989,1A4,Natural gas,,,,,
Ontario,1989,1A4,Oil,,,,,
Ontario,1989,1A4A,Coal/peat,,,,,
Ontario,1989,1A4A,Natural gas,,,,,
Ontario,1989,1A4A,Oil,,,,,
Ontario,1989,1A4B,Coal/peat,,,,,
