jurisdiction,year,ipcc_code,Product,tax,ets,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Shanghai Municipality,1989,0,,,,,,
Shanghai Municipality,1989,1,,,,,,
Shanghai Municipality,1989,1A,Coal,,,,,
Shanghai Municipality,1989,1A,Natural gas,,,,,
Shanghai Municipality,1989,1A,Oil,,,,,
Shanghai Municipality,1989,1A1,Coal,,,,,
Shanghai Municipality,1989,1A1,Natural gas,,,,,
Shanghai Municipality,1989,1A1,Oil,,,,,
Shanghai Municipality,1989,1A1A,Coal,,,,,
Shanghai Municipality,1989,1A1A,Natural gas,,,,,
Shanghai Municipality,1989,1A1A,Oil,,,,,
Shanghai Municipality,1989,1A1A1,Coal,,,,,
Shanghai Municipality,1989,1A1A1,Natural gas,,,,,
Shanghai Municipality,1989,1A1A1,Oil,,,,,
Shanghai Municipality,1989,1A1A2,Coal,,,,,
Shanghai Municipality,1989,1A1A2,Natural gas,,,,,
Shanghai Municipality,1989,1A1A2,Oil,,,,,
Shanghai Municipality,1989,1A1A3,Coal,,,,,
Shanghai Municipality,1989,1A1A3,Natural gas,,,,,
Shanghai Municipality,1989,1A1A3,Oil,,,,,
Shanghai Municipality,1989,1A1B,Coal,,,,,
Shanghai Municipality,1989,1A1B,Natural gas,,,,,
Shanghai Municipality,1989,1A1B,Oil,,,,,
Shanghai Municipality,1989,1A1C,Coal,,,,,
Shanghai Municipality,1989,1A1C,Natural gas,,,,,
Shanghai Municipality,1989,1A1C,Oil,,,,,
Shanghai Municipality,1989,1A2,Coal,,,,,
Shanghai Municipality,1989,1A2,Natural gas,,,,,
Shanghai Municipality,1989,1A2,Oil,,,,,
Shanghai Municipality,1989,1A2A,Coal,,,,,
Shanghai Municipality,1989,1A2A,Natural gas,,,,,
Shanghai Municipality,1989,1A2A,Oil,,,,,
Shanghai Municipality,1989,1A2B,Coal,,,,,
Shanghai Municipality,1989,1A2B,Natural gas,,,,,
Shanghai Municipality,1989,1A2B,Oil,,,,,
Shanghai Municipality,1989,1A2C,Coal,,,,,
Shanghai Municipality,1989,1A2C,Natural gas,,,,,
Shanghai Municipality,1989,1A2C,Oil,,,,,
Shanghai Municipality,1989,1A2D,Coal,,,,,
Shanghai Municipality,1989,1A2D,Natural gas,,,,,
Shanghai Municipality,1989,1A2D,Oil,,,,,
Shanghai Municipality,1989,1A2E,Coal,,,,,
Shanghai Municipality,1989,1A2E,Natural gas,,,,,
Shanghai Municipality,1989,1A2E,Oil,,,,,
Shanghai Municipality,1989,1A2F,Coal,,,,,
Shanghai Municipality,1989,1A2F,Natural gas,,,,,
Shanghai Municipality,1989,1A2F,Oil,,,,,
Shanghai Municipality,1989,1A2G,Coal,,,,,
Shanghai Municipality,1989,1A2G,Natural gas,,,,,
Shanghai Municipality,1989,1A2G,Oil,,,,,
Shanghai Municipality,1989,1A2H,Coal,,,,,
Shanghai Municipality,1989,1A2H,Natural gas,,,,,
Shanghai Municipality,1989,1A2H,Oil,,,,,
Shanghai Municipality,1989,1A2I,Coal,,,,,
Shanghai Municipality,1989,1A2I,Natural gas,,,,,
Shanghai Municipality,1989,1A2I,Oil,,,,,
Shanghai Municipality,1989,1A2J,Coal,,,,,
Shanghai Municipality,1989,1A2J,Natural gas,,,,,
Shanghai Municipality,1989,1A2J,Oil,,,,,
Shanghai Municipality,1989,1A2K,Coal,,,,,
Shanghai Municipality,1989,1A2K,Natural gas,,,,,
Shanghai Municipality,1989,1A2K,Oil,,,,,
Shanghai Municipality,1989,1A2L,Coal,,,,,
Shanghai Municipality,1989,1A2L,Natural gas,,,,,
Shanghai Municipality,1989,1A2L,Oil,,,,,
Shanghai Municipality,1989,1A2M,Coal,,,,,
Shanghai Municipality,1989,1A2M,Natural gas,,,,,
Shanghai Municipality,1989,1A2M,Oil,,,,,
Shanghai Municipality,1989,1A3,Coal,,,,,
Shanghai Municipality,1989,1A3,Natural gas,,,,,
Shanghai Municipality,1989,1A3,Oil,,,,,
Shanghai Municipality,1989,1A3A,Coal,,,,,
Shanghai Municipality,1989,1A3A,Natural gas,,,,,
Shanghai Municipality,1989,1A3A,Oil,,,,,
Shanghai Municipality,1989,1A3A1,Coal,,,,,
Shanghai Municipality,1989,1A3A1,Natural gas,,,,,
Shanghai Municipality,1989,1A3A1,Oil,,,,,
Shanghai Municipality,1989,1A3A2,Coal,,,,,
Shanghai Municipality,1989,1A3A2,Natural gas,,,,,
Shanghai Municipality,1989,1A3A2,Oil,,,,,
Shanghai Municipality,1989,1A3B,Coal,,,,,
Shanghai Municipality,1989,1A3B,Natural gas,,,,,
Shanghai Municipality,1989,1A3B,Oil,,,,,
Shanghai Municipality,1989,1A3C,Coal,,,,,
Shanghai Municipality,1989,1A3C,Natural gas,,,,,
Shanghai Municipality,1989,1A3C,Oil,,,,,
Shanghai Municipality,1989,1A3D,Coal,,,,,
Shanghai Municipality,1989,1A3D,Natural gas,,,,,
Shanghai Municipality,1989,1A3D,Oil,,,,,
Shanghai Municipality,1989,1A3D1,Coal,,,,,
Shanghai Municipality,1989,1A3D1,Natural gas,,,,,
Shanghai Municipality,1989,1A3D1,Oil,,,,,
Shanghai Municipality,1989,1A3D2,Coal,,,,,
Shanghai Municipality,1989,1A3D2,Natural gas,,,,,
Shanghai Municipality,1989,1A3D2,Oil,,,,,
Shanghai Municipality,1989,1A3E,Coal,,,,,
Shanghai Municipality,1989,1A3E,Natural gas,,,,,
Shanghai Municipality,1989,1A3E,Oil,,,,,
Shanghai Municipality,1989,1A3E1,Coal,,,,,
Shanghai Municipality,1989,1A3E1,Natural gas,,,,,
Shanghai Municipality,1989,1A3E1,Oil,,,,,
Shanghai Municipality,1989,1A4,Coal,,,,,
Shanghai Municipality,1989,1A4,Natural gas,,,,,
Shanghai Municipality,1989,1A4,Oil,,,,,
Shanghai Municipality,1989,1A4A,Coal,,,,,
Shanghai Municipality,1989,1A4A,Natural gas,,,,,
Shanghai Municipality,1989,1A4A,Oil,,,,,
Shanghai Municipality,1989,1A4B,Coal,,,,,
Shanghai Municipality,1989,1A4B,Natural gas,,,,,
Shanghai Municipality,1989,1A4B,Oil,,,,,
Shanghai Municipality,1989,1A4C,Coal,,,,,
Shanghai Municipality,1989,1A4C,Natural gas,,,,,
Shanghai Municipality,1989,1A4C,Oil,,,,,
Shanghai Municipality,1989,1A4C1,Coal,,,,,
Shanghai Municipality,1989,1A4C1,Natural gas,,,,,
Shanghai Municipality,1989,1A4C1,Oil,,,,,
Shanghai Municipality,1989,1A4C2,Coal,,,,,
Shanghai Municipality,1989,1A4C2,Natural gas,,,,,
Shanghai Municipality,1989,1A4C2,Oil,,,,,
Shanghai Municipality,1989,1A4C3,Coal,,,,,
Shanghai Municipality,1989,1A4C3,Natural gas,,,,,
Shanghai Municipality,1989,1A4C3,Oil,,,,,
Shanghai Municipality,1989,1A5,Coal,,,,,
Shanghai Municipality,1989,1A5,Natural gas,,,,,
