jurisdiction,year,ipcc_code,Product,tax,ets,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Shanxi Province,1989,0,,,,,,
Shanxi Province,1989,1,,,,,,
Shanxi Province,1989,1A,Coal,,,,,
Shanxi Province,1989,1A,Natural gas,,,,,
Shanxi Province,1989,1A,Oil,,,,,
Shanxi Province,1989,1A1,Coal,,,,,
Shanxi Province,1989,1A1,Natural gas,,,,,
Shanxi Province,1989,1A1,Oil,,,,,
Shanxi Province,1989,1A1A,Coal,,,,,
Shanxi Province,1989,1A1A,Natural gas,,,,,
Shanxi Province,1989,1A1A,Oil,,,,,
Shanxi Province,1989,1A1A1,Coal,,,,,
Shanxi Province,1989,1A1A1,Natural gas,,,,,
Shanxi Province,1989,1A1A1,Oil,,,,,
Shanxi Province,1989,1A1A2,Coal,,,,,
Shanxi Province,1989,1A1A2,Natural gas,,,,,
Shanxi Province,1989,1A1A2,Oil,,,,,
Shanxi Province,1989,1A1A3,Coal,,,,,
Shanxi Province,1989,1A1A3,Natural gas,,,,,
Shanxi Province,1989,1A1A3,Oil,,,,,
Shanxi Province,1989,1A1B,Coal,,,,,
Shanxi Province,1989,1A1B,Natural gas,,,,,
Shanxi Province,1989,1A1B,Oil,,,,,
Shanxi Province,1989,1A1C,Coal,,,,,
Shanxi Province,1989,1A1C,Natural gas,,,,,
Shanxi Province,1989,1A1C,Oil,,,,,
Shanxi Province,1989,1A2,Coal,,,,,
Shanxi Province,1989,1A2,Natural gas,,,,,
Shanxi Province,1989,1A2,Oil,,,,,
Shanxi Province,1989,1A2A,Coal,,,,,
Shanxi Province,1989,1A2A,Natural gas,,,,,
Shanxi Province,1989,1A2A,Oil,,,,,
Shanxi Province,1989,1A2B,Coal,,,,,
Shanxi Province,1989,1A2B,Natural gas,,,,,
Shanxi Province,1989,1A2B,Oil,,,,,
Shanxi Province,1989,1A2C,Coal,,,,,
Shanxi Province,1989,1A2C,Natural gas,,,,,
Shanxi Province,1989,1A2C,Oil,,,,,
