IPCC_CODE,CODENAME,FULLNAME,IEA_CODE,lowest_level
0,NationalTotal,Total emissions,,0
1,Energy,Energy,,0
1A,FuelCombustionActivities,Fuel Combustion Activities (Sectoral Approach),ABFLOW001,0
1A1,EnergyIndustries,Energy Industries,,0
1A1A,MainActivityElectricityAndHeatProduction,Main Activity Electricity and Heat Production,ABFLOW002,0
1A1A1,ElectricityGeneration,ElectricityGeneration,ABFLOW003,1
1A1A2,CombinedHeatAndPowerGeneration,Combined Heat and Power Generation (CHP),ABFLOW004,1
1A1A3,HeatPlants,Heat Plants,ABFLOW005,1
1A1B,PetroleumRefining,Petroleum Refining,ABFLOW011,1
1A1C,ManufactureOfSolidFuelsAndOtherEnergyIndustries,Manufacture of Solid Fuels and Other Energy Industries,ABFLOW011,1
1A2,ManufacturingIndustriesAndConstruction,Manufacturing Industries and Construction,ABFLOW012,0
1A2A,IronAndSteel,Iron and Steel,ABFLOW016,1
1A2B,NonFerrousMetals,Non-Ferrous Metals,ABFLOW018,1
1A2C,Chemicals,Chemicals,ABFLOW017,1
1A2D,PulpPaperPrint,"Pulp, Paper and Print",ABFLOW023,1
1A2E,FoodProcessingBeveragesAndTobacco,"Food Processing, Beverages and Tobacco",ABFLOW022,1
1A2F,NonMetallicMinerals,Non-Metallic Minerals,ABFLOW019,1
1A2G,TransportEquipment,Transport Equipment,ABFLOW020,1
1A2H,Machinery,Machinery,ABFLOW021,1
1A2I,MiningAndQuarrying,Mining and Quarrying,ABFLOW013,1
1A2J,WoodAndWoodProducts,Wood and Wood Products,ABFLOW024,1
1A2K,Construction,Construction,ABFLOW014,1
1A2L,TextileAndLeather,Textile and Leather,ABFLOW025,1
1A2M,Other,Other,ABFLOW026,1
1A3,Transport,Transport,ABFLOW027,0
1A3A,CivilAviation,Civil Aviation,,0
1A3A1,InternationalAviation,International Aviation  (International Bunkers),ABFLOW040,1
1A3A2,DomesticAviation,DomesticAviation,ABFLOW029,1
1A3B,RoadTransportation,Road Transportation,ABFLOW028,1
1A3C,Railways,Railways,ABFLOW030,1
1A3D,WaterBorneNavigation,Water-borne Navigation,,0
1A3D1,InternationalWaterBorneNavigation,International water-borne Navigation (International Bunkers),ABFLOW039,1
1A3D2,DomesticWaterBorneNavigation,Domestic water-borne Navigation,ABFLOW032,1
1A3E,OtherTransportation,Other Transportation,,0
1A3E1,OtherNonSpecified,Other Non-Specified,ABFLOW033,0
1A4,OtherSectors,Other Sectors (Fuel Combustion),,0
1A4A,CommercialInstitutional,Commercial/Institutional,ABFLOW035,1
1A4B,Residential,Residential,ABFLOW034,1
1A4C,AgricultureForestryFishingFishFarms,Agriculture/Forestry/Fishing/Fish Farms,,0
1A4C1,AgricultureForestry,"Agriculture, Forestry",ABFLOW036,1
1A4C2,Fishing,Fishing,ABFLOW037,1
1A4C3,FishFarms,Fish Farms,,1
1A5,NonSpecified,Non-Specified,ABFLOW038,0
1A5A,Stationary,Stationary,,1
1A5B,Mobile,Mobile,,1
1A5C,MultilateralOperations,Multilateral Operations,,1
1B,FugitiveEmissionsFromFuels,Fugitive Emissions from Fuels,,0
1B1,SolidFuels,Solid Fuels,,0
1B1A,CoalMiningAndHandling,Coal Mining and Handling,,0
1B1A1,UndergroundMines,Underground Mines,,0
1B1A11,Mining,Mining,,1
1B1A12,PostMiningSeamGasEmissions,Post-mining seam gas emissions,,1
1B1A13,AbondonedUndergroundMines,Abondened underground mines,,1
1B1A14,FlaringOfDrainedCH4OrConversionOfCH4ToCO2,Flaring of drained methane or conversion of methane to CO2,,1
1B1A2,SurfaceMines,Surface Mines,,0
1B1A21,Mining,Mining,,1
1B1A22,PostMiningSeamGasEmissions,Post-mining seam gas emissions,,1
1B1B,SpontaneousCombustionAndBurningCoalDumps,Spontaneous combustion and burning coal dumps,,1
1B2,OilAndNaturalGas,Oil and Natural Gas,,0
1B2A,Oil,Oil,,0
1B2A1,Venting,Venting,,1
1B2A2,Flaring,Flaring,,1
1B2A3,AllOther,All other,,0
1B2A31,Exploration,Exploration,,1
1B2A32,ProductionAndUpgrading,Production and Upgrading,,1
1B2A33,Transport,Transport,,1
