ipcc_full_code,ipcc_full,ipcc_cond_code,ipcc_cond,,isic_code_1,isic_code_2,isic_code_3,isic_code_4,isic_code_5,isic_code_6,isic_code_7,isic_code_8,isic_code_9,isic_code_10,isic_code_11,isic_code_12,isic_code_13,isic_code_14,isic_code_15,isic_code_16,isic_code_17,isic_code_18,isic_code_19,isic_code_20,isic_code_21,isic_code_22,isic_code_23,isic_code_24,isic_code_25,isic_code_26,isic_code_27,isic_code_28,isic_code_29,isic_code_30,isic_code_31,isic_code_32,isic_code_33,isic_code_34,isic_code_35,isic_code_36,isic_code_37,isic_code_38,isic_code_39,isic_code_40,isic_code_41,isic_code_42,isic_code_43,isic_code_44,isic_code_45,isic_code_46,isic_code_47,isic_code_48,isic_code_49,isic_code_50,isic_code_51,isic_code_52,isic_code_53,isic_code_54,isic_code_55,isic_code_56,isic_code_57,isic_code_58,isic_code_59,isic_code_60,isic_code_61,isic_code_62,isic_code_63,isic_code_64,isic_code_65,isic_code_66,isic_code_67,isic_code_68,isic_code_69,isic_code_70,isic_code_71,isic_code_72,isic_code_73,isic_code_74,isic_code_75,isic_code_76,isic_code_77,isic_code_78,isic_code_79,isic_code_80,isic_code_81,isic_code_82,isic_code_83,isic_code_84,isic_code_85,isic_code_86,isic_code_87,isic_code_88,isic_code_89,isic_code_90,isic_code_91,isic_code_92,isic_code_93,isic_code_94,isic_code_95,isic_code_96,isic_code_97,isic_code_98,isic_code_99,isic_code_100,isic_code_101,isic_code_102,isic_code_103,isic_code_104,isic_code_105,isic_code_106,isic_code_107,isic_code_108,isic_code_109,isic_code_110,isic_code_111,isic_code_112,isic_code_113,isic_code_114,isic_code_115,isic_code_116,isic_code_117,isic_code_118,isic_code_119,isic_code_120,isic_code_121,isic_code_122,isic_code_123,isic_code_124,isic_code_125,isic_code_126,isic_code_127,isic_code_128,isic_code_129,isic_code_130,isic_code_131,isic_code_132,isic_code_133,isic_code_134,isic_code_135,isic_code_136,isic_code_137,isic_code_138,isic_code_139
0,0. Total emissions,0,NationalTotal,Total emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.  Energy,1,Energy,Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1AA,1.AA  Fuel Combustion - Sectoral approach,1A,FuelCombustionActivities,Fuel Combustion Activities (Sectoral Approach),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A1,1.A.1  Energy Industries,1A1,EnergyIndustries,Energy Industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A1A,1.A.1.a  Public Electricity and Heat Production,1A1A,MainActivityElectricityAndHeatProduction,Main Activity Electricity and Heat Production,3510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A1A1,1.A.1.a.i  Electricity Generation,1A1A1,ElectricityGeneration,ElectricityGeneration,3510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A1A2,1.A.1.a.ii  Combined Heat and Power Generation,1A1A2,CombinedHeatAndPowerGeneration,Combined Heat and Power Generation (CHP),3510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A1A3,1.A.1.a.iii  Heat Plants,1A1A3,HeatPlants,Heat Plants,3530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A1A4,1.A.1.a.iv  Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A1B,1.A.1.b  Petroleum Refining,1A1B,PetroleumRefining,Petroleum Refining,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
