fuel_name,ncv_tj_per_gg,co2_ef_kg_per_tj,source_id_ncv,source_id_co2_ef,notes
-non sleuf rehtO lissof,,100000.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Anthracite,26.7,98300.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Aviation Gasoline,44.3,70000.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Biodiesels,,70800.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Biodiesels 14,27.0,,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Biogasoline 13,27.0,,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Bitumen,40.2,80700.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Blast Furnace Gas 4,,260000.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Blast Furnace Gas 6,2.47,,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Brown Coal Briquettes,20.7,97500.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
