scheme_id,scheme_name,scheme_type,implementing_legislation,legislation_year,implementation_year,ghg,sector,source,comment
arg_tax,Argentina carbon tax,tax,,,2018,"CO2, CH4, N2O, HFCs, SF6, PFCs",,,
aus_sm,Australia ERF Safeguard Mechanism,ets,,,,"CO2, CH4, N2O, HFCs, SF6, PFCs",,,
aus_tax,Australia CPM,tax,Clean Energy Act 2011,2011,2012,"CO2, CH4, N2O",,,
aut_ets,Austria National Emissions Trading System (N-EHS),ets,,,2022,"CO2, CH4, N2O, HFCs, SF6, PFCs",,,
can_ab_ets,Alberta TIER,ets,,,2020,"CO2, CH4, N2O, HFCs, SF6, PFCs",,ECCC(2021),
can_ab_tax,Alberta carbon tax,tax,,,2017,CO2,,,
can_bc_ets,BC OBPS,ets,,,2024,"CO2, CH4, N2O, HFCs, SF6, PFCs",,,
can_bc_ggirca,BC GGIRCA,ets,,,,,,,
can_bc_tax,BC carbon tax,tax,,,2008,"CO2, CH4, N2O, HFCs, SF6, PFCs",,,
can_nb_ets,New Brunswick OBPS,ets,,,2021,"CO2, CH4, N2O, SF6, HFCs, PFCs",,ICAP,
can_nb_tax,New Brunswick carbon tax,tax,Gasoline and Motive Fuel Tax Act,2020,,CO2,,,
can_nl_ets,Newfoundland and Labrador PSS,ets,,,2019,"CO2, CH4, N2O, SF6, HFCs, PFCs",,,
can_nl_tax,Newfoundland and Labrador carbon tax,tax,Revenue Administration Act,,2019,,,,
can_ns_ets,Nova Scotia CaT,ets,,,2019,"CO2, CH4, N2O, SF6, NF3, HFCs, PFCs",,ICAP,
can_ns_ets_II,Nova Scotia OBPS,ets,,,2024,"CO2, CH4, N2O, SF6, NF3, HFCs, PFCs",,ICAP,
can_nt_tax,Northwest Territories carbon tax,tax,,,2019,,,,
can_obps,Canada federal OBPS,ets,,,2019,"CO2, CH4, N2O, SF6, HFCs, PFCs, NF3",,,
can_on_ets,Ontario EPS,ets,,,2022,,,,
can_pe_tax,Prince Edward Island carbon tax,tax,,,2019,,,,
can_qc_ets,Quebec CaT,ets,,,2013,"CO2, CH4, N2O, SF6, HFCs, PFCs, NF3",,ICAP,
can_sk_ets,Saskatchewan OBPS,ets,,,2019,,,,including federal OBPS coverage
can_tax_I,Canada federal fuel charge,tax,,,2019,"CO2, CH4, N2O, SF6, HFCs, PFCs, NF3",,,most provinces
can_tax_II,Canada federal fuel charge,tax,,,2019,"CO2, CH4, N2O, SF6, HFCs, PFCs, NF3",,,Yukon & Nunavut
che_ets,Switzerland ETS,ets,,,2008,"CO2, N2O, CH4, HFCs, NF3, SF6, PFCs",,ICAP,
che_tax,Switzerland carbon tax,tax,Ordinance on the Reduction of CO2 Emissions,,2008,CO2,,,
chl_tax,Chile carbon tax,tax,,,2017,CO2,,,
chn_bj_ets,Beijing pilot ETS,ets,,,2013,CO2,,ICAP,
chn_cq_ets,Chongqing pilot ETS,ets,,,2014,"CO2, CH4, N2O, HFCs, PFCs, SF6",,ICAP,
chn_ets,China national ETS,ets,,,2021,CO2,,ICAP,
chn_fj_ets,Fujian pilot ETS,ets,,,2016,CO2,,ICAP,
chn_gd_ets,Guangdong pilot ETS,ets,,,2013,CO2,,ICAP,
chn_hb_ets,Hubei pilot ETS,ets,,,2014,CO2,,ICAP,
chn_sh_ets,Shanghai pilot ETS,ets,,,2013,CO2,,ICAP,
chn_sz_ets,Shenzhen pilot ETS,ets,,,2013,CO2,,ICAP,
chn_tj_ets,Tianjin pilot ETS,ets,,,2013,CO2,,ICAP,
col_tax,Colombia carbon tax,tax,,,2017,"CO2, CH4, N2O, SF6, HFCs, PFCs, NF3",,,
deu_ets,Germany ETS,ets,,,2021,CO2,,ICAP,
dnk_tax,Denmark carbon tax,tax,,,1992,CO2,,,
dnk_tax_II,Denmark F-gases tax,tax,,,,"SF6, HFCs, PFCs",,,
esp_tax,Spain carbon tax,tax,,,2014,"HFCs, PFCs, SF6",,,
est_tax,Estonia carbon tax,tax,,,2000,CO2,,,
eu_ets,EU ETS,ets,,,2005,"CO2, N2O, PFCs",,ICAP,
fin_tax,Finland carbon tax,tax,,,1990,CO2,,,
fra_tax,France carbon tax,tax,,,2014,CO2,,,
gbr_ets,UK ETS,ets,,,2021,"CO2, N2O, PFCs",,,
gbr_tax,UK carbon price floor,tax,,,2013,CO2,,,
hun_tax,Hungary carbon tax,tax,,,2023,,,,
irl_tax,Ireland carbon tax,tax,,,2010,CO2,,,
isl_tax,Iceland carbon tax,tax,,,2010,CO2,,,
isl_tax_II,Iceland tax on F-gases,tax,,,,"SF6, HFCs, PFCs",,,
jpn_sai_ets,Saitama ETS,ets,,,2011,CO2,,ICAP,
