scheme_name,scheme_id,tax,legislation,legislation_year,GHGs_covered,source,comment
Alberta TIER,can_ab_ets,0,,,"CO2, CH4, N2O",ECCC(2021),
Alberta carbon tax,can_ab_tax,1,,,CO2,,
Argentina carbon tax,arg_tax,1,,,CO2,,
Australia CPM,aus_tax,1,,,,,
Australia ERF Safeguard Mechanism,aus_sm,0,,,,,
Baja California,mex_bc_tax,1,,,CO2,,
BC GGIRCA,can_bc_ggirca,0,,,,,
BC carbon tax,can_bc_tax,1,,,,,
Beijing pilot ETS,chn_bj_ets,0,,,CO2,ICAP,
California CaT,us_ca_cat,0,,,"CO2, CH4, N2O, SF6, HFCs, PFCs, NF3",ICAP,
Canada federal OBPS,can_obps,0,,,CO2,,
Canada federal fuel charge,can_tax_I,1,,,CO2,,most provinces
Canada federal fuel charge,can_tax_II,1,,,CO2,,Yukon & Nunavut
Chile carbon tax,chl_tax,1,,,CO2,,
China national ETS,chn_ets,0,,,CO2,ICAP,
Chongqing pilot ETS,chn_cq_ets,0,,,"CO2, CH4, N2O, HFCs, PFCs, SF6",ICAP,
Colombia carbon tax,col_tax,1,,,CO2,,
Denmark carbon tax,dnk_tax,1,,,CO2,,
Denmark F-gases tax,dnk_tax_II,1,,,"SF6, HFCs, PFCs",,
EU ETS,eu_ets,0,,,"CO2, N2O, PFCs",ICAP,
Estonia carbon tax,est_tax,1,,,CO2,,
Finland carbon tax,fin_tax,1,,,CO2,,
France carbon tax,fra_tax,1,,,CO2,,
Fujian pilot ETS,chn_fj_ets,0,,,CO2,ICAP,
Germany ETS,deu_ets,0,,,CO2,ICAP,
Guangdong pilot ETS,chn_gd_ets,0,,,CO2,ICAP,
Hubei pilot ETS,chn_hb_ets,0,,,CO2,ICAP,
Iceland carbon tax,isl_tax,1,,,CO2,,
Iceland tax on F-gases,isl_tax_II,1,,,F-gases,,
Ireland carbon tax,irl_tax,1,,,CO2,,
Japan carbon tax,jpn_tax,1,,,CO2,,
Kazakhstan ETS,kaz_ets,0,,,CO2,ICAP,
Korea ETS,kor_ets,0,,,"CO2, CH4, N2O, PFCs, HFCs, SF6",ICAP,
Latvia carbon tax,lva_tax,1,,,CO2,,
Liechtenstein carbon tax,lie_tax,1,,,CO2,,
Luxembourg carbon tax,lux_tax,1,,,CO2,,
Massachusetts ETS,us_ma_ets,0,,,CO2,ICAP,
Mexico carbon tax,mex_tax,1,,,CO2,,
Mexico pilot ETS,mex_ets,0,,,CO2,ICAP,
Netherlands carbon tax,,,,,,,
New Brunswick carbon tax,can_nb_tax,1,Gasoline and Motive Fuel Tax Act,2020,CO2,Gasoline and Motive Fuel Tax Act,
New Brunswick OBPS,can_nb_ets,0,,,,,
New Zealand ETS,nzl_ets,0,,,"CO2, CH4, N2O, SF6, HFCs, PFCs",ICAP,
Newfoundland and Labrador PSS,can_nl_ets,0,,,,,
Newfoundland and Labrador carbon tax,can_nl_tax,1,Revenue Administration Act,,,,
Northwest Territories carbon tax,can_nt_tax,1,,,,,
Norway carbon tax,nor_tax_I,1,,,CO2,,
Norway carbon tax,nor_tax_II,1,,,CO2,,
Nova Scotia CaT,can_ns_ets,0,,,"CO2, CH4, N2O, SF6, NF3, HFCs, PFCs",ICAP,
Poland carbon tax,pol_tax,1,,,CO2,,
Portugal carbon tax,prt_tax,1,,,CO2,,
Prince Edward Island carbon tax,can_pe_tax,1,,,,,
Quebec CaT,can_qc_ets,0,,,"CO2, CH4, N2O, SF6, HFCs, PFCs, NF3",ICAP,
RGGI,us_rggi,0,,,CO2,ICAP,
Saitama ETS,jpn_sai_ets,0,,,CO2,ICAP,
Saskatchewan OBPS,can_sk_ets,0,,,,,including federal OBPS coverage
Shanghai pilot ETS,chn_sh_ets,0,,,CO2,ICAP,
Shenzhen pilot ETS,chn_sz_ets,0,,,CO2,ICAP,
Singapore carbon tax,sgp_tax,1,,,"CO2, CH4, N2O, SF6, HFCs, PFCs",,
Slovenia carbon tax,slo_tax,1,,,CO2,,
South Africa carbon tax,zaf_tax,1,,,CO2,,
Spain carbon tax,esp_tax,1,,,F-gases,,tax of F-gases
Sweden carbon tax,swe_tax,1,,,CO2,,
Switzerland ETS,che_ets,0,,,"CO2, N2O, CH4, HFCs, NF3, SF6, PFCs",ICAP,
Switzerland carbon tax,che_tax,1,,,CO2,Ordinance on the Reduction of CO2 Emissions,
Tamaulipas,mex_tm_tax,1,,,"CO2, CH4, N2O, HFCs, PFCs, SF6",,
Tianjin pilot ETS,chn_tj_ets,0,,,CO2,ICAP,
Tokyo CaT,jpn_tok_ets,0,,,CO2,ICAP,
UK carbon price floor,gbr_tax,1,,,CO2,,
Ukraine carbon tax,ukr_tax,1,,,CO2,,
Virginia ETS,us_va_ets,0,,,,,
Washington CAR,us_wa_car,0,,,,,
Zacatecas carbon tax,mex_za_tax,1,,,"CO2, CH4",,
