jurisdiction,year,ipcc_code,Product
,1989,0,
,1989,1,
,1989,2,
,1989,3,
,1989,4,
,1989,5,
,1989,1A,Coal
,1989,1A,Natural gas
,1989,1A,Oil
,1989,1A1,Coal
,1989,1A1,Natural gas
,1989,1A1,Oil
,1989,1A1A,Coal
,1989,1A1A,Natural gas
,1989,1A1A,Oil
,1989,1A1A1,Coal
,1989,1A1A1,Natural gas
,1989,1A1A1,Oil
,1989,1A1A2,Coal
,1989,1A1A2,Natural gas
,1989,1A1A2,Oil
,1989,1A1A3,Coal
,1989,1A1A3,Natural gas
,1989,1A1A3,Oil
,1989,1A1B,Coal
,1989,1A1B,Natural gas
,1989,1A1B,Oil
,1989,1A1C,Coal
,1989,1A1C,Natural gas
,1989,1A1C,Oil
,1989,1A2,Coal
,1989,1A2,Natural gas
,1989,1A2,Oil
,1989,1A2A,Coal
,1989,1A2A,Natural gas
,1989,1A2A,Oil
,1989,1A2B,Coal
,1989,1A2B,Natural gas
,1989,1A2B,Oil
,1989,1A2C,Coal
,1989,1A2C,Natural gas
,1989,1A2C,Oil
,1989,1A2D,Coal
,1989,1A2D,Natural gas
,1989,1A2D,Oil
,1989,1A2E,Coal
,1989,1A2E,Natural gas
,1989,1A2E,Oil
,1989,1A2F,Coal
,1989,1A2F,Natural gas
,1989,1A2F,Oil
,1989,1A2G,Coal
,1989,1A2G,Natural gas
,1989,1A2G,Oil
,1989,1A2H,Coal
,1989,1A2H,Natural gas
,1989,1A2H,Oil
,1989,1A2I,Coal
,1989,1A2I,Natural gas
,1989,1A2I,Oil
,1989,1A2J,Coal
,1989,1A2J,Natural gas
,1989,1A2J,Oil
,1989,1A2K,Coal
,1989,1A2K,Natural gas
,1989,1A2K,Oil
,1989,1A2L,Coal
,1989,1A2L,Natural gas
,1989,1A2L,Oil
,1989,1A2M,Coal
,1989,1A2M,Natural gas
,1989,1A2M,Oil
,1989,1A3,Coal
,1989,1A3,Natural gas
,1989,1A3,Oil
,1989,1A3A,Coal
,1989,1A3A,Natural gas
,1989,1A3A,Oil
,1989,1A3A1,Coal
,1989,1A3A1,Natural gas
,1989,1A3A1,Oil
,1989,1A3A2,Coal
,1989,1A3A2,Natural gas
,1989,1A3A2,Oil
,1989,1A3B,Coal
,1989,1A3B,Natural gas
,1989,1A3B,Oil
,1989,1A3C,Coal
,1989,1A3C,Natural gas
,1989,1A3C,Oil
,1989,1A3D,Coal
,1989,1A3D,Natural gas
,1989,1A3D,Oil
,1989,1A3D1,Coal
,1989,1A3D1,Natural gas
,1989,1A3D1,Oil
,1989,1A3D2,Coal
,1989,1A3D2,Natural gas
,1989,1A3D2,Oil
,1989,1A3E,Coal
,1989,1A3E,Natural gas
,1989,1A3E,Oil
,1989,1A3E1,Coal
,1989,1A3E1,Natural gas
,1989,1A3E1,Oil
,1989,1A4,Coal
,1989,1A4,Natural gas
,1989,1A4,Oil
