scheme_id,jurisdiction,year,ipcc_code,cf_CO2,source,comment
usa_or_ets,Oregon,2022,0,NA,,
usa_or_ets,Oregon,2022,1,NA,,
usa_or_ets,Oregon,2022,1A,NA,,
usa_or_ets,Oregon,2022,1A1,NA,,
usa_or_ets,Oregon,2022,1A1A,NA,,
usa_or_ets,Oregon,2022,1A1A1,1,,
usa_or_ets,Oregon,2022,1A1A2,1,,
usa_or_ets,Oregon,2022,1A1A3,NA,,
usa_or_ets,Oregon,2022,1A1B,1,,
usa_or_ets,Oregon,2022,1A1C,1,,
usa_or_ets,Oregon,2022,1A2,NA,,
usa_or_ets,Oregon,2022,1A2A,1,,
usa_or_ets,Oregon,2022,1A2B,1,,
usa_or_ets,Oregon,2022,1A2C,1,,
usa_or_ets,Oregon,2022,1A2D,1,,
usa_or_ets,Oregon,2022,1A2E,1,,
usa_or_ets,Oregon,2022,1A2F,1,,
usa_or_ets,Oregon,2022,1A2G,1,,
usa_or_ets,Oregon,2022,1A2H,1,,
usa_or_ets,Oregon,2022,1A2I,1,,
usa_or_ets,Oregon,2022,1A2J,1,,
usa_or_ets,Oregon,2022,1A2K,1,,
usa_or_ets,Oregon,2022,1A2L,1,,
usa_or_ets,Oregon,2022,1A2M,1,,
usa_or_ets,Oregon,2022,1A3,NA,,
usa_or_ets,Oregon,2022,1A3A,NA,,
usa_or_ets,Oregon,2022,1A3A1,NA,,
usa_or_ets,Oregon,2022,1A3A2,NA,,
usa_or_ets,Oregon,2022,1A3B,1,,
usa_or_ets,Oregon,2022,1A3C,NA,,
usa_or_ets,Oregon,2022,1A3D,NA,,
usa_or_ets,Oregon,2022,1A3D1,NA,,
usa_or_ets,Oregon,2022,1A3D2,NA,,
usa_or_ets,Oregon,2022,1A3E,NA,,
usa_or_ets,Oregon,2022,1A3E1,NA,,
usa_or_ets,Oregon,2022,1A4,NA,,
usa_or_ets,Oregon,2022,1A4A,1,,
usa_or_ets,Oregon,2022,1A4B,1,,
usa_or_ets,Oregon,2022,1A4C,NA,,
usa_or_ets,Oregon,2022,1A4C1,NA,,
usa_or_ets,Oregon,2022,1A4C2,NA,,
usa_or_ets,Oregon,2022,1A4C3,NA,,
usa_or_ets,Oregon,2022,1A5,NA,,
usa_or_ets,Oregon,2022,1A5A,1,,
usa_or_ets,Oregon,2022,1A5B,NA,,
usa_or_ets,Oregon,2022,1A5C,NA,,
usa_or_ets,Oregon,2022,1B,NA,,
usa_or_ets,Oregon,2022,1B1,NA,,
usa_or_ets,Oregon,2022,1B1A,NA,,
usa_or_ets,Oregon,2022,1B1A1,NA,,
usa_or_ets,Oregon,2022,1B1A11,NA,,
usa_or_ets,Oregon,2022,1B1A12,NA,,
usa_or_ets,Oregon,2022,1B1A13,NA,,
usa_or_ets,Oregon,2022,1B1A14,NA,,
usa_or_ets,Oregon,2022,1B1A2,NA,,
usa_or_ets,Oregon,2022,1B1A21,NA,,
usa_or_ets,Oregon,2022,1B1A22,NA,,
usa_or_ets,Oregon,2022,1B1B,NA,,
usa_or_ets,Oregon,2022,1B2,NA,,
usa_or_ets,Oregon,2022,1B2A,NA,,
usa_or_ets,Oregon,2022,1B2A1,NA,,
usa_or_ets,Oregon,2022,1B2A2,NA,,
usa_or_ets,Oregon,2022,1B2A3,NA,,
usa_or_ets,Oregon,2022,1B2A31,NA,,
usa_or_ets,Oregon,2022,1B2A32,NA,,
usa_or_ets,Oregon,2022,1B2A33,NA,,
usa_or_ets,Oregon,2022,1B2A34,NA,,
usa_or_ets,Oregon,2022,1B2A35,NA,,
usa_or_ets,Oregon,2022,1B2A36,NA,,
usa_or_ets,Oregon,2022,1B2B,NA,,
usa_or_ets,Oregon,2022,1B2B1,NA,,
usa_or_ets,Oregon,2022,1B2B2,NA,,
usa_or_ets,Oregon,2022,1B2B3,NA,,
usa_or_ets,Oregon,2022,1B2B31,NA,,
usa_or_ets,Oregon,2022,1B2B32,NA,,
usa_or_ets,Oregon,2022,1B2B33,NA,,
usa_or_ets,Oregon,2022,1B2B34,NA,,
usa_or_ets,Oregon,2022,1B2B35,NA,,
usa_or_ets,Oregon,2022,1B2B36,NA,,
usa_or_ets,Oregon,2022,1B3,NA,,
usa_or_ets,Oregon,2022,1C,NA,,
usa_or_ets,Oregon,2022,1C1,NA,,
usa_or_ets,Oregon,2022,1C1A,NA,,
usa_or_ets,Oregon,2022,1C1B,NA,,
usa_or_ets,Oregon,2022,1C1C,NA,,
usa_or_ets,Oregon,2022,1C2,NA,,
usa_or_ets,Oregon,2022,1C2A,NA,,
usa_or_ets,Oregon,2022,1C2B,NA,,
usa_or_ets,Oregon,2022,1C3,NA,,
usa_or_ets,Oregon,2022,2,NA,,
usa_or_ets,Oregon,2022,20,NA,,
usa_or_ets,Oregon,2022,200,NA,,
usa_or_ets,Oregon,2022,2000,NA,,
usa_or_ets,Oregon,2022,20000,NA,,
usa_or_ets,Oregon,2022,200000,NA,,
usa_or_ets,Oregon,2022,2A,NA,,
usa_or_ets,Oregon,2022,2A1,NA,,
usa_or_ets,Oregon,2022,2A2,NA,,
usa_or_ets,Oregon,2022,2A3,NA,,
usa_or_ets,Oregon,2022,2A4,NA,,
usa_or_ets,Oregon,2022,2A4A,NA,,
usa_or_ets,Oregon,2022,2A4B,NA,,
usa_or_ets,Oregon,2022,2A4C,NA,,
usa_or_ets,Oregon,2022,2A4D,NA,,
usa_or_ets,Oregon,2022,2B,NA,,
usa_or_ets,Oregon,2022,2B1,NA,,
usa_or_ets,Oregon,2022,2B10,NA,,
usa_or_ets,Oregon,2022,2B2,NA,,
usa_or_ets,Oregon,2022,2B3,NA,,
usa_or_ets,Oregon,2022,2B4,NA,,
