auction_year,auction_month,auction_number,auction_settlement_price,allowances_sold,yr_average,,source,CARB auction results summary
2021,11,29,28.26,68598217,22.2356344,,,
2021,8,28,23.3,71261536,,,,
2021,5,27,18.8,71647138,,,,
2021,2,26,17.8,54773607,,,,
2020,11,25,16.93,56366432,17.11808387,,,
2020,8,24,16.68,52627000,,,,
2020,5,23,16.68,21161000,,,,
2020,2,22,17.87,57090077,,,,
2019,11,21,17,"67,435,661",16.77847358,,,
2019,8,20,17.16,"66,289,515",,,,
2019,5,19,17.45,"66,321,122",,,,
2019,2,18,15.73,"80,847,404",,,,
2018,11,17,15.31,"78,825,717",14.88012446,,,
2018,8,16,15.05,"79,421,265",,,,
2018,5,15,14.65,"90,587,738",,,,
2018,2,14,14.61,"98,215,920",,,,
2017,11,13,15.06,"79,548,286",14.48674052,,,
2017,8,12,14.75,"63,887,833",,,,
2017,5,11,13.8,"75,311,960",,,,
2017,2,10,13.57,"11,673,000",,,,
2016,11,9,12.73,"76,960,000",12.73,,,
2016,8,8,12.73,"30,021,000",,,,
2016,5,7,12.73,"7,260,000",,,,
2016,2,6,12.73,"68,026,000",,,,
2015,11,5,12.73,"75,113,008",12.43728156,,,
2015,8,4,12.52,"73,429,360",,,,
2015,5,3,12.29,"76,931,627",,,,
2015,2,2,12.21,"73,610,528",,,,
2014,11,1,12.1,"23,070,987",11.66398696,,,
2014,8,8,11.5,"22,473,043",,,,
2014,5,7,11.5,"16,947,080",,,,
2014,2,6,11.48,"19,538,695",,,,
2013,11,5,11.48,"16,614,526",12.76636605,,,
2013,8,4,12.22,"13,865,422",,,,
2013,5,3,14,"14,522,048",,,,
2013,2,2,13.62,"12,924,822",,,,
2012,11,1,,,,,,
