,Quebec Cap-and-Trade System,,,,,,,,, ,Ontario Cap-and-Trade Program (2017-2018),,,,,,,,, ,Nova Scotia Cap-and-Trade Program (2019-2022),,,,,,, ,Switzerland Emissions Trading System,,,,, ,China National Emissions Trading System,,,,, ,Shenzhen (Pilot) Emissions Trading System,,,,,, ,Shanghai (Pilot) Emissions Trading System,,,,,, ,Beijing (Pilot) Emissions Trading System,,,,,, ,Guangdong (Pilot) Emissions Trading System,,,,,, ,Tianjin (Pilot) Emissions Trading System,,,,,, ,Hubei (Pilot) Emissions Trading System,,,,,, ,Chongqing (Pilot) Emissions Trading System,,,,,, ,Fujian (Pilot) Emissions Trading System,,,,, ,European Union Emissions Trading System,,,, ,,,German National Emissions Trading System,,,,, ,United Kingdom Emissions Trading Scheme,,,,,,, ,Korean Emissions Trading System,,,,,, ,New Zealand Emissions Trading System (Up to 2023),,,,,,,,, ,Regional Greenhouse Gas Initiative,,,,,,,,, ,California Cap-and-Trade Program,,,,,,,,,, ,Washington Cap-and-Invest Program,,,,,,,, 
Date,Exchange rate CAD/EUR,Exchange rate CAD/USD,Market Currency,Primary Market,Primary Stability 1,Primary Stability 2,Primary Stability 3,Primary Stability 4,Reference Market, ,Exchange rate CAD/EUR,Exchange rate CAD/USD,Market Currency,Primary Market,Primary Stability 1,Primary Stability 2,Primary Stability 3,Primary Stability 4,Reference Market, ,Exchange rate CAD/EUR,Exchange rate CAD/USD,Market Currency,Primary Market,Primary Stability 1,Primary Stability 2,Reference Market, ,Exchange rate CHF/EUR,Exchange rate CHF/USD,Market Currency,Primary Market,Reference Market, ,Exchange rate CNY/EUR,Exchange rate CNY/USD,Market Currency,Secondary Market,Reference Market, ,Exchange rate CNY/EUR,Exchange rate CNY/USD,Market Currency,Primary Market,Secondary Market,Reference Market, ,Exchange rate CNY/EUR,Exchange rate CNY/USD,Market Currency,Primary Market,Secondary Market,Reference Market, ,Exchange rate CNY/EUR,Exchange rate CNY/USD,Market Currency,Primary Market,Secondary Market,Reference Market, ,Exchange rate CNY/EUR,Exchange rate CNY/USD,Market Currency,Primary Market,Secondary Market,Reference Market, ,Exchange rate CNY/EUR,Exchange rate CNY/USD,Market Currency,Primary Market,Secondary Market,Reference Market, ,Exchange rate CNY/EUR,Exchange rate CNY/USD,Market Currency,Primary Market,Secondary Market,Reference Market, ,Exchange rate CNY/EUR,Exchange rate CNY/USD,Market Currency,Primary Market,Secondary Market,Reference Market, ,Exchange rate CNY/EUR,Exchange rate CNY/USD,Market Currency,Secondary Market,Reference Market, ,Exchange rate EUR/EUR,Exchange rate EUR/USD,Market Currency,Primary Market,Secondary Market,Reference Market,,Exchange rate EUR/EUR,Exchange rate EUR/USD,Market Currency,Primary Market,Reference Market, ,Exchange rate GBP/EUR,Exchange rate GBP/USD,Market Currency,Primary Market,Primary Stability 1,Primary Stability 2,Reference Market, ,Exchange rate KRW/EUR,Exchange rate KRW/USD,Market Currency,Primary Market,Secondary Market,Reference Market, ,Exchange rate NZD/EUR,Exchange rate NZD/USD,Market Currency,Primary Market,Primary Stability 1,Primary Stability 2,Secondary Market,Secondary Stability 5,Reference Market, ,Exchange rate USD/EUR,Exchange rate USD/USD,Market Currency,Primary Market,Primary Stability 1,Primary Stability 2,Primary Stability 3,Secondary Market,Reference Market, ,Exchange rate USD/EUR,Exchange rate USD/USD,Market Currency,Primary Market,Primary Stability 1,Primary Stability 2,Primary Stability 3,Primary Stability 4,Primary Stability 5,Reference Market, ,Exchange rate USD/EUR,Exchange rate USD/USD,Market Currency,Primary Market,Primary Stability 1,Primary Stability 2,Primary Stability 3,Primary Stability 5,Reference Market
2013-12-03,0.685896197,0.939924712,CAD,10.75,10.75,40,45,50,, ,,,,,,,,,, ,,,,,,,, ,,,,,, ,,,,,, ,0.119292364,0.163473485,CNY,,79.99,, ,0.119292364,0.163473485,CNY,,28.8,, ,,,,,,, ,,,,,,, ,,,,,,, ,,,,,,, ,,,,,,, ,,,,,, ,,,,,,,,,,,,, ,,,,,,,, ,,,,,,, ,0.600456885,0.822842097,NZD,,,,3.95,25,, ,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,
2014-03-04,0.651343816,0.90032154,CAD,11.39,11.39,42.39,47.69,52.99,, ,,,,,,,,,, ,,,,,,,, ,,,,,, ,,,,,, ,0.117886272,0.16294858,CNY,,85.3,, ,,,,,,, ,0.117886272,0.16294858,CNY,,52.63,, ,,,,,,, ,0.117886272,0.16294858,CNY,,32.69,, ,,,,,,, ,,,,,,, ,,,,,, ,,,,,,,,,,,,, ,,,,,,,, ,,,,,,, ,0.616179954,0.851716208,NZD,,,,3.05,25,, ,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,
2014-05-27,0.668475825,0.917960553,CAD,11.39,11.39,42.39,47.69,52.99,, ,,,,,,,,,, ,,,,,,,, ,,,,,, ,,,,,, ,0.118161975,0.162261712,CNY,,73.6,, ,,,,,,, ,0.118161975,0.162261712,CNY,,52,, ,,,,,,, ,0.118161975,0.162261712,CNY,,28.48,, ,0.118161975,0.162261712,CNY,,23.89,, ,,,,,,, ,,,,,, ,,,,,,,,,,,,, ,,,,,,,, ,,,,,,, ,0.62696381,0.860955661,NZD,,,,4.65,25,, ,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,
2014-08-26,0.687246012,0.915143334,CAD,11.39,11.39,42.39,47.69,52.99,, ,,,,,,,,,, ,,,,,,,, ,,,,,, ,,,,,, ,0.121898704,0.162321475,CNY,,51.95,, ,,,,,,, ,0.121898704,0.162321475,CNY,,54.6,, ,,,,,,, ,,,,,,, ,0.121898704,0.162321475,CNY,,22.96,, ,,,,,,, ,,,,,, ,,,,,,,,,,,,, ,,,,,,,, ,,,,,,, ,0.633410002,0.843454791,NZD,,,,3.9,25,, ,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,
2014-11-25,0.707884191,0.88288732,CAD,13.68,12.82,42.39,47.69,52.99,, ,,,,,,,,,, ,,,,,,,, ,,,,,, ,,,,,, ,0.130491836,0.162752028,CNY,,39.88,, ,0.130491836,0.162752028,CNY,,33.23,, ,0.130491836,0.162752028,CNY,,52,, ,0.130491836,0.162752028,CNY,,22.8,, ,0.130491836,0.162752028,CNY,,25,, ,0.130491836,0.162752028,CNY,,24,, ,,,,,,, ,,,,,, ,,,,,,,,,,,,, ,,,,,,,, ,,,,,,, ,0.627963006,0.78320802,NZD,,,,4.27,25,, ,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,
2015-02-18,0.704864585,0.799996634,CAD,15.14,15.01,44.96,50.58,56.2,, ,,,,,,,,,, ,,,,,,,, ,,,,,, ,,,,,, ,,,,,,, ,,,,,,, ,,,,,,, ,,,,,,, ,,,,,,, ,,,,,,, ,,,,,,, ,,,,,, ,,,,,,,,,,,,, ,,,,,,,, ,,,,,,, ,0.655861574,0.744379932,NZD,,,,5.97,25,, ,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,
2015-05-21,0.736075688,0.820691268,CAD,15.01,14.78,44.96,50.58,56.2,, ,,,,,,,,,, ,,,,,,,, ,,,,,, ,,,,,, ,0.146691985,0.163554962,CNY,,39.3,, ,0.146691985,0.163554962,CNY,,23.5,, ,0.146691985,0.163554962,CNY,,46.98,, ,0.146691985,0.163554962,CNY,,21.17,, ,0.146691985,0.163554962,CNY,,18.95,, ,0.146691985,0.163554962,CNY,,25.8,, ,,,,,,, ,,,,,, ,,,,,,,,,,,,, ,,,,,,,, ,0.000821884,0.000916364,KRW,,10300,, ,0.663189281,0.739426205,NZD,,,,5.25,25,, ,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,
2015-08-18,0.682761656,0.760531459,CAD,16.39,15.84,44.96,50.58,56.2,, ,,,,,,,,,, ,,,,,,,, ,,,,,, ,,,,,, ,,,,,,, ,,,,,,, ,,,,,,, ,0.142372844,0.158589789,CNY,,15.72,, ,,,,,,, ,0.142372844,0.158589789,CNY,,25.1,, ,,,,,,, ,,,,,, ,,,,,,,,,,,,, ,,,,,,,, ,0.00076138,0.000848104,KRW,,10300,, ,0.587912782,0.654878847,NZD,,,,6.8,25,, ,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,
2015-11-17,0.701371277,0.752992203,CAD,17,16.16,44.96,50.58,56.2,, ,,,,,,,,,, ,,,,,,,, ,,,,,, ,,,,,, ,0.14635815,0.15713011,CNY,,40.55,, ,,,,,,, ,,,,,,, ,,,,,,, ,0.14635815,0.15713011,CNY,,22.95,, ,0.14635815,0.15713011,CNY,,23.05,, ,,,,,,, ,,,,,, ,,,,,,,,,,,,, ,,,,,,,, ,0.000808568,0.000868078,KRW,,11500,, ,0.611666406,0.656685054,NZD,,,,7.45,25,, ,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,
