scheme_id,year,ghg,product,rate,currency_code,source,comment
dnk_tax_II,1992,F-GASES,NA,,DNK,,
dnk_tax_II,1993,F-GASES,NA,,DNK,,
dnk_tax_II,1994,F-GASES,NA,,DNK,,
dnk_tax_II,1995,F-GASES,NA,,DNK,,
dnk_tax_II,1996,F-GASES,NA,,DNK,,
dnk_tax_II,1997,F-GASES,NA,,DNK,,
dnk_tax_II,1998,F-GASES,NA,,DNK,,
dnk_tax_II,1999,F-GASES,NA,,DNK,,
dnk_tax_II,2000,F-GASES,NA,,DNK,,
dnk_tax_II,2001,F-GASES,NA,,DNK,,
dnk_tax_II,2002,F-GASES,NA,,DNK,,
dnk_tax_II,2003,F-GASES,NA,,DNK,,
dnk_tax_II,2004,F-GASES,NA,,DNK,,
dnk_tax_II,2005,F-GASES,NA,,DNK,,
dnk_tax_II,2006,F-GASES,NA,,DNK,,
dnk_tax_II,2007,F-GASES,NA,,DNK,,
dnk_tax_II,2008,F-GASES,NA,,DNK,,
dnk_tax_II,2009,F-GASES,NA,,DNK,,
dnk_tax_II,2010,F-GASES,NA,,DNK,,
dnk_tax_II,2011,F-GASES,NA,,DNK,,
dnk_tax_II,2012,F-GASES,NA,,DNK,,
dnk_tax_II,2013,F-GASES,NA,,DNK,,
dnk_tax_II,2014,F-GASES,NA,,DNK,,
dnk_tax_II,2015,F-GASES,NA,,DNK,,
dnk_tax_II,2016,F-GASES,NA,,DNK,,
dnk_tax_II,2017,F-GASES,NA,,DNK,,
dnk_tax_II,2018,F-GASES,NA,,DNK,,
dnk_tax_II,2019,F-GASES,NA,,DNK,,
dnk_tax_II,2020,F-GASES,NA,,DNK,,
dnk_tax_II,2021,F-GASES,NA,,DNK,,
