scheme_id,year,ghg,product,rate,currency_code,source,comment
mex_dg_tax,2023,N2O,Natural Gas, 179,MXN,legleg(DUR-TC[2022]),
mex_dg_tax,2023,N2O,Coal,179,MXN,leg(DUR-TC[2022]),
mex_dg_tax,2023,CH4,Natural Gas,179,MXN,leg(DUR-TC[2022]),
mex_dg_tax,2023,CH4,Oil,179,MXN,leg(DUR-TC[2022]),
mex_dg_tax,2023,CH4,Natural Gas,179,MXN,leg(DUR-TC[2022]),
mex_dg_tax,2023,CO2,Natural Gas,179,MXN,leg(DUR-TC[2022]),
mex_dg_tax,2023,CO2,Oil,179,MXN,leg(DUR-TC[2022]),
mex_dg_tax,2023,CO2,Coal,179,MXN,leg(DUR-TC[2022]),
mex_dg_tax,2023,N2O,Oil,179,MXN,leg(DUR-TC[2022]),
mex_dg_tax,2024,CO2,Coal,100,MXN,leg(DUR-TC[2024]),
mex_dg_tax,2024,N2O,Coal,100,MXN,leg(DUR-TC[2024]),
mex_dg_tax,2024,CH4,Natural Gas,100,MXN,leg(DUR-TC[2024]),
mex_dg_tax,2024,CH4,Oil,100,MXN,leg(DUR-TC[2024]),
mex_dg_tax,2024,CH4,Natural Gas,100,MXN,leg(DUR-TC[2024]),
mex_dg_tax,2024,CO2,Natural Gas,100,MXN,leg(DUR-TC[2024]),
mex_dg_tax,2024,CO2,Oil,100,MXN,leg(DUR-TC[2024]),
mex_dg_tax,2024,N2O,Oil,100,MXN,leg(DUR-TC[2024]),
mex_dg_tax,2024,N2O,Natural Gas,100,MXN,leg(DUR-TC[2024]),
