scheme_id,year,ghg,product,rate,currency_code,source,comment
mex_za_tax,2017,CO2,Coal,250,MXN,,
mex_za_tax,2017,CO2,Oil,250,MXN,,
mex_za_tax,2017,CO2,Natural gas,250,MXN,,
mex_za_tax,2017,CH4,NA,250,MXN,,
mex_za_tax,2017,F-GASES,NA,250,MXN,,
mex_za_tax,2017,N2O,NA,250,MXN,,
mex_za_tax,2018,CO2,Coal,250,MXN,,
mex_za_tax,2018,CO2,Oil,250,MXN,,
mex_za_tax,2018,CO2,Natural gas,250,MXN,,
mex_za_tax,2018,CH4,NA,250,MXN,,
mex_za_tax,2018,F-GASES,NA,250,MXN,,
mex_za_tax,2018,N2O,NA,250,MXN,,
mex_za_tax,2019,CO2,Coal,250,MXN,,
mex_za_tax,2019,CO2,Oil,250,MXN,,
mex_za_tax,2019,CO2,Natural gas,250,MXN,,
mex_za_tax,2019,CH4,NA,250,MXN,,
mex_za_tax,2019,F-GASES,NA,250,MXN,,
mex_za_tax,2019,N2O,NA,250,MXN,,
mex_za_tax,2020,CO2,Coal,250,MXN,,
mex_za_tax,2020,CO2,Oil,250,MXN,,
mex_za_tax,2020,CO2,Natural gas,250,MXN,,
mex_za_tax,2020,CH4,NA,250,MXN,,
mex_za_tax,2020,F-GASES,NA,250,MXN,,
mex_za_tax,2020,N2O,NA,250,MXN,,
mex_za_tax,2021,CO2,Coal,250,MXN,,
mex_za_tax,2021,CO2,Oil,250,MXN,,
mex_za_tax,2021,CO2,Natural gas,250,MXN,,
mex_za_tax,2021,CH4,NA,250,MXN,,
mex_za_tax,2022,CO2,Coal,250,MXN,,
mex_za_tax,2022,CO2,Oil,250,MXN,,
mex_za_tax,2022,CO2,Natural gas,250,MXN,,
mex_za_tax,2022,CH4,NA,250,MXN,,
mex_za_tax,2022,F-GASES,NA,250,MXN,,
mex_za_tax,2022,N2O,NA,250,MXN,,
