jurisdiction,year,ipcc_code,Product,tax_ex_rate,tax_ex_rate_sources
Gifu,1989,0,,,
Gifu,1989,1,,,
Gifu,1989,1A,Coal,,
Gifu,1989,1A,Natural gas,,
Gifu,1989,1A,Oil,,
Gifu,1989,1A1,Coal,,
Gifu,1989,1A1,Natural gas,,
Gifu,1989,1A1,Oil,,
Gifu,1989,1A1A,Coal,,
Gifu,1989,1A1A,Natural gas,,
Gifu,1989,1A1A,Oil,,
Gifu,1989,1A1A1,Coal,,
Gifu,1989,1A1A1,Natural gas,,
Gifu,1989,1A1A1,Oil,,
Gifu,1989,1A1A2,Coal,,
Gifu,1989,1A1A2,Natural gas,,
Gifu,1989,1A1A2,Oil,,
Gifu,1989,1A1A3,Coal,,
Gifu,1989,1A1A3,Natural gas,,
Gifu,1989,1A1A3,Oil,,
Gifu,1989,1A1B,Coal,,
Gifu,1989,1A1B,Natural gas,,
Gifu,1989,1A1B,Oil,,
Gifu,1989,1A1C,Coal,,
Gifu,1989,1A1C,Natural gas,,
Gifu,1989,1A1C,Oil,,
Gifu,1989,1A2,Coal,,
Gifu,1989,1A2,Natural gas,,
Gifu,1989,1A2,Oil,,
Gifu,1989,1A2A,Coal,,
Gifu,1989,1A2A,Natural gas,,
Gifu,1989,1A2A,Oil,,
Gifu,1989,1A2B,Coal,,
Gifu,1989,1A2B,Natural gas,,
Gifu,1989,1A2B,Oil,,
Gifu,1989,1A2C,Coal,,
Gifu,1989,1A2C,Natural gas,,
Gifu,1989,1A2C,Oil,,
Gifu,1989,1A2D,Coal,,
Gifu,1989,1A2D,Natural gas,,
Gifu,1989,1A2D,Oil,,
Gifu,1989,1A2E,Coal,,
Gifu,1989,1A2E,Natural gas,,
Gifu,1989,1A2E,Oil,,
Gifu,1989,1A2F,Coal,,
Gifu,1989,1A2F,Natural gas,,
Gifu,1989,1A2F,Oil,,
Gifu,1989,1A2G,Coal,,
Gifu,1989,1A2G,Natural gas,,
Gifu,1989,1A2G,Oil,,
Gifu,1989,1A2H,Coal,,
Gifu,1989,1A2H,Natural gas,,
Gifu,1989,1A2H,Oil,,
Gifu,1989,1A2I,Coal,,
Gifu,1989,1A2I,Natural gas,,
Gifu,1989,1A2I,Oil,,
Gifu,1989,1A2J,Coal,,
Gifu,1989,1A2J,Natural gas,,
Gifu,1989,1A2J,Oil,,
Gifu,1989,1A2K,Coal,,
Gifu,1989,1A2K,Natural gas,,
Gifu,1989,1A2K,Oil,,
Gifu,1989,1A2L,Coal,,
Gifu,1989,1A2L,Natural gas,,
Gifu,1989,1A2L,Oil,,
Gifu,1989,1A2M,Coal,,
Gifu,1989,1A2M,Natural gas,,
Gifu,1989,1A2M,Oil,,
Gifu,1989,1A3,Coal,,
Gifu,1989,1A3,Natural gas,,
Gifu,1989,1A3,Oil,,
Gifu,1989,1A3A,Coal,,
Gifu,1989,1A3A,Natural gas,,
Gifu,1989,1A3A,Oil,,
Gifu,1989,1A3A1,Coal,,
Gifu,1989,1A3A1,Natural gas,,
Gifu,1989,1A3A1,Oil,,
Gifu,1989,1A3A2,Coal,,
Gifu,1989,1A3A2,Natural gas,,
Gifu,1989,1A3A2,Oil,,
Gifu,1989,1A3B,Coal,,
Gifu,1989,1A3B,Natural gas,,
Gifu,1989,1A3B,Oil,,
Gifu,1989,1A3C,Coal,,
Gifu,1989,1A3C,Natural gas,,
Gifu,1989,1A3C,Oil,,
Gifu,1989,1A3D,Coal,,
Gifu,1989,1A3D,Natural gas,,
Gifu,1989,1A3D,Oil,,
Gifu,1989,1A3D1,Coal,,
Gifu,1989,1A3D1,Natural gas,,
Gifu,1989,1A3D1,Oil,,
Gifu,1989,1A3D2,Coal,,
Gifu,1989,1A3D2,Natural gas,,
Gifu,1989,1A3D2,Oil,,
Gifu,1989,1A3E,Coal,,
Gifu,1989,1A3E,Natural gas,,
Gifu,1989,1A3E,Oil,,
Gifu,1989,1A3E1,Coal,,
Gifu,1989,1A3E1,Natural gas,,
Gifu,1989,1A3E1,Oil,,
Gifu,1989,1A4,Coal,,
Gifu,1989,1A4,Natural gas,,
Gifu,1989,1A4,Oil,,
Gifu,1989,1A4A,Coal,,
Gifu,1989,1A4A,Natural gas,,
Gifu,1989,1A4A,Oil,,
Gifu,1989,1A4B,Coal,,
Gifu,1989,1A4B,Natural gas,,
Gifu,1989,1A4B,Oil,,
Gifu,1989,1A4C,Coal,,
Gifu,1989,1A4C,Natural gas,,
Gifu,1989,1A4C,Oil,,
Gifu,1989,1A4C1,Coal,,
Gifu,1989,1A4C1,Natural gas,,
Gifu,1989,1A4C1,Oil,,
Gifu,1989,1A4C2,Coal,,
Gifu,1989,1A4C2,Natural gas,,
Gifu,1989,1A4C2,Oil,,
Gifu,1989,1A4C3,Coal,,
