jurisdiction,year,ipcc_code,Product,tax_ex_rate,tax_ex_rate_sources
Hyogo,1989,0,,,
Hyogo,1989,1,,,
Hyogo,1989,1A,Coal,,
Hyogo,1989,1A,Natural gas,,
Hyogo,1989,1A,Oil,,
Hyogo,1989,1A1,Coal,,
Hyogo,1989,1A1,Natural gas,,
Hyogo,1989,1A1,Oil,,
Hyogo,1989,1A1A,Coal,,
Hyogo,1989,1A1A,Natural gas,,
Hyogo,1989,1A1A,Oil,,
Hyogo,1989,1A1A1,Coal,,
Hyogo,1989,1A1A1,Natural gas,,
Hyogo,1989,1A1A1,Oil,,
Hyogo,1989,1A1A2,Coal,,
Hyogo,1989,1A1A2,Natural gas,,
Hyogo,1989,1A1A2,Oil,,
Hyogo,1989,1A1A3,Coal,,
Hyogo,1989,1A1A3,Natural gas,,
Hyogo,1989,1A1A3,Oil,,
Hyogo,1989,1A1B,Coal,,
Hyogo,1989,1A1B,Natural gas,,
Hyogo,1989,1A1B,Oil,,
Hyogo,1989,1A1C,Coal,,
Hyogo,1989,1A1C,Natural gas,,
Hyogo,1989,1A1C,Oil,,
Hyogo,1989,1A2,Coal,,
Hyogo,1989,1A2,Natural gas,,
Hyogo,1989,1A2,Oil,,
Hyogo,1989,1A2A,Coal,,
Hyogo,1989,1A2A,Natural gas,,
Hyogo,1989,1A2A,Oil,,
Hyogo,1989,1A2B,Coal,,
Hyogo,1989,1A2B,Natural gas,,
Hyogo,1989,1A2B,Oil,,
Hyogo,1989,1A2C,Coal,,
Hyogo,1989,1A2C,Natural gas,,
Hyogo,1989,1A2C,Oil,,
Hyogo,1989,1A2D,Coal,,
Hyogo,1989,1A2D,Natural gas,,
Hyogo,1989,1A2D,Oil,,
Hyogo,1989,1A2E,Coal,,
Hyogo,1989,1A2E,Natural gas,,
Hyogo,1989,1A2E,Oil,,
Hyogo,1989,1A2F,Coal,,
Hyogo,1989,1A2F,Natural gas,,
Hyogo,1989,1A2F,Oil,,
Hyogo,1989,1A2G,Coal,,
Hyogo,1989,1A2G,Natural gas,,
Hyogo,1989,1A2G,Oil,,
Hyogo,1989,1A2H,Coal,,
Hyogo,1989,1A2H,Natural gas,,
Hyogo,1989,1A2H,Oil,,
Hyogo,1989,1A2I,Coal,,
