jurisdiction,year,ipcc_code,Product,tax_ex_rate,tax_ex_rate_sources
Kyoto,1989,0,,,
Kyoto,1989,1,,,
Kyoto,1989,1A,Coal,,
Kyoto,1989,1A,Natural gas,,
Kyoto,1989,1A,Oil,,
Kyoto,1989,1A1,Coal,,
Kyoto,1989,1A1,Natural gas,,
Kyoto,1989,1A1,Oil,,
Kyoto,1989,1A1A,Coal,,
Kyoto,1989,1A1A,Natural gas,,
Kyoto,1989,1A1A,Oil,,
Kyoto,1989,1A1A1,Coal,,
Kyoto,1989,1A1A1,Natural gas,,
Kyoto,1989,1A1A1,Oil,,
Kyoto,1989,1A1A2,Coal,,
Kyoto,1989,1A1A2,Natural gas,,
Kyoto,1989,1A1A2,Oil,,
Kyoto,1989,1A1A3,Coal,,
Kyoto,1989,1A1A3,Natural gas,,
Kyoto,1989,1A1A3,Oil,,
Kyoto,1989,1A1B,Coal,,
Kyoto,1989,1A1B,Natural gas,,
Kyoto,1989,1A1B,Oil,,
Kyoto,1989,1A1C,Coal,,
Kyoto,1989,1A1C,Natural gas,,
Kyoto,1989,1A1C,Oil,,
Kyoto,1989,1A2,Coal,,
Kyoto,1989,1A2,Natural gas,,
Kyoto,1989,1A2,Oil,,
Kyoto,1989,1A2A,Coal,,
Kyoto,1989,1A2A,Natural gas,,
Kyoto,1989,1A2A,Oil,,
Kyoto,1989,1A2B,Coal,,
Kyoto,1989,1A2B,Natural gas,,
Kyoto,1989,1A2B,Oil,,
Kyoto,1989,1A2C,Coal,,
Kyoto,1989,1A2C,Natural gas,,
Kyoto,1989,1A2C,Oil,,
Kyoto,1989,1A2D,Coal,,
Kyoto,1989,1A2D,Natural gas,,
Kyoto,1989,1A2D,Oil,,
Kyoto,1989,1A2E,Coal,,
Kyoto,1989,1A2E,Natural gas,,
Kyoto,1989,1A2E,Oil,,
Kyoto,1989,1A2F,Coal,,
Kyoto,1989,1A2F,Natural gas,,
Kyoto,1989,1A2F,Oil,,
Kyoto,1989,1A2G,Coal,,
Kyoto,1989,1A2G,Natural gas,,
Kyoto,1989,1A2G,Oil,,
