jurisdiction,year,ipcc_code,Product,tax_ex_rate,tax_ex_rate_sources
Tokushima,1989,0,,,
Tokushima,1989,1,,,
Tokushima,1989,1A,Coal,,
Tokushima,1989,1A,Natural gas,,
Tokushima,1989,1A,Oil,,
Tokushima,1989,1A1,Coal,,
Tokushima,1989,1A1,Natural gas,,
Tokushima,1989,1A1,Oil,,
Tokushima,1989,1A1A,Coal,,
Tokushima,1989,1A1A,Natural gas,,
Tokushima,1989,1A1A,Oil,,
Tokushima,1989,1A1A1,Coal,,
Tokushima,1989,1A1A1,Natural gas,,
Tokushima,1989,1A1A1,Oil,,
Tokushima,1989,1A1A2,Coal,,
Tokushima,1989,1A1A2,Natural gas,,
Tokushima,1989,1A1A2,Oil,,
Tokushima,1989,1A1A3,Coal,,
Tokushima,1989,1A1A3,Natural gas,,
Tokushima,1989,1A1A3,Oil,,
Tokushima,1989,1A1B,Coal,,
Tokushima,1989,1A1B,Natural gas,,
Tokushima,1989,1A1B,Oil,,
Tokushima,1989,1A1C,Coal,,
Tokushima,1989,1A1C,Natural gas,,
Tokushima,1989,1A1C,Oil,,
Tokushima,1989,1A2,Coal,,
Tokushima,1989,1A2,Natural gas,,
Tokushima,1989,1A2,Oil,,
Tokushima,1989,1A2A,Coal,,
Tokushima,1989,1A2A,Natural gas,,
Tokushima,1989,1A2A,Oil,,
Tokushima,1989,1A2B,Coal,,
Tokushima,1989,1A2B,Natural gas,,
Tokushima,1989,1A2B,Oil,,
Tokushima,1989,1A2C,Coal,,
Tokushima,1989,1A2C,Natural gas,,
Tokushima,1989,1A2C,Oil,,
Tokushima,1989,1A2D,Coal,,
Tokushima,1989,1A2D,Natural gas,,
Tokushima,1989,1A2D,Oil,,
Tokushima,1989,1A2E,Coal,,
Tokushima,1989,1A2E,Natural gas,,
Tokushima,1989,1A2E,Oil,,
Tokushima,1989,1A2F,Coal,,
Tokushima,1989,1A2F,Natural gas,,
Tokushima,1989,1A2F,Oil,,
Tokushima,1989,1A2G,Coal,,
Tokushima,1989,1A2G,Natural gas,,
Tokushima,1989,1A2G,Oil,,
Tokushima,1989,1A2H,Coal,,
Tokushima,1989,1A2H,Natural gas,,
Tokushima,1989,1A2H,Oil,,
Tokushima,1989,1A2I,Coal,,
Tokushima,1989,1A2I,Natural gas,,
Tokushima,1989,1A2I,Oil,,
Tokushima,1989,1A2J,Coal,,
Tokushima,1989,1A2J,Natural gas,,
Tokushima,1989,1A2J,Oil,,
Tokushima,1989,1A2K,Coal,,
Tokushima,1989,1A2K,Natural gas,,
Tokushima,1989,1A2K,Oil,,
Tokushima,1989,1A2L,Coal,,
Tokushima,1989,1A2L,Natural gas,,
Tokushima,1989,1A2L,Oil,,
Tokushima,1989,1A2M,Coal,,
Tokushima,1989,1A2M,Natural gas,,
Tokushima,1989,1A2M,Oil,,
Tokushima,1989,1A3,Coal,,
Tokushima,1989,1A3,Natural gas,,
Tokushima,1989,1A3,Oil,,
Tokushima,1989,1A3A,Coal,,
Tokushima,1989,1A3A,Natural gas,,
Tokushima,1989,1A3A,Oil,,
Tokushima,1989,1A3A1,Coal,,
Tokushima,1989,1A3A1,Natural gas,,
Tokushima,1989,1A3A1,Oil,,
Tokushima,1989,1A3A2,Coal,,
Tokushima,1989,1A3A2,Natural gas,,
Tokushima,1989,1A3A2,Oil,,
Tokushima,1989,1A3B,Coal,,
Tokushima,1989,1A3B,Natural gas,,
Tokushima,1989,1A3B,Oil,,
Tokushima,1989,1A3C,Coal,,
Tokushima,1989,1A3C,Natural gas,,
Tokushima,1989,1A3C,Oil,,
Tokushima,1989,1A3D,Coal,,
Tokushima,1989,1A3D,Natural gas,,
Tokushima,1989,1A3D,Oil,,
Tokushima,1989,1A3D1,Coal,,
Tokushima,1989,1A3D1,Natural gas,,
Tokushima,1989,1A3D1,Oil,,
Tokushima,1989,1A3D2,Coal,,
Tokushima,1989,1A3D2,Natural gas,,
Tokushima,1989,1A3D2,Oil,,
Tokushima,1989,1A3E,Coal,,
Tokushima,1989,1A3E,Natural gas,,
Tokushima,1989,1A3E,Oil,,
Tokushima,1989,1A3E1,Coal,,
Tokushima,1989,1A3E1,Natural gas,,
Tokushima,1989,1A3E1,Oil,,
Tokushima,1989,1A4,Coal,,
Tokushima,1989,1A4,Natural gas,,
Tokushima,1989,1A4,Oil,,
Tokushima,1989,1A4A,Coal,,
Tokushima,1989,1A4A,Natural gas,,
Tokushima,1989,1A4A,Oil,,
Tokushima,1989,1A4B,Coal,,
Tokushima,1989,1A4B,Natural gas,,
Tokushima,1989,1A4B,Oil,,
Tokushima,1989,1A4C,Coal,,
Tokushima,1989,1A4C,Natural gas,,
Tokushima,1989,1A4C,Oil,,
Tokushima,1989,1A4C1,Coal,,
Tokushima,1989,1A4C1,Natural gas,,
Tokushima,1989,1A4C1,Oil,,
Tokushima,1989,1A4C2,Coal,,
Tokushima,1989,1A4C2,Natural gas,,
Tokushima,1989,1A4C2,Oil,,
Tokushima,1989,1A4C3,Coal,,
Tokushima,1989,1A4C3,Natural gas,,
Tokushima,1989,1A4C3,Oil,,
Tokushima,1989,1A5,Coal,,
Tokushima,1989,1A5,Natural gas,,
Tokushima,1989,1A5,Oil,,
Tokushima,1989,1A5A,Coal,,
Tokushima,1989,1A5A,Natural gas,,
Tokushima,1989,1A5A,Oil,,
Tokushima,1989,1A5B,Coal,,
Tokushima,1989,1A5B,Natural gas,,
Tokushima,1989,1A5B,Oil,,
Tokushima,1989,1A5C,Coal,,
Tokushima,1989,1A5C,Natural gas,,
Tokushima,1989,1A5C,Oil,,
Tokushima,1989,1B,,,
Tokushima,1989,1B1,,,
Tokushima,1989,1B1A,,,
Tokushima,1989,1B1A1,,,
Tokushima,1989,1B1A11,,,
Tokushima,1989,1B1A12,,,
Tokushima,1989,1B1A13,,,
Tokushima,1989,1B1A14,,,
Tokushima,1989,1B1A2,,,
Tokushima,1989,1B1A21,,,
Tokushima,1989,1B1A22,,,
Tokushima,1989,1B1B,,,
Tokushima,1989,1B2,,,
Tokushima,1989,1B2A,,,
Tokushima,1989,1B2A1,,,
Tokushima,1989,1B2A2,,,
Tokushima,1989,1B2A3,,,
Tokushima,1989,1B2A31,,,
Tokushima,1989,1B2A32,,,
Tokushima,1989,1B2A33,,,
Tokushima,1989,1B2A34,,,
Tokushima,1989,1B2A35,,,
Tokushima,1989,1B2A36,,,
Tokushima,1989,1B2B,,,
Tokushima,1989,1B2B1,,,
Tokushima,1989,1B2B2,,,
Tokushima,1989,1B2B3,,,
Tokushima,1989,1B2B31,,,
Tokushima,1989,1B2B32,,,
Tokushima,1989,1B2B33,,,
Tokushima,1989,1B2B34,,,
Tokushima,1989,1B2B35,,,
Tokushima,1989,1B2B36,,,
Tokushima,1989,1B3,,,
Tokushima,1989,1C,,,
Tokushima,1989,1C1,,,
Tokushima,1989,1C1A,,,
Tokushima,1989,1C1B,,,
Tokushima,1989,1C1C,,,
Tokushima,1989,1C2,,,
Tokushima,1989,1C2A,,,
Tokushima,1989,1C2B,,,
Tokushima,1989,1C3,,,
Tokushima,1989,2,,,
Tokushima,1989,20,,,
Tokushima,1989,200,,,
Tokushima,1989,2000,,,
Tokushima,1989,20000,,,
Tokushima,1989,200000,,,
Tokushima,1989,2A,,,
Tokushima,1989,2A1,,,
Tokushima,1989,2A2,,,
