jurisdiction,year,ipcc_code,Product,tax_ex_rate,tax_ex_rate_sources
Yamagata,1989,0,,,
Yamagata,1989,1,,,
Yamagata,1989,1A,Coal,,
Yamagata,1989,1A,Natural gas,,
Yamagata,1989,1A,Oil,,
Yamagata,1989,1A1,Coal,,
Yamagata,1989,1A1,Natural gas,,
Yamagata,1989,1A1,Oil,,
Yamagata,1989,1A1A,Coal,,
Yamagata,1989,1A1A,Natural gas,,
Yamagata,1989,1A1A,Oil,,
Yamagata,1989,1A1A1,Coal,,
Yamagata,1989,1A1A1,Natural gas,,
Yamagata,1989,1A1A1,Oil,,
Yamagata,1989,1A1A2,Coal,,
Yamagata,1989,1A1A2,Natural gas,,
Yamagata,1989,1A1A2,Oil,,
Yamagata,1989,1A1A3,Coal,,
Yamagata,1989,1A1A3,Natural gas,,
Yamagata,1989,1A1A3,Oil,,
Yamagata,1989,1A1B,Coal,,
Yamagata,1989,1A1B,Natural gas,,
Yamagata,1989,1A1B,Oil,,
Yamagata,1989,1A1C,Coal,,
Yamagata,1989,1A1C,Natural gas,,
Yamagata,1989,1A1C,Oil,,
Yamagata,1989,1A2,Coal,,
Yamagata,1989,1A2,Natural gas,,
Yamagata,1989,1A2,Oil,,
Yamagata,1989,1A2A,Coal,,
Yamagata,1989,1A2A,Natural gas,,
Yamagata,1989,1A2A,Oil,,
Yamagata,1989,1A2B,Coal,,
Yamagata,1989,1A2B,Natural gas,,
Yamagata,1989,1A2B,Oil,,
Yamagata,1989,1A2C,Coal,,
Yamagata,1989,1A2C,Natural gas,,
Yamagata,1989,1A2C,Oil,,
Yamagata,1989,1A2D,Coal,,
Yamagata,1989,1A2D,Natural gas,,
Yamagata,1989,1A2D,Oil,,
Yamagata,1989,1A2E,Coal,,
Yamagata,1989,1A2E,Natural gas,,
Yamagata,1989,1A2E,Oil,,
Yamagata,1989,1A2F,Coal,,
Yamagata,1989,1A2F,Natural gas,,
Yamagata,1989,1A2F,Oil,,
Yamagata,1989,1A2G,Coal,,
Yamagata,1989,1A2G,Natural gas,,
Yamagata,1989,1A2G,Oil,,
Yamagata,1989,1A2H,Coal,,
Yamagata,1989,1A2H,Natural gas,,
Yamagata,1989,1A2H,Oil,,
Yamagata,1989,1A2I,Coal,,
Yamagata,1989,1A2I,Natural gas,,
Yamagata,1989,1A2I,Oil,,
Yamagata,1989,1A2J,Coal,,
Yamagata,1989,1A2J,Natural gas,,
Yamagata,1989,1A2J,Oil,,
Yamagata,1989,1A2K,Coal,,
Yamagata,1989,1A2K,Natural gas,,
Yamagata,1989,1A2K,Oil,,
Yamagata,1989,1A2L,Coal,,
Yamagata,1989,1A2L,Natural gas,,
Yamagata,1989,1A2L,Oil,,
Yamagata,1989,1A2M,Coal,,
Yamagata,1989,1A2M,Natural gas,,
Yamagata,1989,1A2M,Oil,,
Yamagata,1989,1A3,Coal,,
Yamagata,1989,1A3,Natural gas,,
Yamagata,1989,1A3,Oil,,
Yamagata,1989,1A3A,Coal,,
Yamagata,1989,1A3A,Natural gas,,
Yamagata,1989,1A3A,Oil,,
Yamagata,1989,1A3A1,Coal,,
Yamagata,1989,1A3A1,Natural gas,,
Yamagata,1989,1A3A1,Oil,,
Yamagata,1989,1A3A2,Coal,,
Yamagata,1989,1A3A2,Natural gas,,
Yamagata,1989,1A3A2,Oil,,
Yamagata,1989,1A3B,Coal,,
Yamagata,1989,1A3B,Natural gas,,
Yamagata,1989,1A3B,Oil,,
Yamagata,1989,1A3C,Coal,,
Yamagata,1989,1A3C,Natural gas,,
Yamagata,1989,1A3C,Oil,,
Yamagata,1989,1A3D,Coal,,
Yamagata,1989,1A3D,Natural gas,,
Yamagata,1989,1A3D,Oil,,
Yamagata,1989,1A3D1,Coal,,
Yamagata,1989,1A3D1,Natural gas,,
Yamagata,1989,1A3D1,Oil,,
Yamagata,1989,1A3D2,Coal,,
Yamagata,1989,1A3D2,Natural gas,,
Yamagata,1989,1A3D2,Oil,,
Yamagata,1989,1A3E,Coal,,
Yamagata,1989,1A3E,Natural gas,,
Yamagata,1989,1A3E,Oil,,
Yamagata,1989,1A3E1,Coal,,
Yamagata,1989,1A3E1,Natural gas,,
Yamagata,1989,1A3E1,Oil,,
Yamagata,1989,1A4,Coal,,
Yamagata,1989,1A4,Natural gas,,
Yamagata,1989,1A4,Oil,,
Yamagata,1989,1A4A,Coal,,
Yamagata,1989,1A4A,Natural gas,,
Yamagata,1989,1A4A,Oil,,
Yamagata,1989,1A4B,Coal,,
Yamagata,1989,1A4B,Natural gas,,
Yamagata,1989,1A4B,Oil,,
Yamagata,1989,1A4C,Coal,,
Yamagata,1989,1A4C,Natural gas,,
Yamagata,1989,1A4C,Oil,,
Yamagata,1989,1A4C1,Coal,,
Yamagata,1989,1A4C1,Natural gas,,
Yamagata,1989,1A4C1,Oil,,
Yamagata,1989,1A4C2,Coal,,
Yamagata,1989,1A4C2,Natural gas,,
Yamagata,1989,1A4C2,Oil,,
Yamagata,1989,1A4C3,Coal,,
Yamagata,1989,1A4C3,Natural gas,,
Yamagata,1989,1A4C3,Oil,,
Yamagata,1989,1A5,Coal,,
Yamagata,1989,1A5,Natural gas,,
Yamagata,1989,1A5,Oil,,
Yamagata,1989,1A5A,Coal,,
Yamagata,1989,1A5A,Natural gas,,
Yamagata,1989,1A5A,Oil,,
Yamagata,1989,1A5B,Coal,,
Yamagata,1989,1A5B,Natural gas,,
Yamagata,1989,1A5B,Oil,,
Yamagata,1989,1A5C,Coal,,
Yamagata,1989,1A5C,Natural gas,,
Yamagata,1989,1A5C,Oil,,
Yamagata,1989,1B,,,
Yamagata,1989,1B1,,,
Yamagata,1989,1B1A,,,
Yamagata,1989,1B1A1,,,
Yamagata,1989,1B1A11,,,
Yamagata,1989,1B1A12,,,
Yamagata,1989,1B1A13,,,
Yamagata,1989,1B1A14,,,
Yamagata,1989,1B1A2,,,
Yamagata,1989,1B1A21,,,
Yamagata,1989,1B1A22,,,
Yamagata,1989,1B1B,,,
Yamagata,1989,1B2,,,
Yamagata,1989,1B2A,,,
Yamagata,1989,1B2A1,,,
Yamagata,1989,1B2A2,,,
Yamagata,1989,1B2A3,,,
Yamagata,1989,1B2A31,,,
Yamagata,1989,1B2A32,,,
Yamagata,1989,1B2A33,,,
Yamagata,1989,1B2A34,,,
Yamagata,1989,1B2A35,,,
Yamagata,1989,1B2A36,,,
Yamagata,1989,1B2B,,,
Yamagata,1989,1B2B1,,,
Yamagata,1989,1B2B2,,,
Yamagata,1989,1B2B3,,,
Yamagata,1989,1B2B31,,,
Yamagata,1989,1B2B32,,,
Yamagata,1989,1B2B33,,,
Yamagata,1989,1B2B34,,,
Yamagata,1989,1B2B35,,,
Yamagata,1989,1B2B36,,,
Yamagata,1989,1B3,,,
Yamagata,1989,1C,,,
Yamagata,1989,1C1,,,
Yamagata,1989,1C1A,,,
Yamagata,1989,1C1B,,,
Yamagata,1989,1C1C,,,
Yamagata,1989,1C2,,,
Yamagata,1989,1C2A,,,
Yamagata,1989,1C2B,,,
Yamagata,1989,1C3,,,
Yamagata,1989,2,,,
Yamagata,1989,20,,,
Yamagata,1989,200,,,
Yamagata,1989,2000,,,
Yamagata,1989,20000,,,
Yamagata,1989,200000,,,
Yamagata,1989,2A,,,
Yamagata,1989,2A1,,,
Yamagata,1989,2A2,,,
Yamagata,1989,2A3,,,
Yamagata,1989,2A4,,,
Yamagata,1989,2A4A,,,
Yamagata,1989,2A4B,,,
Yamagata,1989,2A4C,,,
Yamagata,1989,2A4D,,,
Yamagata,1989,2B,,,
Yamagata,1989,2B1,,,
Yamagata,1989,2B10,,,
Yamagata,1989,2B2,,,
Yamagata,1989,2B3,,,
Yamagata,1989,2B4,,,
Yamagata,1989,2B5,,,
Yamagata,1989,2B6,,,
Yamagata,1989,2B7,,,
Yamagata,1989,2B8,,,
Yamagata,1989,2B8A,,,
Yamagata,1989,2B8B,,,
Yamagata,1989,2B8C,,,
Yamagata,1989,2B8D,,,
Yamagata,1989,2B8E,,,
Yamagata,1989,2B8F,,,
Yamagata,1989,2B9,,,
Yamagata,1989,2B9A,,,
Yamagata,1989,2B9B,,,
Yamagata,1989,2C,,,
Yamagata,1989,2C1,,,
Yamagata,1989,2C2,,,
Yamagata,1989,2C3,,,
Yamagata,1989,2C4,,,
Yamagata,1989,2C5,,,
Yamagata,1989,2C6,,,
Yamagata,1989,2C7,,,
Yamagata,1989,2D,,,
Yamagata,1989,2D1,,,
Yamagata,1989,2D2,,,
Yamagata,1989,2D3,,,
Yamagata,1989,2D4,,,
Yamagata,1989,2E,,,
Yamagata,1989,2F,,,
Yamagata,1989,2F1,,,
Yamagata,1989,2F2,,,
Yamagata,1989,2F3,,,
Yamagata,1989,2F4,,,
Yamagata,1989,2F5,,,
Yamagata,1989,2F6,,,
Yamagata,1989,2G,,,
Yamagata,1989,2G1,,,
Yamagata,1989,2G2,,,
Yamagata,1989,2G3,,,
Yamagata,1989,2G4,,,
Yamagata,1989,2H,,,
Yamagata,1989,2H1,,,
Yamagata,1989,2H2,,,
Yamagata,1989,2H3,,,
Yamagata,1989,3,,,
Yamagata,1989,3A,,,
Yamagata,1989,3A1,,,
Yamagata,1989,3A2,,,
Yamagata,1989,3B,,,
Yamagata,1989,3B1,,,
Yamagata,1989,3B1A,,,
Yamagata,1989,3B1B,,,
Yamagata,1989,3B2,,,
Yamagata,1989,3B2A,,,
Yamagata,1989,3B2B,,,
Yamagata,1989,3B3,,,
Yamagata,1989,3B3A,,,
Yamagata,1989,3B3B,,,
Yamagata,1989,3B4,,,
Yamagata,1989,3B4A,,,
Yamagata,1989,3B4B,,,
Yamagata,1989,3B5,,,
Yamagata,1989,3B5A,,,
Yamagata,1989,3B5B,,,
Yamagata,1989,3B6,,,
Yamagata,1989,3B6A,,,
Yamagata,1989,3B6B,,,
Yamagata,1989,3B6B1,,,
Yamagata,1989,3B6B2,,,
Yamagata,1989,3B6B3,,,
Yamagata,1989,3B6B4,,,
Yamagata,1989,3B6B5,,,
Yamagata,1989,3C,,,
Yamagata,1989,3C1,,,
Yamagata,1989,3C2,,,
Yamagata,1989,3C3,,,
Yamagata,1989,3C4,,,
Yamagata,1989,3C5,,,
Yamagata,1989,3C6,,,
Yamagata,1989,3C7,,,
Yamagata,1989,3C8,,,
Yamagata,1989,3D,,,
Yamagata,1989,3D1,,,
Yamagata,1989,3D2,,,
Yamagata,1989,4,,,
Yamagata,1989,4A,,,
Yamagata,1989,4A1,,,
Yamagata,1989,4A2,,,
Yamagata,1989,4A3,,,
Yamagata,1989,4B,,,
Yamagata,1989,4C,,,
Yamagata,1989,4C1,,,
Yamagata,1989,4C2,,,
Yamagata,1989,4D,,,
Yamagata,1989,4D1,,,
Yamagata,1989,4D2,,,
Yamagata,1989,4E,,,
Yamagata,1989,5,,,
Yamagata,1989,5A,,,
Yamagata,1989,5A1,,,
Yamagata,1989,5A2,,,
Yamagata,1990,0,,,
Yamagata,1990,1,,,
Yamagata,1990,1A,Coal,,
Yamagata,1990,1A,Natural gas,,
Yamagata,1990,1A,Oil,,
Yamagata,1990,1A1,Coal,,
Yamagata,1990,1A1,Natural gas,,
Yamagata,1990,1A1,Oil,,
Yamagata,1990,1A1A,Coal,,
Yamagata,1990,1A1A,Natural gas,,
Yamagata,1990,1A1A,Oil,,
Yamagata,1990,1A1A1,Coal,,
Yamagata,1990,1A1A1,Natural gas,,
Yamagata,1990,1A1A1,Oil,,
Yamagata,1990,1A1A2,Coal,,
Yamagata,1990,1A1A2,Natural gas,,
Yamagata,1990,1A1A2,Oil,,
Yamagata,1990,1A1A3,Coal,,
Yamagata,1990,1A1A3,Natural gas,,
Yamagata,1990,1A1A3,Oil,,
Yamagata,1990,1A1B,Coal,,
Yamagata,1990,1A1B,Natural gas,,
Yamagata,1990,1A1B,Oil,,
Yamagata,1990,1A1C,Coal,,
Yamagata,1990,1A1C,Natural gas,,
Yamagata,1990,1A1C,Oil,,
Yamagata,1990,1A2,Coal,,
Yamagata,1990,1A2,Natural gas,,
Yamagata,1990,1A2,Oil,,
Yamagata,1990,1A2A,Coal,,
Yamagata,1990,1A2A,Natural gas,,
Yamagata,1990,1A2A,Oil,,
Yamagata,1990,1A2B,Coal,,
Yamagata,1990,1A2B,Natural gas,,
Yamagata,1990,1A2B,Oil,,
Yamagata,1990,1A2C,Coal,,
Yamagata,1990,1A2C,Natural gas,,
Yamagata,1990,1A2C,Oil,,
Yamagata,1990,1A2D,Coal,,
Yamagata,1990,1A2D,Natural gas,,
Yamagata,1990,1A2D,Oil,,
Yamagata,1990,1A2E,Coal,,
Yamagata,1990,1A2E,Natural gas,,
Yamagata,1990,1A2E,Oil,,
Yamagata,1990,1A2F,Coal,,
Yamagata,1990,1A2F,Natural gas,,
Yamagata,1990,1A2F,Oil,,
Yamagata,1990,1A2G,Coal,,
Yamagata,1990,1A2G,Natural gas,,
Yamagata,1990,1A2G,Oil,,
Yamagata,1990,1A2H,Coal,,
Yamagata,1990,1A2H,Natural gas,,
Yamagata,1990,1A2H,Oil,,
Yamagata,1990,1A2I,Coal,,
Yamagata,1990,1A2I,Natural gas,,
Yamagata,1990,1A2I,Oil,,
Yamagata,1990,1A2J,Coal,,
Yamagata,1990,1A2J,Natural gas,,
Yamagata,1990,1A2J,Oil,,
Yamagata,1990,1A2K,Coal,,
Yamagata,1990,1A2K,Natural gas,,
Yamagata,1990,1A2K,Oil,,
Yamagata,1990,1A2L,Coal,,
Yamagata,1990,1A2L,Natural gas,,
Yamagata,1990,1A2L,Oil,,
Yamagata,1990,1A2M,Coal,,
Yamagata,1990,1A2M,Natural gas,,
Yamagata,1990,1A2M,Oil,,
Yamagata,1990,1A3,Coal,,
Yamagata,1990,1A3,Natural gas,,
Yamagata,1990,1A3,Oil,,
Yamagata,1990,1A3A,Coal,,
Yamagata,1990,1A3A,Natural gas,,
Yamagata,1990,1A3A,Oil,,
Yamagata,1990,1A3A1,Coal,,
Yamagata,1990,1A3A1,Natural gas,,
Yamagata,1990,1A3A1,Oil,,
Yamagata,1990,1A3A2,Coal,,
Yamagata,1990,1A3A2,Natural gas,,
Yamagata,1990,1A3A2,Oil,,
Yamagata,1990,1A3B,Coal,,
Yamagata,1990,1A3B,Natural gas,,
Yamagata,1990,1A3B,Oil,,
Yamagata,1990,1A3C,Coal,,
Yamagata,1990,1A3C,Natural gas,,
Yamagata,1990,1A3C,Oil,,
Yamagata,1990,1A3D,Coal,,
Yamagata,1990,1A3D,Natural gas,,
Yamagata,1990,1A3D,Oil,,
Yamagata,1990,1A3D1,Coal,,
Yamagata,1990,1A3D1,Natural gas,,
Yamagata,1990,1A3D1,Oil,,
Yamagata,1990,1A3D2,Coal,,
Yamagata,1990,1A3D2,Natural gas,,
Yamagata,1990,1A3D2,Oil,,
Yamagata,1990,1A3E,Coal,,
Yamagata,1990,1A3E,Natural gas,,
Yamagata,1990,1A3E,Oil,,
Yamagata,1990,1A3E1,Coal,,
Yamagata,1990,1A3E1,Natural gas,,
Yamagata,1990,1A3E1,Oil,,
Yamagata,1990,1A4,Coal,,
Yamagata,1990,1A4,Natural gas,,
Yamagata,1990,1A4,Oil,,
Yamagata,1990,1A4A,Coal,,
Yamagata,1990,1A4A,Natural gas,,
Yamagata,1990,1A4A,Oil,,
Yamagata,1990,1A4B,Coal,,
Yamagata,1990,1A4B,Natural gas,,
Yamagata,1990,1A4B,Oil,,
Yamagata,1990,1A4C,Coal,,
Yamagata,1990,1A4C,Natural gas,,
Yamagata,1990,1A4C,Oil,,
Yamagata,1990,1A4C1,Coal,,
Yamagata,1990,1A4C1,Natural gas,,
Yamagata,1990,1A4C1,Oil,,
Yamagata,1990,1A4C2,Coal,,
Yamagata,1990,1A4C2,Natural gas,,
Yamagata,1990,1A4C2,Oil,,
Yamagata,1990,1A4C3,Coal,,
Yamagata,1990,1A4C3,Natural gas,,
Yamagata,1990,1A4C3,Oil,,
Yamagata,1990,1A5,Coal,,
Yamagata,1990,1A5,Natural gas,,
Yamagata,1990,1A5,Oil,,
Yamagata,1990,1A5A,Coal,,
Yamagata,1990,1A5A,Natural gas,,
Yamagata,1990,1A5A,Oil,,
Yamagata,1990,1A5B,Coal,,
Yamagata,1990,1A5B,Natural gas,,
Yamagata,1990,1A5B,Oil,,
Yamagata,1990,1A5C,Coal,,
Yamagata,1990,1A5C,Natural gas,,
Yamagata,1990,1A5C,Oil,,
Yamagata,1990,1B,,,
Yamagata,1990,1B1,,,
Yamagata,1990,1B1A,,,
Yamagata,1990,1B1A1,,,
Yamagata,1990,1B1A11,,,
Yamagata,1990,1B1A12,,,
Yamagata,1990,1B1A13,,,
Yamagata,1990,1B1A14,,,
Yamagata,1990,1B1A2,,,
Yamagata,1990,1B1A21,,,
Yamagata,1990,1B1A22,,,
Yamagata,1990,1B1B,,,
Yamagata,1990,1B2,,,
Yamagata,1990,1B2A,,,
Yamagata,1990,1B2A1,,,
Yamagata,1990,1B2A2,,,
Yamagata,1990,1B2A3,,,
Yamagata,1990,1B2A31,,,
Yamagata,1990,1B2A32,,,
Yamagata,1990,1B2A33,,,
Yamagata,1990,1B2A34,,,
Yamagata,1990,1B2A35,,,
Yamagata,1990,1B2A36,,,
Yamagata,1990,1B2B,,,
Yamagata,1990,1B2B1,,,
Yamagata,1990,1B2B2,,,
Yamagata,1990,1B2B3,,,
Yamagata,1990,1B2B31,,,
Yamagata,1990,1B2B32,,,
Yamagata,1990,1B2B33,,,
Yamagata,1990,1B2B34,,,
Yamagata,1990,1B2B35,,,
Yamagata,1990,1B2B36,,,
Yamagata,1990,1B3,,,
Yamagata,1990,1C,,,
Yamagata,1990,1C1,,,
Yamagata,1990,1C1A,,,
Yamagata,1990,1C1B,,,
Yamagata,1990,1C1C,,,
Yamagata,1990,1C2,,,
Yamagata,1990,1C2A,,,
Yamagata,1990,1C2B,,,
Yamagata,1990,1C3,,,
Yamagata,1990,2,,,
Yamagata,1990,20,,,
Yamagata,1990,200,,,
Yamagata,1990,2000,,,
Yamagata,1990,20000,,,
Yamagata,1990,200000,,,
Yamagata,1990,2A,,,
Yamagata,1990,2A1,,,
Yamagata,1990,2A2,,,
Yamagata,1990,2A3,,,
Yamagata,1990,2A4,,,
Yamagata,1990,2A4A,,,
Yamagata,1990,2A4B,,,
Yamagata,1990,2A4C,,,
Yamagata,1990,2A4D,,,
Yamagata,1990,2B,,,
Yamagata,1990,2B1,,,
Yamagata,1990,2B10,,,
Yamagata,1990,2B2,,,
Yamagata,1990,2B3,,,
Yamagata,1990,2B4,,,
Yamagata,1990,2B5,,,
Yamagata,1990,2B6,,,
Yamagata,1990,2B7,,,
Yamagata,1990,2B8,,,
Yamagata,1990,2B8A,,,
Yamagata,1990,2B8B,,,
Yamagata,1990,2B8C,,,
Yamagata,1990,2B8D,,,
Yamagata,1990,2B8E,,,
Yamagata,1990,2B8F,,,
Yamagata,1990,2B9,,,
Yamagata,1990,2B9A,,,
Yamagata,1990,2B9B,,,
Yamagata,1990,2C,,,
Yamagata,1990,2C1,,,
Yamagata,1990,2C2,,,
Yamagata,1990,2C3,,,
Yamagata,1990,2C4,,,
Yamagata,1990,2C5,,,
Yamagata,1990,2C6,,,
Yamagata,1990,2C7,,,
Yamagata,1990,2D,,,
Yamagata,1990,2D1,,,
Yamagata,1990,2D2,,,
Yamagata,1990,2D3,,,
Yamagata,1990,2D4,,,
Yamagata,1990,2E,,,
Yamagata,1990,2F,,,
Yamagata,1990,2F1,,,
Yamagata,1990,2F2,,,
Yamagata,1990,2F3,,,
Yamagata,1990,2F4,,,
Yamagata,1990,2F5,,,
Yamagata,1990,2F6,,,
Yamagata,1990,2G,,,
Yamagata,1990,2G1,,,
Yamagata,1990,2G2,,,
Yamagata,1990,2G3,,,
Yamagata,1990,2G4,,,
Yamagata,1990,2H,,,
Yamagata,1990,2H1,,,
Yamagata,1990,2H2,,,
Yamagata,1990,2H3,,,
Yamagata,1990,3,,,
Yamagata,1990,3A,,,
Yamagata,1990,3A1,,,
Yamagata,1990,3A2,,,
Yamagata,1990,3B,,,
Yamagata,1990,3B1,,,
Yamagata,1990,3B1A,,,
Yamagata,1990,3B1B,,,
Yamagata,1990,3B2,,,
Yamagata,1990,3B2A,,,
Yamagata,1990,3B2B,,,
Yamagata,1990,3B3,,,
Yamagata,1990,3B3A,,,
