jurisdiction,year,ipcc_code,Product,tax_ex_rate,tax_ex_rate_sources
Fukuoka,1989,0,,,
Fukuoka,1989,1,,,
Fukuoka,1989,1A,Coal,,
Fukuoka,1989,1A,Natural gas,,
Fukuoka,1989,1A,Oil,,
Fukuoka,1989,1A1,Coal,,
Fukuoka,1989,1A1,Natural gas,,
Fukuoka,1989,1A1,Oil,,
Fukuoka,1989,1A1A,Coal,,
Fukuoka,1989,1A1A,Natural gas,,
Fukuoka,1989,1A1A,Oil,,
Fukuoka,1989,1A1A1,Coal,,
Fukuoka,1989,1A1A1,Natural gas,,
Fukuoka,1989,1A1A1,Oil,,
Fukuoka,1989,1A1A2,Coal,,
Fukuoka,1989,1A1A2,Natural gas,,
Fukuoka,1989,1A1A2,Oil,,
Fukuoka,1989,1A1A3,Coal,,
Fukuoka,1989,1A1A3,Natural gas,,
Fukuoka,1989,1A1A3,Oil,,
Fukuoka,1989,1A1B,Coal,,
Fukuoka,1989,1A1B,Natural gas,,
Fukuoka,1989,1A1B,Oil,,
Fukuoka,1989,1A1C,Coal,,
Fukuoka,1989,1A1C,Natural gas,,
Fukuoka,1989,1A1C,Oil,,
Fukuoka,1989,1A2,Coal,,
Fukuoka,1989,1A2,Natural gas,,
Fukuoka,1989,1A2,Oil,,
Fukuoka,1989,1A2A,Coal,,
Fukuoka,1989,1A2A,Natural gas,,
Fukuoka,1989,1A2A,Oil,,
Fukuoka,1989,1A2B,Coal,,
Fukuoka,1989,1A2B,Natural gas,,
Fukuoka,1989,1A2B,Oil,,
Fukuoka,1989,1A2C,Coal,,
Fukuoka,1989,1A2C,Natural gas,,
Fukuoka,1989,1A2C,Oil,,
Fukuoka,1989,1A2D,Coal,,
Fukuoka,1989,1A2D,Natural gas,,
Fukuoka,1989,1A2D,Oil,,
Fukuoka,1989,1A2E,Coal,,
Fukuoka,1989,1A2E,Natural gas,,
Fukuoka,1989,1A2E,Oil,,
Fukuoka,1989,1A2F,Coal,,
Fukuoka,1989,1A2F,Natural gas,,
Fukuoka,1989,1A2F,Oil,,
Fukuoka,1989,1A2G,Coal,,
Fukuoka,1989,1A2G,Natural gas,,
Fukuoka,1989,1A2G,Oil,,
Fukuoka,1989,1A2H,Coal,,
Fukuoka,1989,1A2H,Natural gas,,
Fukuoka,1989,1A2H,Oil,,
Fukuoka,1989,1A2I,Coal,,
Fukuoka,1989,1A2I,Natural gas,,
Fukuoka,1989,1A2I,Oil,,
Fukuoka,1989,1A2J,Coal,,
Fukuoka,1989,1A2J,Natural gas,,
Fukuoka,1989,1A2J,Oil,,
Fukuoka,1989,1A2K,Coal,,
Fukuoka,1989,1A2K,Natural gas,,
Fukuoka,1989,1A2K,Oil,,
Fukuoka,1989,1A2L,Coal,,
Fukuoka,1989,1A2L,Natural gas,,
Fukuoka,1989,1A2L,Oil,,
Fukuoka,1989,1A2M,Coal,,
Fukuoka,1989,1A2M,Natural gas,,
Fukuoka,1989,1A2M,Oil,,
Fukuoka,1989,1A3,Coal,,
Fukuoka,1989,1A3,Natural gas,,
Fukuoka,1989,1A3,Oil,,
Fukuoka,1989,1A3A,Coal,,
Fukuoka,1989,1A3A,Natural gas,,
Fukuoka,1989,1A3A,Oil,,
Fukuoka,1989,1A3A1,Coal,,
Fukuoka,1989,1A3A1,Natural gas,,
Fukuoka,1989,1A3A1,Oil,,
Fukuoka,1989,1A3A2,Coal,,
Fukuoka,1989,1A3A2,Natural gas,,
Fukuoka,1989,1A3A2,Oil,,
Fukuoka,1989,1A3B,Coal,,
Fukuoka,1989,1A3B,Natural gas,,
Fukuoka,1989,1A3B,Oil,,
Fukuoka,1989,1A3C,Coal,,
Fukuoka,1989,1A3C,Natural gas,,
Fukuoka,1989,1A3C,Oil,,
Fukuoka,1989,1A3D,Coal,,
Fukuoka,1989,1A3D,Natural gas,,
Fukuoka,1989,1A3D,Oil,,
Fukuoka,1989,1A3D1,Coal,,
Fukuoka,1989,1A3D1,Natural gas,,
Fukuoka,1989,1A3D1,Oil,,
Fukuoka,1989,1A3D2,Coal,,
Fukuoka,1989,1A3D2,Natural gas,,
Fukuoka,1989,1A3D2,Oil,,
Fukuoka,1989,1A3E,Coal,,
Fukuoka,1989,1A3E,Natural gas,,
Fukuoka,1989,1A3E,Oil,,
Fukuoka,1989,1A3E1,Coal,,
Fukuoka,1989,1A3E1,Natural gas,,
Fukuoka,1989,1A3E1,Oil,,
Fukuoka,1989,1A4,Coal,,
Fukuoka,1989,1A4,Natural gas,,
Fukuoka,1989,1A4,Oil,,
Fukuoka,1989,1A4A,Coal,,
Fukuoka,1989,1A4A,Natural gas,,
Fukuoka,1989,1A4A,Oil,,
Fukuoka,1989,1A4B,Coal,,
Fukuoka,1989,1A4B,Natural gas,,
Fukuoka,1989,1A4B,Oil,,
Fukuoka,1989,1A4C,Coal,,
Fukuoka,1989,1A4C,Natural gas,,
Fukuoka,1989,1A4C,Oil,,
Fukuoka,1989,1A4C1,Coal,,
Fukuoka,1989,1A4C1,Natural gas,,
Fukuoka,1989,1A4C1,Oil,,
Fukuoka,1989,1A4C2,Coal,,
Fukuoka,1989,1A4C2,Natural gas,,
Fukuoka,1989,1A4C2,Oil,,
Fukuoka,1989,1A4C3,Coal,,
Fukuoka,1989,1A4C3,Natural gas,,
Fukuoka,1989,1A4C3,Oil,,
Fukuoka,1989,1A5,Coal,,
Fukuoka,1989,1A5,Natural gas,,
Fukuoka,1989,1A5,Oil,,
Fukuoka,1989,1A5A,Coal,,
Fukuoka,1989,1A5A,Natural gas,,
Fukuoka,1989,1A5A,Oil,,
Fukuoka,1989,1A5B,Coal,,
Fukuoka,1989,1A5B,Natural gas,,
Fukuoka,1989,1A5B,Oil,,
Fukuoka,1989,1A5C,Coal,,
Fukuoka,1989,1A5C,Natural gas,,
Fukuoka,1989,1A5C,Oil,,
Fukuoka,1989,1B,,,
Fukuoka,1989,1B1,,,
Fukuoka,1989,1B1A,,,
Fukuoka,1989,1B1A1,,,
Fukuoka,1989,1B1A11,,,
Fukuoka,1989,1B1A12,,,
Fukuoka,1989,1B1A13,,,
Fukuoka,1989,1B1A14,,,
Fukuoka,1989,1B1A2,,,
Fukuoka,1989,1B1A21,,,
Fukuoka,1989,1B1A22,,,
Fukuoka,1989,1B1B,,,
Fukuoka,1989,1B2,,,
Fukuoka,1989,1B2A,,,
Fukuoka,1989,1B2A1,,,
Fukuoka,1989,1B2A2,,,
Fukuoka,1989,1B2A3,,,
Fukuoka,1989,1B2A31,,,
Fukuoka,1989,1B2A32,,,
Fukuoka,1989,1B2A33,,,
Fukuoka,1989,1B2A34,,,
Fukuoka,1989,1B2A35,,,
Fukuoka,1989,1B2A36,,,
Fukuoka,1989,1B2B,,,
Fukuoka,1989,1B2B1,,,
Fukuoka,1989,1B2B2,,,
Fukuoka,1989,1B2B3,,,
Fukuoka,1989,1B2B31,,,
Fukuoka,1989,1B2B32,,,
Fukuoka,1989,1B2B33,,,
Fukuoka,1989,1B2B34,,,
Fukuoka,1989,1B2B35,,,
Fukuoka,1989,1B2B36,,,
Fukuoka,1989,1B3,,,
Fukuoka,1989,1C,,,
Fukuoka,1989,1C1,,,
Fukuoka,1989,1C1A,,,
Fukuoka,1989,1C1B,,,
Fukuoka,1989,1C1C,,,
Fukuoka,1989,1C2,,,
Fukuoka,1989,1C2A,,,
Fukuoka,1989,1C2B,,,
Fukuoka,1989,1C3,,,
Fukuoka,1989,2,,,
Fukuoka,1989,20,,,
Fukuoka,1989,200,,,
Fukuoka,1989,2000,,,
Fukuoka,1989,20000,,,
Fukuoka,1989,200000,,,
Fukuoka,1989,2A,,,
Fukuoka,1989,2A1,,,
Fukuoka,1989,2A2,,,
Fukuoka,1989,2A3,,,
Fukuoka,1989,2A4,,,
Fukuoka,1989,2A4A,,,
Fukuoka,1989,2A4B,,,
Fukuoka,1989,2A4C,,,
Fukuoka,1989,2A4D,,,
Fukuoka,1989,2B,,,
Fukuoka,1989,2B1,,,
Fukuoka,1989,2B10,,,
Fukuoka,1989,2B2,,,
Fukuoka,1989,2B3,,,
Fukuoka,1989,2B4,,,
Fukuoka,1989,2B5,,,
Fukuoka,1989,2B6,,,
Fukuoka,1989,2B7,,,
Fukuoka,1989,2B8,,,
Fukuoka,1989,2B8A,,,
Fukuoka,1989,2B8B,,,
Fukuoka,1989,2B8C,,,
Fukuoka,1989,2B8D,,,
Fukuoka,1989,2B8E,,,
Fukuoka,1989,2B8F,,,
Fukuoka,1989,2B9,,,
Fukuoka,1989,2B9A,,,
Fukuoka,1989,2B9B,,,
Fukuoka,1989,2C,,,
Fukuoka,1989,2C1,,,
Fukuoka,1989,2C2,,,
Fukuoka,1989,2C3,,,
Fukuoka,1989,2C4,,,
Fukuoka,1989,2C5,,,
Fukuoka,1989,2C6,,,
Fukuoka,1989,2C7,,,
Fukuoka,1989,2D,,,
Fukuoka,1989,2D1,,,
Fukuoka,1989,2D2,,,
Fukuoka,1989,2D3,,,
Fukuoka,1989,2D4,,,
Fukuoka,1989,2E,,,
