jurisdiction,year,ipcc_code,Product,tax_ex_rate,tax_ex_rate_sources
Morelos,1989,0,,,
Morelos,1989,1,,,
Morelos,1989,1A,Coal,,
Morelos,1989,1A,Natural gas,,
Morelos,1989,1A,Oil,,
Morelos,1989,1A1,Coal,,
Morelos,1989,1A1,Natural gas,,
Morelos,1989,1A1,Oil,,
Morelos,1989,1A1A,Coal,,
Morelos,1989,1A1A,Natural gas,,
Morelos,1989,1A1A,Oil,,
Morelos,1989,1A1A1,Coal,,
Morelos,1989,1A1A1,Natural gas,,
Morelos,1989,1A1A1,Oil,,
Morelos,1989,1A1A2,Coal,,
Morelos,1989,1A1A2,Natural gas,,
Morelos,1989,1A1A2,Oil,,
Morelos,1989,1A1A3,Coal,,
Morelos,1989,1A1A3,Natural gas,,
Morelos,1989,1A1A3,Oil,,
Morelos,1989,1A1B,Coal,,
Morelos,1989,1A1B,Natural gas,,
Morelos,1989,1A1B,Oil,,
Morelos,1989,1A1C,Coal,,
Morelos,1989,1A1C,Natural gas,,
Morelos,1989,1A1C,Oil,,
Morelos,1989,1A2,Coal,,
Morelos,1989,1A2,Natural gas,,
Morelos,1989,1A2,Oil,,
Morelos,1989,1A2A,Coal,,
Morelos,1989,1A2A,Natural gas,,
Morelos,1989,1A2A,Oil,,
Morelos,1989,1A2B,Coal,,
Morelos,1989,1A2B,Natural gas,,
Morelos,1989,1A2B,Oil,,
Morelos,1989,1A2C,Coal,,
Morelos,1989,1A2C,Natural gas,,
Morelos,1989,1A2C,Oil,,
Morelos,1989,1A2D,Coal,,
Morelos,1989,1A2D,Natural gas,,
Morelos,1989,1A2D,Oil,,
Morelos,1989,1A2E,Coal,,
Morelos,1989,1A2E,Natural gas,,
Morelos,1989,1A2E,Oil,,
Morelos,1989,1A2F,Coal,,
Morelos,1989,1A2F,Natural gas,,
Morelos,1989,1A2F,Oil,,
Morelos,1989,1A2G,Coal,,
Morelos,1989,1A2G,Natural gas,,
Morelos,1989,1A2G,Oil,,
Morelos,1989,1A2H,Coal,,
Morelos,1989,1A2H,Natural gas,,
Morelos,1989,1A2H,Oil,,
Morelos,1989,1A2I,Coal,,
Morelos,1989,1A2I,Natural gas,,
Morelos,1989,1A2I,Oil,,
Morelos,1989,1A2J,Coal,,
Morelos,1989,1A2J,Natural gas,,
Morelos,1989,1A2J,Oil,,
Morelos,1989,1A2K,Coal,,
Morelos,1989,1A2K,Natural gas,,
Morelos,1989,1A2K,Oil,,
Morelos,1989,1A2L,Coal,,
Morelos,1989,1A2L,Natural gas,,
Morelos,1989,1A2L,Oil,,
Morelos,1989,1A2M,Coal,,
Morelos,1989,1A2M,Natural gas,,
Morelos,1989,1A2M,Oil,,
Morelos,1989,1A3,Coal,,
Morelos,1989,1A3,Natural gas,,
Morelos,1989,1A3,Oil,,
Morelos,1989,1A3A,Coal,,
Morelos,1989,1A3A,Natural gas,,
Morelos,1989,1A3A,Oil,,
Morelos,1989,1A3A1,Coal,,
Morelos,1989,1A3A1,Natural gas,,
Morelos,1989,1A3A1,Oil,,
Morelos,1989,1A3A2,Coal,,
Morelos,1989,1A3A2,Natural gas,,
Morelos,1989,1A3A2,Oil,,
Morelos,1989,1A3B,Coal,,
