jurisdiction,year,ipcc_code,Product,tax_ex_rate,tax_ex_rate_sources
Nayarit,1989,0,,,
Nayarit,1989,1,,,
Nayarit,1989,1A,Coal,,
Nayarit,1989,1A,Natural gas,,
Nayarit,1989,1A,Oil,,
Nayarit,1989,1A1,Coal,,
Nayarit,1989,1A1,Natural gas,,
Nayarit,1989,1A1,Oil,,
Nayarit,1989,1A1A,Coal,,
Nayarit,1989,1A1A,Natural gas,,
Nayarit,1989,1A1A,Oil,,
Nayarit,1989,1A1A1,Coal,,
Nayarit,1989,1A1A1,Natural gas,,
Nayarit,1989,1A1A1,Oil,,
Nayarit,1989,1A1A2,Coal,,
Nayarit,1989,1A1A2,Natural gas,,
Nayarit,1989,1A1A2,Oil,,
Nayarit,1989,1A1A3,Coal,,
Nayarit,1989,1A1A3,Natural gas,,
Nayarit,1989,1A1A3,Oil,,
Nayarit,1989,1A1B,Coal,,
Nayarit,1989,1A1B,Natural gas,,
Nayarit,1989,1A1B,Oil,,
Nayarit,1989,1A1C,Coal,,
Nayarit,1989,1A1C,Natural gas,,
Nayarit,1989,1A1C,Oil,,
Nayarit,1989,1A2,Coal,,
Nayarit,1989,1A2,Natural gas,,
Nayarit,1989,1A2,Oil,,
Nayarit,1989,1A2A,Coal,,
Nayarit,1989,1A2A,Natural gas,,
Nayarit,1989,1A2A,Oil,,
Nayarit,1989,1A2B,Coal,,
Nayarit,1989,1A2B,Natural gas,,
Nayarit,1989,1A2B,Oil,,
Nayarit,1989,1A2C,Coal,,
Nayarit,1989,1A2C,Natural gas,,
Nayarit,1989,1A2C,Oil,,
Nayarit,1989,1A2D,Coal,,
Nayarit,1989,1A2D,Natural gas,,
Nayarit,1989,1A2D,Oil,,
Nayarit,1989,1A2E,Coal,,
Nayarit,1989,1A2E,Natural gas,,
Nayarit,1989,1A2E,Oil,,
Nayarit,1989,1A2F,Coal,,
Nayarit,1989,1A2F,Natural gas,,
Nayarit,1989,1A2F,Oil,,
Nayarit,1989,1A2G,Coal,,
Nayarit,1989,1A2G,Natural gas,,
Nayarit,1989,1A2G,Oil,,
Nayarit,1989,1A2H,Coal,,
Nayarit,1989,1A2H,Natural gas,,
Nayarit,1989,1A2H,Oil,,
Nayarit,1989,1A2I,Coal,,
