jurisdiction,year,ipcc_code,Product,tax_ex_rate,tax_ex_rate_sources
Oita,1989,0,,,
Oita,1989,1,,,
Oita,1989,1A,Coal,,
Oita,1989,1A,Natural gas,,
Oita,1989,1A,Oil,,
Oita,1989,1A1,Coal,,
Oita,1989,1A1,Natural gas,,
Oita,1989,1A1,Oil,,
Oita,1989,1A1A,Coal,,
Oita,1989,1A1A,Natural gas,,
Oita,1989,1A1A,Oil,,
Oita,1989,1A1A1,Coal,,
Oita,1989,1A1A1,Natural gas,,
Oita,1989,1A1A1,Oil,,
Oita,1989,1A1A2,Coal,,
Oita,1989,1A1A2,Natural gas,,
Oita,1989,1A1A2,Oil,,
Oita,1989,1A1A3,Coal,,
Oita,1989,1A1A3,Natural gas,,
Oita,1989,1A1A3,Oil,,
Oita,1989,1A1B,Coal,,
Oita,1989,1A1B,Natural gas,,
Oita,1989,1A1B,Oil,,
Oita,1989,1A1C,Coal,,
Oita,1989,1A1C,Natural gas,,
Oita,1989,1A1C,Oil,,
Oita,1989,1A2,Coal,,
Oita,1989,1A2,Natural gas,,
Oita,1989,1A2,Oil,,
Oita,1989,1A2A,Coal,,
Oita,1989,1A2A,Natural gas,,
Oita,1989,1A2A,Oil,,
Oita,1989,1A2B,Coal,,
Oita,1989,1A2B,Natural gas,,
Oita,1989,1A2B,Oil,,
Oita,1989,1A2C,Coal,,
Oita,1989,1A2C,Natural gas,,
Oita,1989,1A2C,Oil,,
Oita,1989,1A2D,Coal,,
Oita,1989,1A2D,Natural gas,,
Oita,1989,1A2D,Oil,,
Oita,1989,1A2E,Coal,,
Oita,1989,1A2E,Natural gas,,
Oita,1989,1A2E,Oil,,
Oita,1989,1A2F,Coal,,
Oita,1989,1A2F,Natural gas,,
Oita,1989,1A2F,Oil,,
Oita,1989,1A2G,Coal,,
Oita,1989,1A2G,Natural gas,,
Oita,1989,1A2G,Oil,,
Oita,1989,1A2H,Coal,,
Oita,1989,1A2H,Natural gas,,
Oita,1989,1A2H,Oil,,
Oita,1989,1A2I,Coal,,
Oita,1989,1A2I,Natural gas,,
Oita,1989,1A2I,Oil,,
Oita,1989,1A2J,Coal,,
Oita,1989,1A2J,Natural gas,,
Oita,1989,1A2J,Oil,,
Oita,1989,1A2K,Coal,,
Oita,1989,1A2K,Natural gas,,
Oita,1989,1A2K,Oil,,
Oita,1989,1A2L,Coal,,
Oita,1989,1A2L,Natural gas,,
Oita,1989,1A2L,Oil,,
Oita,1989,1A2M,Coal,,
Oita,1989,1A2M,Natural gas,,
Oita,1989,1A2M,Oil,,
Oita,1989,1A3,Coal,,
Oita,1989,1A3,Natural gas,,
Oita,1989,1A3,Oil,,
Oita,1989,1A3A,Coal,,
Oita,1989,1A3A,Natural gas,,
Oita,1989,1A3A,Oil,,
Oita,1989,1A3A1,Coal,,
Oita,1989,1A3A1,Natural gas,,
Oita,1989,1A3A1,Oil,,
Oita,1989,1A3A2,Coal,,
Oita,1989,1A3A2,Natural gas,,
Oita,1989,1A3A2,Oil,,
Oita,1989,1A3B,Coal,,
Oita,1989,1A3B,Natural gas,,
Oita,1989,1A3B,Oil,,
Oita,1989,1A3C,Coal,,
Oita,1989,1A3C,Natural gas,,
Oita,1989,1A3C,Oil,,
Oita,1989,1A3D,Coal,,
Oita,1989,1A3D,Natural gas,,
Oita,1989,1A3D,Oil,,
Oita,1989,1A3D1,Coal,,
Oita,1989,1A3D1,Natural gas,,
Oita,1989,1A3D1,Oil,,
Oita,1989,1A3D2,Coal,,
Oita,1989,1A3D2,Natural gas,,
Oita,1989,1A3D2,Oil,,
Oita,1989,1A3E,Coal,,
Oita,1989,1A3E,Natural gas,,
Oita,1989,1A3E,Oil,,
Oita,1989,1A3E1,Coal,,
Oita,1989,1A3E1,Natural gas,,
Oita,1989,1A3E1,Oil,,
Oita,1989,1A4,Coal,,
Oita,1989,1A4,Natural gas,,
Oita,1989,1A4,Oil,,
Oita,1989,1A4A,Coal,,
Oita,1989,1A4A,Natural gas,,
Oita,1989,1A4A,Oil,,
Oita,1989,1A4B,Coal,,
Oita,1989,1A4B,Natural gas,,
Oita,1989,1A4B,Oil,,
Oita,1989,1A4C,Coal,,
Oita,1989,1A4C,Natural gas,,
Oita,1989,1A4C,Oil,,
Oita,1989,1A4C1,Coal,,
Oita,1989,1A4C1,Natural gas,,
Oita,1989,1A4C1,Oil,,
Oita,1989,1A4C2,Coal,,
Oita,1989,1A4C2,Natural gas,,
Oita,1989,1A4C2,Oil,,
Oita,1989,1A4C3,Coal,,
Oita,1989,1A4C3,Natural gas,,
Oita,1989,1A4C3,Oil,,
Oita,1989,1A5,Coal,,
Oita,1989,1A5,Natural gas,,
Oita,1989,1A5,Oil,,
Oita,1989,1A5A,Coal,,
Oita,1989,1A5A,Natural gas,,
Oita,1989,1A5A,Oil,,
Oita,1989,1A5B,Coal,,
Oita,1989,1A5B,Natural gas,,
Oita,1989,1A5B,Oil,,
Oita,1989,1A5C,Coal,,
