jurisdiction,year,ipcc_code,Product,tax_ex_rate,tax_ex_rate_sources
Osaka,1989,0,,,
Osaka,1989,1,,,
Osaka,1989,1A,Coal,,
Osaka,1989,1A,Natural gas,,
Osaka,1989,1A,Oil,,
Osaka,1989,1A1,Coal,,
Osaka,1989,1A1,Natural gas,,
Osaka,1989,1A1,Oil,,
Osaka,1989,1A1A,Coal,,
Osaka,1989,1A1A,Natural gas,,
Osaka,1989,1A1A,Oil,,
Osaka,1989,1A1A1,Coal,,
Osaka,1989,1A1A1,Natural gas,,
Osaka,1989,1A1A1,Oil,,
Osaka,1989,1A1A2,Coal,,
Osaka,1989,1A1A2,Natural gas,,
Osaka,1989,1A1A2,Oil,,
Osaka,1989,1A1A3,Coal,,
Osaka,1989,1A1A3,Natural gas,,
Osaka,1989,1A1A3,Oil,,
Osaka,1989,1A1B,Coal,,
Osaka,1989,1A1B,Natural gas,,
Osaka,1989,1A1B,Oil,,
Osaka,1989,1A1C,Coal,,
Osaka,1989,1A1C,Natural gas,,
Osaka,1989,1A1C,Oil,,
Osaka,1989,1A2,Coal,,
Osaka,1989,1A2,Natural gas,,
Osaka,1989,1A2,Oil,,
Osaka,1989,1A2A,Coal,,
Osaka,1989,1A2A,Natural gas,,
Osaka,1989,1A2A,Oil,,
Osaka,1989,1A2B,Coal,,
Osaka,1989,1A2B,Natural gas,,
Osaka,1989,1A2B,Oil,,
Osaka,1989,1A2C,Coal,,
Osaka,1989,1A2C,Natural gas,,
Osaka,1989,1A2C,Oil,,
Osaka,1989,1A2D,Coal,,
Osaka,1989,1A2D,Natural gas,,
Osaka,1989,1A2D,Oil,,
Osaka,1989,1A2E,Coal,,
Osaka,1989,1A2E,Natural gas,,
Osaka,1989,1A2E,Oil,,
Osaka,1989,1A2F,Coal,,
Osaka,1989,1A2F,Natural gas,,
Osaka,1989,1A2F,Oil,,
Osaka,1989,1A2G,Coal,,
Osaka,1989,1A2G,Natural gas,,
Osaka,1989,1A2G,Oil,,
Osaka,1989,1A2H,Coal,,
Osaka,1989,1A2H,Natural gas,,
Osaka,1989,1A2H,Oil,,
Osaka,1989,1A2I,Coal,,
Osaka,1989,1A2I,Natural gas,,
Osaka,1989,1A2I,Oil,,
Osaka,1989,1A2J,Coal,,
Osaka,1989,1A2J,Natural gas,,
Osaka,1989,1A2J,Oil,,
Osaka,1989,1A2K,Coal,,
Osaka,1989,1A2K,Natural gas,,
Osaka,1989,1A2K,Oil,,
Osaka,1989,1A2L,Coal,,
Osaka,1989,1A2L,Natural gas,,
Osaka,1989,1A2L,Oil,,
Osaka,1989,1A2M,Coal,,
Osaka,1989,1A2M,Natural gas,,
Osaka,1989,1A2M,Oil,,
Osaka,1989,1A3,Coal,,
Osaka,1989,1A3,Natural gas,,
Osaka,1989,1A3,Oil,,
Osaka,1989,1A3A,Coal,,
Osaka,1989,1A3A,Natural gas,,
