Jurisdiction,Year,IPCC_cat_code,Product,tax_dummy,ets_dummy,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Colorado,1989,0,,,,,,
Colorado,1989,1,,,,,,
Colorado,1989,1A,Coal/peat,,,,,
Colorado,1989,1A,Natural gas,,,,,
Colorado,1989,1A,Oil,,,,,
Colorado,1989,1A1,Coal/peat,,,,,
Colorado,1989,1A1,Natural gas,,,,,
Colorado,1989,1A1,Oil,,,,,
Colorado,1989,1A1A,Coal/peat,,,,,
Colorado,1989,1A1A,Natural gas,,,,,
Colorado,1989,1A1A,Oil,,,,,
Colorado,1989,1A1A1,Coal/peat,,,,,
Colorado,1989,1A1A1,Natural gas,,,,,
Colorado,1989,1A1A1,Oil,,,,,
Colorado,1989,1A1A2,Coal/peat,,,,,
Colorado,1989,1A1A2,Natural gas,,,,,
Colorado,1989,1A1A2,Oil,,,,,
Colorado,1989,1A1A3,Coal/peat,,,,,
Colorado,1989,1A1A3,Natural gas,,,,,
Colorado,1989,1A1A3,Oil,,,,,
Colorado,1989,1A1B,Coal/peat,,,,,
Colorado,1989,1A1B,Natural gas,,,,,
Colorado,1989,1A1B,Oil,,,,,
Colorado,1989,1A1C,Coal/peat,,,,,
Colorado,1989,1A1C,Natural gas,,,,,
Colorado,1989,1A1C,Oil,,,,,
Colorado,1989,1A2,Coal/peat,,,,,
Colorado,1989,1A2,Natural gas,,,,,
Colorado,1989,1A2,Oil,,,,,
Colorado,1989,1A2A,Coal/peat,,,,,
Colorado,1989,1A2A,Natural gas,,,,,
Colorado,1989,1A2A,Oil,,,,,
Colorado,1989,1A2B,Coal/peat,,,,,
Colorado,1989,1A2B,Natural gas,,,,,
Colorado,1989,1A2B,Oil,,,,,
Colorado,1989,1A2C,Coal/peat,,,,,
Colorado,1989,1A2C,Natural gas,,,,,
Colorado,1989,1A2C,Oil,,,,,
Colorado,1989,1A2D,Coal/peat,,,,,
Colorado,1989,1A2D,Natural gas,,,,,
Colorado,1989,1A2D,Oil,,,,,
Colorado,1989,1A2E,Coal/peat,,,,,
Colorado,1989,1A2E,Natural gas,,,,,
Colorado,1989,1A2E,Oil,,,,,
Colorado,1989,1A2F,Coal/peat,,,,,
Colorado,1989,1A2F,Natural gas,,,,,
Colorado,1989,1A2F,Oil,,,,,
Colorado,1989,1A2G,Coal/peat,,,,,
Colorado,1989,1A2G,Natural gas,,,,,
Colorado,1989,1A2G,Oil,,,,,
Colorado,1989,1A2H,Coal/peat,,,,,
Colorado,1989,1A2H,Natural gas,,,,,
Colorado,1989,1A2H,Oil,,,,,
Colorado,1989,1A2I,Coal/peat,,,,,
Colorado,1989,1A2I,Natural gas,,,,,
Colorado,1989,1A2I,Oil,,,,,
Colorado,1989,1A2J,Coal/peat,,,,,
Colorado,1989,1A2J,Natural gas,,,,,
Colorado,1989,1A2J,Oil,,,,,
Colorado,1989,1A2K,Coal/peat,,,,,
Colorado,1989,1A2K,Natural gas,,,,,
Colorado,1989,1A2K,Oil,,,,,
Colorado,1989,1A2L,Coal/peat,,,,,
Colorado,1989,1A2L,Natural gas,,,,,
Colorado,1989,1A2L,Oil,,,,,
Colorado,1989,1A2M,Coal/peat,,,,,
Colorado,1989,1A2M,Natural gas,,,,,
Colorado,1989,1A2M,Oil,,,,,
Colorado,1989,1A3,Coal/peat,,,,,
Colorado,1989,1A3,Natural gas,,,,,
Colorado,1989,1A3,Oil,,,,,
Colorado,1989,1A3A,Coal/peat,,,,,
Colorado,1989,1A3A,Natural gas,,,,,
Colorado,1989,1A3A,Oil,,,,,
Colorado,1989,1A3A1,Coal/peat,,,,,
Colorado,1989,1A3A1,Natural gas,,,,,
Colorado,1989,1A3A1,Oil,,,,,
Colorado,1989,1A3A2,Coal/peat,,,,,
Colorado,1989,1A3A2,Natural gas,,,,,
Colorado,1989,1A3A2,Oil,,,,,
Colorado,1989,1A3B,Coal/peat,,,,,
Colorado,1989,1A3B,Natural gas,,,,,
Colorado,1989,1A3B,Oil,,,,,
Colorado,1989,1A3C,Coal/peat,,,,,
Colorado,1989,1A3C,Natural gas,,,,,
Colorado,1989,1A3C,Oil,,,,,
Colorado,1989,1A3D,Coal/peat,,,,,
Colorado,1989,1A3D,Natural gas,,,,,
Colorado,1989,1A3D,Oil,,,,,
Colorado,1989,1A3D1,Coal/peat,,,,,
Colorado,1989,1A3D1,Natural gas,,,,,
Colorado,1989,1A3D1,Oil,,,,,
Colorado,1989,1A3D2,Coal/peat,,,,,
Colorado,1989,1A3D2,Natural gas,,,,,
Colorado,1989,1A3D2,Oil,,,,,
Colorado,1989,1A3E,Coal/peat,,,,,
Colorado,1989,1A3E,Natural gas,,,,,
Colorado,1989,1A3E,Oil,,,,,
Colorado,1989,1A3E1,Coal/peat,,,,,
Colorado,1989,1A3E1,Natural gas,,,,,
Colorado,1989,1A3E1,Oil,,,,,
Colorado,1989,1A4,Coal/peat,,,,,
Colorado,1989,1A4,Natural gas,,,,,
Colorado,1989,1A4,Oil,,,,,
Colorado,1989,1A4A,Coal/peat,,,,,
Colorado,1989,1A4A,Natural gas,,,,,
Colorado,1989,1A4A,Oil,,,,,
Colorado,1989,1A4B,Coal/peat,,,,,
Colorado,1989,1A4B,Natural gas,,,,,
Colorado,1989,1A4B,Oil,,,,,
Colorado,1989,1A4C,Coal/peat,,,,,
Colorado,1989,1A4C,Natural gas,,,,,
Colorado,1989,1A4C,Oil,,,,,
Colorado,1989,1A4C1,Coal/peat,,,,,
Colorado,1989,1A4C1,Natural gas,,,,,
Colorado,1989,1A4C1,Oil,,,,,
Colorado,1989,1A4C2,Coal/peat,,,,,
Colorado,1989,1A4C2,Natural gas,,,,,
Colorado,1989,1A4C2,Oil,,,,,
Colorado,1989,1A4C3,Coal/peat,,,,,
Colorado,1989,1A4C3,Natural gas,,,,,
Colorado,1989,1A4C3,Oil,,,,,
Colorado,1989,1A5,Coal/peat,,,,,
Colorado,1989,1A5,Natural gas,,,,,
Colorado,1989,1A5,Oil,,,,,
Colorado,1989,1A5A,Coal/peat,,,,,
Colorado,1989,1A5A,Natural gas,,,,,
Colorado,1989,1A5A,Oil,,,,,
Colorado,1989,1A5B,Coal/peat,,,,,
Colorado,1989,1A5B,Natural gas,,,,,
Colorado,1989,1A5B,Oil,,,,,
Colorado,1989,1A5C,Coal/peat,,,,,
Colorado,1989,1A5C,Natural gas,,,,,
Colorado,1989,1A5C,Oil,,,,,
Colorado,1989,1B,,,,,,
Colorado,1989,1B1,,,,,,
Colorado,1989,1B1A,,,,,,
Colorado,1989,1B1A1,,,,,,
Colorado,1989,1B1A11,,,,,,
Colorado,1989,1B1A12,,,,,,
Colorado,1989,1B1A13,,,,,,
Colorado,1989,1B1A14,,,,,,
Colorado,1989,1B1A2,,,,,,
Colorado,1989,1B1A21,,,,,,
Colorado,1989,1B1A22,,,,,,
Colorado,1989,1B1B,,,,,,
Colorado,1989,1B2,,,,,,
Colorado,1989,1B2A,,,,,,
Colorado,1989,1B2A1,,,,,,
Colorado,1989,1B2A2,,,,,,
Colorado,1989,1B2A3,,,,,,
Colorado,1989,1B2A31,,,,,,
Colorado,1989,1B2A32,,,,,,
Colorado,1989,1B2A33,,,,,,
Colorado,1989,1B2A34,,,,,,
Colorado,1989,1B2A35,,,,,,
Colorado,1989,1B2A36,,,,,,
Colorado,1989,1B2B,,,,,,
Colorado,1989,1B2B1,,,,,,
Colorado,1989,1B2B2,,,,,,
Colorado,1989,1B2B3,,,,,,
Colorado,1989,1B2B31,,,,,,
Colorado,1989,1B2B32,,,,,,
Colorado,1989,1B2B33,,,,,,
Colorado,1989,1B2B34,,,,,,
Colorado,1989,1B2B35,,,,,,
Colorado,1989,1B2B36,,,,,,
Colorado,1989,1B3,,,,,,
Colorado,1989,1C,,,,,,
Colorado,1989,1C1,,,,,,
Colorado,1989,1C1A,,,,,,
Colorado,1989,1C1B,,,,,,
Colorado,1989,1C1C,,,,,,
Colorado,1989,1C2,,,,,,
Colorado,1989,1C2A,,,,,,
Colorado,1989,1C2B,,,,,,
Colorado,1989,1C3,,,,,,
Colorado,1989,2,,,,,,
Colorado,1989,20,,,,,,
Colorado,1989,200,,,,,,
Colorado,1989,2000,,,,,,
Colorado,1989,20000,,,,,,
Colorado,1989,200000,,,,,,
Colorado,1989,2A,,,,,,
Colorado,1989,2A1,,,,,,
Colorado,1989,2A2,,,,,,
Colorado,1989,2A3,,,,,,
Colorado,1989,2A4,,,,,,
Colorado,1989,2A4A,,,,,,
Colorado,1989,2A4B,,,,,,
Colorado,1989,2A4C,,,,,,
Colorado,1989,2A4D,,,,,,
Colorado,1989,2B,,,,,,
Colorado,1989,2B1,,,,,,
Colorado,1989,2B10,,,,,,
Colorado,1989,2B2,,,,,,
Colorado,1989,2B3,,,,,,
Colorado,1989,2B4,,,,,,
Colorado,1989,2B5,,,,,,
Colorado,1989,2B6,,,,,,
Colorado,1989,2B7,,,,,,
Colorado,1989,2B8,,,,,,
Colorado,1989,2B8A,,,,,,
Colorado,1989,2B8B,,,,,,
Colorado,1989,2B8C,,,,,,
Colorado,1989,2B8D,,,,,,
Colorado,1989,2B8E,,,,,,
Colorado,1989,2B8F,,,,,,
Colorado,1989,2B9,,,,,,
Colorado,1989,2B9A,,,,,,
Colorado,1989,2B9B,,,,,,
Colorado,1989,2C,,,,,,
Colorado,1989,2C1,,,,,,
Colorado,1989,2C2,,,,,,
Colorado,1989,2C3,,,,,,
Colorado,1989,2C4,,,,,,
Colorado,1989,2C5,,,,,,
Colorado,1989,2C6,,,,,,
Colorado,1989,2C7,,,,,,
Colorado,1989,2D,,,,,,
Colorado,1989,2D1,,,,,,
Colorado,1989,2D2,,,,,,
Colorado,1989,2D3,,,,,,
Colorado,1989,2D4,,,,,,
Colorado,1989,2E,,,,,,
Colorado,1989,2F,,,,,,
Colorado,1989,2F1,,,,,,
Colorado,1989,2F2,,,,,,
Colorado,1989,2F3,,,,,,
Colorado,1989,2F4,,,,,,
Colorado,1989,2F5,,,,,,
Colorado,1989,2F6,,,,,,
Colorado,1989,2G,,,,,,
Colorado,1989,2G1,,,,,,
Colorado,1989,2G2,,,,,,
Colorado,1989,2G3,,,,,,
Colorado,1989,2G4,,,,,,
Colorado,1989,2H,,,,,,
Colorado,1989,2H1,,,,,,
Colorado,1989,2H2,,,,,,
Colorado,1989,2H3,,,,,,
Colorado,1989,3,,,,,,
Colorado,1989,3A,,,,,,
Colorado,1989,3A1,,,,,,
Colorado,1989,3A2,,,,,,
Colorado,1989,3B,,,,,,
Colorado,1989,3B1,,,,,,
Colorado,1989,3B1A,,,,,,
Colorado,1989,3B1B,,,,,,
Colorado,1989,3B2,,,,,,
Colorado,1989,3B2A,,,,,,
Colorado,1989,3B2B,,,,,,
Colorado,1989,3B3,,,,,,
Colorado,1989,3B3A,,,,,,
Colorado,1989,3B3B,,,,,,
Colorado,1989,3B4,,,,,,
Colorado,1989,3B4A,,,,,,
Colorado,1989,3B4B,,,,,,
Colorado,1989,3B5,,,,,,
Colorado,1989,3B5A,,,,,,
Colorado,1989,3B5B,,,,,,
Colorado,1989,3B6,,,,,,
Colorado,1989,3B6A,,,,,,
Colorado,1989,3B6B,,,,,,
Colorado,1989,3B6B1,,,,,,
Colorado,1989,3B6B2,,,,,,
Colorado,1989,3B6B3,,,,,,
Colorado,1989,3B6B4,,,,,,
Colorado,1989,3B6B5,,,,,,
