,File,Issue
0,sgp_tax_prices.csv,"Missing values in columns for 2020-2024: product, source, comment"
1,pol_tax_prices.csv,"Missing values in columns for 2020-2024: rate, source, comment"
2,arg_tax_prices.csv,"Missing years: 2024, 2023"
3,lva_tax_prices.csv,"Missing values in columns for 2020-2024: source, comment"
4,nor_tax_I_prices.csv,"Missing years: 2024, 2023"
5,mex_gj_tax_prices.csv,"Missing values in columns for 2020-2024: product, source, comment"
6,mex_yu_tax_prices.csv,"Missing values in columns for 2020-2024: source, comment"
7,usa_ca_ets_prices.csv,Missing years: 2024
8,lux_tax_prices.csv,"Missing values in columns for 2020-2024: source, comment"
9,dnk_tax_II_prices.csv,"Missing years: 2024, 2023"
10,swe_tax_prices.csv,"Missing years: 2024, 2023"
11,slo_tax_prices.csv,"Missing values in columns for 2020-2024: source, comment"
12,usa_wa_ets_prices.csv,Missing years: 2024
13,can_nb_ets_prices.csv,"Missing years: 2024, 2023"
14,idn_ets_prices.csv,"Missing values in columns for 2020-2024: source, comment"
15,can_nb_tax_prices.csv,"Missing years: 2024, 2023"
16,usa_ma_ets_prices.csv,Missing years: 2024
17,can_ab_tax_prices.csv,"Missing years: 2024, 2023"
18,zaf_tax_prices.csv,Missing values in columns for 2020-2024: comment
19,can_sk_ets_prices.csv,"Missing years: 2024, 2023"
20,mex_tm_tax_prices.csv,"Missing values in columns for 2020-2024: product, rate, source, comment"
21,can_ab_ets_prices.csv,"Missing years: 2024, 2023"
22,can_nl_ets_prices.csv,"Missing years: 2024, 2023"
23,mex_sm_tax_prices.csv,"Missing years: 2024, 2023"
24,ukr_tax_prices.csv,"Missing years: 2024, 2023"
25,can_nl_tax_prices.csv,"Missing years: 2024, 2023"
26,deu_ets_prices.csv,"Missing years: 2024, 2023"
27,mex_za_tax_prices.csv,"Missing years: 2024, 2023"
28,dnk_tax_prices.csv,"Missing years: 2024, 2023"
29,can_tax_I_prices.csv,Missing values in columns for 2020-2024: comment
30,usa_or_ets_prices.csv,"Missing years: 2024, 2023"
31,prt_tax_prices.csv,"Missing values in columns for 2020-2024: currency_code, source, comment"
32,gbr_tax_prices.csv,"Missing values in columns for 2020-2024: source, comment"
33,can_obps_prices.csv,"Missing years: 2024, 2023"
34,gbr_ets_prices.csv,"Missing years: 2024, 2023"
35,usa_rggi_prices.csv,Missing years: 2024
36,mex_ets_prices.csv,"Missing years: 2024, 2023"
37,hun_tax_prices.csv,"Missing values in columns for 2020-2024: rate, source, comment"
38,irl_tax_prices.csv,"Missing years: 2024, 2023"
39,mex_tax_prices.csv,"Missing years: 2024, 2023"
40,twn_tax_prices.csv,Missing years: 2024
41,twn_tax_prices.csv,"Missing values in columns for 2020-2024: rate, source, comment"
42,ury_tax_prices.csv,"Missing values in columns for 2020-2024: rate, source, comment"
43,mex_qe_tax_prices.csv,"Missing values in columns for 2020-2024: product, source, comment"
44,lie_tax_prices.csv,"Missing years: 2024, 2023"
45,can_qc_cat_prices.csv,Missing values in columns for 2020-2024: allowance_weighted_price
46,est_tax_prices.csv,"Missing values in columns for 2020-2024: source, comment"
47,fin_tax_prices.csv,"Missing years: 2024, 2023"
48,can_bc_tax_prices.csv,Missing values in columns for 2020-2024: comment
49,aut_ets_prices.csv,"Missing years: 2024, 2023"
50,can_nt_tax_prices.csv,"Missing years: 2024, 2023"
51,can_ns_ets_prices.csv,"Missing years: 2024, 2023"
52,kaz_ets_prices.csv,"Missing years: 2024, 2023"
53,fra_tax_prices.csv,"Missing values in columns for 2020-2024: source, comment"
54,nor_tax_II_prices.csv,"Missing years: 2024, 2023"
55,can_pe_tax_prices.csv,"Missing years: 2024, 2023"
56,chl_tax_prices.csv,"Missing years: 2024, 2023"
57,mex_dg_tax_prices.csv,Missing years: 2023
58,mex_dg_tax_prices.csv,"Missing values in columns for 2020-2024: source, comment"
59,aus_tax_prices.csv,"Missing years: 2024, 2023"
60,mne_ets_prices.csv,Missing values in columns for 2020-2024: source
61,can_tax_II_prices.csv,Missing values in columns for 2020-2024: comment
62,mex_bc_tax_prices.csv,"Missing years: 2024, 2023"
63,col_tax_prices.csv,"Missing values in columns for 2020-2024: rate, source, comment"
64,che_ets_prices.csv,"Missing years: 2024, 2023"
65,che_tax_prices.csv,"Missing values in columns for 2020-2024: source, comment"
66,esp_tax_prices.csv,"Missing years: 2024, 2023"
67,isl_tax_prices.csv,"Missing years: 2024, 2023"
68,jpn_tax_prices.csv,"Missing values in columns for 2020-2024: source, comment"
